method,k,precision,recall,f1,ndcg
BM25,10,0.8376,0.0084,0.0166,0.8538
BM25,50,0.7477,0.0374,0.0712,0.7724
BM25,100,0.7226,0.0723,0.1314,0.7435
BM25,500,0.7146,0.3573,0.4764,0.7228
BM25,1000,0.6346,0.6346,0.6346,0.6518
BGE_allfields,10,0.9396,0.0094,0.0186,0.9419
BGE_allfields,50,0.9162,0.0458,0.0873,0.9225
BGE_allfields,100,0.9084,0.0908,0.1652,0.9141
BGE_allfields,500,0.8424,0.4212,0.5616,0.8542
BGE_allfields,1000,0.7258,0.7258,0.7258,0.7508
MiniLM,10,0.9723,0.0097,0.0193,0.9746
MiniLM,50,0.9497,0.0475,0.0904,0.9553
MiniLM,100,0.9383,0.0938,0.1706,0.9445
MiniLM,500,0.8582,0.4291,0.5721,0.8719
MiniLM,1000,0.7407,0.7407,0.7407,0.7671
OpenAI_large,10,0.9267,0.0093,0.0184,0.9335
OpenAI_large,50,0.904,0.0452,0.0861,0.9113
OpenAI_large,100,0.8956,0.0896,0.1628,0.9022
OpenAI_large,500,0.8302,0.4151,0.5534,0.842
OpenAI_large,1000,0.7277,0.7277,0.7277,0.7506
Nomic,10,0.9277,0.0093,0.0184,0.9308
Nomic,50,0.9091,0.0455,0.0866,0.9143
Nomic,100,0.8947,0.0895,0.1627,0.9012
Nomic,500,0.8074,0.4037,0.5383,0.8228
Nomic,1000,0.6844,0.6844,0.6844,0.7124
BGE_M3,10,0.9267,0.0093,0.0184,0.935
BGE_M3,50,0.9156,0.0458,0.0872,0.9212
BGE_M3,100,0.9047,0.0905,0.1645,0.9108
BGE_M3,500,0.8276,0.4138,0.5518,0.8413
BGE_M3,1000,0.7044,0.7044,0.7044,0.7315
GTE_large,10,0.9455,0.0095,0.0187,0.946
GTE_large,50,0.9356,0.0468,0.0891,0.9373
GTE_large,100,0.925,0.0925,0.1682,0.9286
GTE_large,500,0.8723,0.4361,0.5815,0.8814
GTE_large,1000,0.7684,0.7684,0.7684,0.7901
E5_Mistral,10,0.6287,0.0063,0.0124,0.6311
E5_Mistral,50,0.5719,0.0286,0.0545,0.5868
E5_Mistral,100,0.5234,0.0523,0.0952,0.5441
E5_Mistral,500,0.3535,0.1767,0.2357,0.3837
E5_Mistral,1000,0.2739,0.2739,0.2739,0.303
Linq_Mistral,10,0.9337,0.0093,0.0185,0.9361
Linq_Mistral,50,0.9212,0.0461,0.0877,0.9246
