query_id,query,k,precision,recall,f1,ndcg
1,software companies,10,0.0,0.0,0.0,0.0
1,software companies,50,0.1,0.005,0.009523809523809523,0.07882725038528121
1,software companies,100,0.12,0.012,0.021818181818181816,0.1047837271784575
1,software companies,500,0.094,0.047,0.06266666666666666,0.09407357065598267
1,software companies,1000,0.06,0.06,0.06,0.06511197833097829
2,healthcare providers,10,1.0,0.01,0.019801980198019802,1.0
2,healthcare providers,50,1.0,0.05,0.09523809523809523,1.0
2,healthcare providers,100,0.95,0.095,0.17272727272727273,0.9605497399288502
2,healthcare providers,500,0.62,0.31,0.4133333333333334,0.6719455965854855
2,healthcare providers,1000,0.564,0.564,0.564,0.6033175152124178
3,AI startups in Berlin,10,1.0,0.01,0.019801980198019802,1.0
3,AI startups in Berlin,50,0.94,0.047,0.08952380952380952,0.948380633422094
3,AI startups in Berlin,100,0.86,0.086,0.15636363636363637,0.8840849871961564
3,AI startups in Berlin,500,0.586,0.293,0.39066666666666666,0.6302403536775796
3,AI startups in Berlin,1000,0.444,0.444,0.444,0.49105874132741495
4,renewable energy companies in Germany,10,1.0,0.01,0.019801980198019802,1.0
4,renewable energy companies in Germany,50,0.92,0.046,0.08761904761904762,0.9323722266350118
4,renewable energy companies in Germany,100,0.9,0.09,0.16363636363636364,0.9132088801260811
4,renewable energy companies in Germany,500,0.57,0.285,0.37999999999999995,0.6176615469676637
4,renewable energy companies in Germany,1000,0.462,0.462,0.462,0.5057188365465579
5,companies providing cloud migration services,10,1.0,0.01,0.019801980198019802,1.0
5,companies providing cloud migration services,50,1.0,0.05,0.09523809523809523,1.0
5,companies providing cloud migration services,100,0.98,0.098,0.17818181818181816,0.984833013787169
5,companies providing cloud migration services,500,0.926,0.463,0.6173333333333334,0.9361593342205622
5,companies providing cloud migration services,1000,0.71,0.71,0.7100000000000001,0.749889446658201
6,B2B SaaS platforms,10,1.0,0.01,0.019801980198019802,1.0
6,B2B SaaS platforms,50,0.94,0.047,0.08952380952380952,0.9558022453965216
6,B2B SaaS platforms,100,0.84,0.084,0.15272727272727274,0.8721123904473754
6,B2B SaaS platforms,500,0.714,0.357,0.4759999999999999,0.7424813471080475
