query_id,query,k,precision,recall,f1,ndcg
1,software companies,10,0.5,0.005,0.009900990099009901,0.44821456061271264
1,software companies,50,0.36,0.018,0.03428571428571428,0.3776870982301719
1,software companies,100,0.3,0.03,0.05454545454545455,0.3257672493656582
1,software companies,500,0.25,0.125,0.16666666666666666,0.26414811226287466
1,software companies,1000,0.219,0.219,0.21899999999999997,0.23194556693824425
2,healthcare providers,10,1.0,0.01,0.019801980198019802,1.0
2,healthcare providers,50,0.92,0.046,0.08761904761904762,0.9378404803615312
2,healthcare providers,100,0.87,0.087,0.15818181818181817,0.8946750086958453
2,healthcare providers,500,0.798,0.399,0.532,0.8155121864156833
2,healthcare providers,1000,0.674,0.674,0.674,0.7032657063424511
3,AI startups in Berlin,10,0.8,0.008,0.015841584158415842,0.841492960259019
3,AI startups in Berlin,50,0.72,0.036,0.06857142857142856,0.7533870653372827
3,AI startups in Berlin,100,0.67,0.067,0.12181818181818183,0.7015042791201334
3,AI startups in Berlin,500,0.548,0.274,0.3653333333333334,0.5780192924561748
3,AI startups in Berlin,1000,0.482,0.482,0.482,0.5097887003141807
4,renewable energy companies in Germany,10,1.0,0.01,0.019801980198019802,1.0
4,renewable energy companies in Germany,50,0.88,0.044,0.0838095238095238,0.8965789208896359
4,renewable energy companies in Germany,100,0.83,0.083,0.15090909090909094,0.8517839072079362
4,renewable energy companies in Germany,500,0.822,0.411,0.548,0.8279555100915512
4,renewable energy companies in Germany,1000,0.739,0.739,0.739,0.7557562403825167
5,companies providing cloud migration services,10,1.0,0.01,0.019801980198019802,1.0
5,companies providing cloud migration services,50,1.0,0.05,0.09523809523809523,1.0
5,companies providing cloud migration services,100,0.99,0.099,0.18,0.9923561015779938
5,companies providing cloud migration services,500,0.932,0.466,0.6213333333333333,0.9411359471663043
5,companies providing cloud migration services,1000,0.721,0.721,0.721,0.7588308187120557
6,B2B SaaS platforms,10,1.0,0.01,0.019801980198019802,1.0
6,B2B SaaS platforms,50,0.96,0.048,0.09142857142857141,0.9662200437515363
6,B2B SaaS platforms,100,0.88,0.088,0.16,0.9032525154572061
6,B2B SaaS platforms,500,0.652,0.326,0.4346666666666667,0.6961912270789097
6,B2B SaaS platforms,1000,0.457,0.457,0.457,0.5104554673024266
7,machine learning companies,10,1.0,0.01,0.019801980198019802,1.0
7,machine learning companies,50,0.98,0.049,0.09333333333333334,0.9801548046678968
7,machine learning companies,100,0.98,0.098,0.17818181818181816,0.9799574823648189
7,machine learning companies,500,0.894,0.447,0.5960000000000001,0.9099594399650133
7,machine learning companies,1000,0.677,0.677,0.677,0.7201019058666748
8,IoT solution providers,10,1.0,0.01,0.019801980198019802,1.0
8,IoT solution providers,50,0.98,0.049,0.09333333333333334,0.9796359917585231
8,IoT solution providers,100,0.98,0.098,0.17818181818181816,0.9798123476494766
8,IoT solution providers,500,0.936,0.468,0.624,0.9430599790991162
