method,query,k,ndcg,precision,recall,f1,overlap
API Native,software companies,10,0.9776,0.5,0.2273,0.3125,3
API Native,software companies,30,0.9138,0.3,0.4091,0.3462,12
API Native,software companies,44,0.8839,0.25,0.5,0.3333,19
API Native,healthcare providers,10,0.9952,1.0,0.2564,0.4082,5
API Native,healthcare providers,30,0.9882,0.5333,0.4103,0.4638,16
API Native,healthcare providers,44,0.9733,0.4091,0.4615,0.4337,19
API Native,AI startups in Berlin,10,0.9943,1.0,0.2439,0.3922,7
API Native,AI startups in Berlin,30,0.9682,0.7333,0.5366,0.6197,20
API Native,AI startups in Berlin,44,0.9731,0.6364,0.6829,0.6588,30
API Native,renewable energy companies in Germany,10,0.9901,1.0,0.0146,0.0287,2
API Native,renewable energy companies in Germany,30,0.99,1.0,0.0437,0.0837,13
API Native,renewable energy companies in Germany,44,0.9941,1.0,0.064,0.1204,29
API Native,companies providing cloud migration services,10,0.9921,1.0,0.0313,0.0608,4
API Native,companies providing cloud migration services,30,0.9928,1.0,0.094,0.1719,16
API Native,companies providing cloud migration services,44,0.9922,1.0,0.1379,0.2424,25
API Native,B2B SaaS platforms,10,0.9953,1.0,0.0339,0.0656,7
API Native,B2B SaaS platforms,30,0.9963,1.0,0.1017,0.1846,24
API Native,B2B SaaS platforms,44,0.995,1.0,0.1492,0.2596,28
API Native,machine learning companies,10,0.9903,0.4,0.8,0.5333,6
API Native,machine learning companies,30,0.9895,0.1667,1.0,0.2857,17
API Native,machine learning companies,44,0.9602,0.1136,1.0,0.2041,27
API Native,IoT solution providers,10,0.989,1.0,0.01,0.0198,4
API Native,IoT solution providers,30,0.9908,1.0,0.03,0.0583,16
API Native,IoT solution providers,44,0.9902,1.0,0.044,0.0843,21
API Native,enterprise software vendors,10,0.992,1.0,0.01,0.0198,2
API Native,enterprise software vendors,30,0.9967,1.0,0.03,0.0583,27
API Native,enterprise software vendors,44,0.9966,1.0,0.044,0.0843,39
API Native,small consulting firms,10,0.9927,0.9,0.2143,0.3462,5
API Native,small consulting firms,30,0.9922,0.6333,0.4524,0.5278,17
API Native,small consulting firms,44,0.9759,0.5,0.5238,0.5116,22
API Native,tech companies in Munich,10,0.9927,0.9,0.225,0.36,6
API Native,tech companies in Munich,30,0.9933,0.7,0.525,0.6,19
API Native,tech companies in Munich,44,0.9773,0.5909,0.65,0.619,26
API Native,manufacturing in Baden-Württemberg,10,0.9935,1.0,0.1818,0.3077,7
API Native,manufacturing in Baden-Württemberg,30,0.9964,1.0,0.5455,0.7059,20
API Native,manufacturing in Baden-Württemberg,44,0.98,0.8636,0.6909,0.7677,36
API Native,e-commerce platforms,10,0.9912,1.0,0.01,0.0198,4
API Native,e-commerce platforms,30,0.9908,1.0,0.03,0.0583,12
API Native,e-commerce platforms,44,0.9595,0.9545,0.042,0.0805,16
API Native,pharmaceutical companies,10,0.9906,1.0,0.01,0.0198,4
API Native,pharmaceutical companies,30,0.99,1.0,0.03,0.0583,11
API Native,pharmaceutical companies,44,0.9901,1.0,0.044,0.0843,16
API Native,logistics companies in the US,10,0.9917,1.0,0.0147,0.029,6
API Native,logistics companies in the US,30,0.995,1.0,0.0442,0.0846,19
API Native,logistics companies in the US,44,0.9935,0.9545,0.0619,0.1162,29
API Native,data analytics companies,10,0.9975,1.0,0.01,0.0198,6
API Native,data analytics companies,30,0.9941,1.0,0.03,0.0583,16
API Native,data analytics companies,44,0.9944,1.0,0.044,0.0843,24
API Native,cybersecurity firms,10,0.9299,0.9,0.009,0.0178,3
API Native,cybersecurity firms,30,0.9335,0.9333,0.028,0.0544,14
API Native,cybersecurity firms,44,0.9121,0.9091,0.04,0.0766,16
API Native,financial services companies,10,0.9909,1.0,0.01,0.0198,3
API Native,financial services companies,30,0.9898,1.0,0.03,0.0583,12
API Native,financial services companies,44,0.9903,1.0,0.044,0.0843,17
API Native,retail chains in Europe,10,0.994,1.0,0.1695,0.2899,6
API Native,retail chains in Europe,30,0.9923,0.8333,0.4237,0.5618,20
API Native,retail chains in Europe,44,0.9907,0.7045,0.5254,0.6019,27
API Native,construction companies,10,0.988,1.0,0.01,0.0198,2
API Native,construction companies,30,0.9437,0.9333,0.028,0.0544,8
API Native,construction companies,44,0.924,0.9091,0.04,0.0766,11
API Native,marketing agencies,10,0.9896,1.0,0.01,0.0198,2
API Native,marketing agencies,30,0.9623,0.9667,0.029,0.0563,7
API Native,marketing agencies,44,0.9689,0.9773,0.043,0.0824,16
API Native,human resources software,10,0.9948,1.0,0.01,0.0198,6
API Native,human resources software,30,0.9954,1.0,0.03,0.0583,20
API Native,human resources software,44,0.996,1.0,0.044,0.0843,30
API Native,supply chain management companies,10,0.9929,1.0,0.0229,0.0447,5
API Native,supply chain management companies,30,0.994,1.0,0.0686,0.1285,19
API Native,supply chain management companies,44,0.9933,1.0,0.1007,0.183,22
API Native,solar panel manufacturers,10,0.9944,1.0,0.01,0.0198,8
API Native,solar panel manufacturers,30,0.9932,1.0,0.03,0.0583,16
API Native,solar panel manufacturers,44,0.9922,1.0,0.044,0.0843,20
API Native,agricultural technology companies,10,0.9964,1.0,0.012,0.0237,7
API Native,agricultural technology companies,30,0.9949,1.0,0.036,0.0694,19
API Native,agricultural technology companies,44,0.9921,1.0,0.0528,0.1002,22
API Native,electric vehicle manufacturers,10,0.9952,1.0,0.01,0.0198,6
API Native,electric vehicle manufacturers,30,0.9926,1.0,0.03,0.0583,16
API Native,electric vehicle manufacturers,44,0.9925,1.0,0.044,0.0843,22
API Native,biotech companies,10,0.9927,1.0,0.0239,0.0467,6
API Native,biotech companies,30,0.9937,1.0,0.0718,0.1339,19
API Native,biotech companies,44,0.9946,1.0,0.1053,0.1905,26
API Native,digital transformation consultants,10,0.9962,1.0,0.01,0.0198,8
API Native,digital transformation consultants,30,0.9969,1.0,0.03,0.0583,23
API Native,digital transformation consultants,44,0.997,1.0,0.044,0.0843,28
API Native,cloud computing providers,10,0.9834,1.0,0.01,0.0198,1
API Native,cloud computing providers,30,0.9861,1.0,0.03,0.0583,5
API Native,cloud computing providers,44,0.9881,1.0,0.044,0.0843,11
API Native,mobile app development companies,10,0.9902,1.0,0.01,0.0198,5
API Native,mobile app development companies,30,0.9938,1.0,0.03,0.0583,18
API Native,mobile app development companies,44,0.9938,1.0,0.044,0.0843,21
API Native,web design agencies,10,0.9953,1.0,0.01,0.0198,8
API Native,web design agencies,30,0.9935,1.0,0.03,0.0583,17
API Native,web design agencies,44,0.9474,0.9318,0.041,0.0785,23
API Native,SEO companies,10,0.9945,1.0,0.01,0.0198,5
API Native,SEO companies,30,0.9697,0.9667,0.029,0.0563,11
API Native,SEO companies,44,0.959,0.9545,0.042,0.0805,17
API Native,social media marketing agencies,10,0.9925,1.0,0.01,0.0198,5
API Native,social media marketing agencies,30,0.9934,1.0,0.03,0.0583,17
API Native,social media marketing agencies,44,0.9933,1.0,0.044,0.0843,25
API Native,venture capital firms,10,0.9948,1.0,0.01,0.0198,5
API Native,venture capital firms,30,0.994,1.0,0.03,0.0583,13
API Native,venture capital firms,44,0.9941,1.0,0.044,0.0843,25
API Native,private equity firms,10,0.9854,1.0,0.01,0.0198,1
API Native,private equity firms,30,0.9919,1.0,0.03,0.0583,13
API Native,private equity firms,44,0.9914,1.0,0.044,0.0843,20
API Native,investment banks,10,0.9951,1.0,0.0262,0.051,4
API Native,investment banks,30,0.9944,1.0,0.0785,0.1456,16
API Native,investment banks,44,0.9947,0.9773,0.1126,0.2019,27
API Native,insurance companies,10,0.9833,1.0,0.01,0.0198,0
API Native,insurance companies,30,0.8965,0.8667,0.026,0.0505,5
API Native,insurance companies,44,0.8378,0.7955,0.035,0.067,6
