query_id,query,k,precision,recall,f1,ndcg
1,software companies,10,0.4,0.004,0.007920792079207921,0.5107164012496701
1,software companies,50,0.42,0.021,0.04,0.46106191932197327
1,software companies,100,0.39,0.039,0.07090909090909092,0.4230726590425372
1,software companies,500,0.3,0.15,0.2,0.3215244496461991
1,software companies,1000,0.261,0.261,0.261,0.2791934908275814
2,healthcare providers,10,1.0,0.01,0.019801980198019802,1.0
2,healthcare providers,50,0.98,0.049,0.09333333333333334,0.9801548046678968
2,healthcare providers,100,0.93,0.093,0.16909090909090907,0.9405755060439247
2,healthcare providers,500,0.846,0.423,0.564,0.8630168309294487
2,healthcare providers,1000,0.774,0.774,0.774,0.7951728669313933
3,AI startups in Berlin,10,0.4,0.004,0.007920792079207921,0.4569970750177365
3,AI startups in Berlin,50,0.48,0.024,0.04571428571428571,0.49006368943347367
3,AI startups in Berlin,100,0.45,0.045,0.08181818181818182,0.4629710153573528
3,AI startups in Berlin,500,0.404,0.202,0.2693333333333333,0.41373745284088803
3,AI startups in Berlin,1000,0.353,0.353,0.353,0.36665794023959636
4,renewable energy companies in Germany,10,0.8,0.008,0.015841584158415842,0.8415908474314976
4,renewable energy companies in Germany,50,0.76,0.038,0.07238095238095238,0.7774525994654073
4,renewable energy companies in Germany,100,0.83,0.083,0.15090909090909094,0.8243540269400488
4,renewable energy companies in Germany,500,0.808,0.404,0.5386666666666666,0.8081226755101995
4,renewable energy companies in Germany,1000,0.743,0.743,0.743,0.7537665590695442
5,companies providing cloud migration services,10,1.0,0.01,0.019801980198019802,1.0
5,companies providing cloud migration services,50,1.0,0.05,0.09523809523809523,1.0
5,companies providing cloud migration services,100,0.96,0.096,0.17454545454545453,0.9697930212960141
5,companies providing cloud migration services,500,0.806,0.403,0.5373333333333333,0.8337053865773834
5,companies providing cloud migration services,1000,0.627,0.627,0.627,0.6706531625485846
6,B2B SaaS platforms,10,1.0,0.01,0.019801980198019802,1.0
6,B2B SaaS platforms,50,0.98,0.049,0.09333333333333334,0.9856215795673515
6,B2B SaaS platforms,100,0.91,0.091,0.16545454545454544,0.9302553274740218
6,B2B SaaS platforms,500,0.69,0.345,0.45999999999999996,0.7305293918385931
6,B2B SaaS platforms,1000,0.509,0.509,0.509,0.5585885856574904
7,machine learning companies,10,0.9,0.009,0.01782178217821782,0.8899541168509599
7,machine learning companies,50,0.96,0.048,0.09142857142857141,0.9445376721962052
7,machine learning companies,100,0.98,0.098,0.17818181818181816,0.9658365001612712
7,machine learning companies,500,0.86,0.43,0.5733333333333333,0.8754031616600678
7,machine learning companies,1000,0.662,0.662,0.662,0.7010774788698281
8,IoT solution providers,10,1.0,0.01,0.019801980198019802,1.0
8,IoT solution providers,50,1.0,0.05,0.09523809523809523,1.0
8,IoT solution providers,100,1.0,0.1,0.18181818181818182,1.0
8,IoT solution providers,500,0.98,0.49,0.6533333333333333,0.9824838967092738
8,IoT solution providers,1000,0.891,0.891,0.891,0.9075685745382346
9,enterprise software vendors,10,1.0,0.01,0.019801980198019802,1.0
9,enterprise software vendors,50,0.74,0.037,0.07047619047619047,0.8044190336134744
9,enterprise software vendors,100,0.68,0.068,0.12363636363636364,0.7353382204504337
9,enterprise software vendors,500,0.446,0.223,0.29733333333333334,0.4955345347602666
9,enterprise software vendors,1000,0.386,0.386,0.386,0.4234360052595253
10,small consulting firms,10,1.0,0.01,0.019801980198019802,1.0
10,small consulting firms,50,0.86,0.043,0.0819047619047619,0.8882125014338591
10,small consulting firms,100,0.86,0.086,0.15636363636363637,0.8783252106243573
10,small consulting firms,500,0.574,0.287,0.3826666666666666,0.6190742161893119
10,small consulting firms,1000,0.477,0.477,0.477,0.5171748841076296
11,tech companies in Munich,10,1.0,0.01,0.019801980198019802,1.0
11,tech companies in Munich,50,0.98,0.049,0.09333333333333334,0.9810315078027007
11,tech companies in Munich,100,0.96,0.096,0.17454545454545453,0.964984659187499
11,tech companies in Munich,500,0.812,0.406,0.5413333333333333,0.8367704540706574
11,tech companies in Munich,1000,0.671,0.671,0.671,0.7064513562470135
12,manufacturing in Baden-Württemberg,10,1.0,0.01,0.019801980198019802,1.0
12,manufacturing in Baden-Württemberg,50,0.98,0.049,0.09333333333333334,0.9852259760043575
12,manufacturing in Baden-Württemberg,100,0.91,0.091,0.16545454545454544,0.9306507726834239
12,manufacturing in Baden-Württemberg,500,0.788,0.394,0.5253333333333334,0.8073221063434326
12,manufacturing in Baden-Württemberg,1000,0.687,0.687,0.687,0.7139028865428362
13,e-commerce platforms,10,1.0,0.01,0.019801980198019802,1.0
13,e-commerce platforms,50,0.86,0.043,0.0819047619047619,0.8949921192312483
13,e-commerce platforms,100,0.91,0.091,0.16545454545454544,0.9195828678242707
13,e-commerce platforms,500,0.92,0.46,0.6133333333333333,0.9233407251284926
13,e-commerce platforms,1000,0.788,0.788,0.788,0.8112166198681228
14,pharmaceutical companies,10,1.0,0.01,0.019801980198019802,1.0
14,pharmaceutical companies,50,1.0,0.05,0.09523809523809523,1.0
14,pharmaceutical companies,100,1.0,0.1,0.18181818181818182,1.0
14,pharmaceutical companies,500,0.974,0.487,0.6493333333333333,0.9774628722542164
14,pharmaceutical companies,1000,0.908,0.908,0.908,0.9205899653827085
15,logistics companies in the US,10,1.0,0.01,0.019801980198019802,1.0
15,logistics companies in the US,50,0.8,0.04,0.07619047619047618,0.8403643081321915
15,logistics companies in the US,100,0.82,0.082,0.14909090909090908,0.841241047702199
15,logistics companies in the US,500,0.642,0.321,0.428,0.6738511691559307
15,logistics companies in the US,1000,0.499,0.499,0.499,0.5392950604792609
16,data analytics companies,10,0.9,0.009,0.01782178217821782,0.9305687780632227
16,data analytics companies,50,0.82,0.041,0.07809523809523809,0.8431506357404123
16,data analytics companies,100,0.87,0.087,0.15818181818181817,0.8715832489663404
16,data analytics companies,500,0.814,0.407,0.5426666666666667,0.8216728823351341
16,data analytics companies,1000,0.706,0.706,0.706,0.7271675414245682
17,cybersecurity firms,10,0.8,0.008,0.015841584158415842,0.8205228949141826
17,cybersecurity firms,50,0.82,0.041,0.07809523809523809,0.8174747975827902
17,cybersecurity firms,100,0.81,0.081,0.14727272727272728,0.8122450781337623
17,cybersecurity firms,500,0.76,0.38,0.5066666666666666,0.7680558500944881
17,cybersecurity firms,1000,0.694,0.694,0.694,0.7093652348656145
18,financial services companies,10,0.8,0.008,0.015841584158415842,0.8603818544462509
18,financial services companies,50,0.54,0.027,0.05142857142857143,0.6127331164164806
18,financial services companies,100,0.53,0.053,0.09636363636363636,0.5771749298263569
18,financial services companies,500,0.458,0.229,0.3053333333333333,0.4835590609231622
18,financial services companies,1000,0.41,0.41,0.41,0.43230308369204856
19,retail chains in Europe,10,1.0,0.01,0.019801980198019802,1.0
19,retail chains in Europe,50,1.0,0.05,0.09523809523809523,1.0
19,retail chains in Europe,100,0.99,0.099,0.18,0.9924238286246503
19,retail chains in Europe,500,0.944,0.472,0.6293333333333333,0.950270608630772
19,retail chains in Europe,1000,0.84,0.84,0.8399999999999999,0.8603681728484042
20,construction companies,10,0.9,0.009,0.01782178217821782,0.9266360779006401
20,construction companies,50,0.84,0.042,0.08,0.8549762662677989
20,construction companies,100,0.83,0.083,0.15090909090909094,0.8423070238680542
20,construction companies,500,0.822,0.411,0.548,0.829236744751752
20,construction companies,1000,0.729,0.729,0.729,0.7476630487852195
21,marketing agencies,10,0.8,0.008,0.015841584158415842,0.8318477135310893
21,marketing agencies,50,0.64,0.032,0.06095238095238095,0.6842234990866758
21,marketing agencies,100,0.62,0.062,0.11272727272727275,0.6527708993889699
21,marketing agencies,500,0.514,0.257,0.3426666666666666,0.5382876386924837
21,marketing agencies,1000,0.465,0.465,0.465,0.48633485773169516
22,human resources software,10,1.0,0.01,0.019801980198019802,1.0
22,human resources software,50,0.98,0.049,0.09333333333333334,0.9826137020047635
22,human resources software,100,0.98,0.098,0.17818181818181816,0.9812694604385637
22,human resources software,500,0.962,0.481,0.6413333333333333,0.9664691507986765
22,human resources software,1000,0.784,0.784,0.7840000000000001,0.81451182717596
23,supply chain management companies,10,1.0,0.01,0.019801980198019802,1.0
23,supply chain management companies,50,0.98,0.049,0.09333333333333334,0.9783727146391598
23,supply chain management companies,100,0.96,0.096,0.17454545454545453,0.9630943776248586
23,supply chain management companies,500,0.79,0.395,0.5266666666666667,0.8172718156748014
23,supply chain management companies,1000,0.6,0.6,0.6,0.6444823880360903
24,solar panel manufacturers,10,1.0,0.01,0.019801980198019802,1.0
24,solar panel manufacturers,50,1.0,0.05,0.09523809523809523,1.0
24,solar panel manufacturers,100,1.0,0.1,0.18181818181818182,1.0
24,solar panel manufacturers,500,0.976,0.488,0.6506666666666666,0.979984999622866
24,solar panel manufacturers,1000,0.88,0.88,0.88,0.8976310692519899
25,agricultural technology companies,10,0.5,0.005,0.009900990099009901,0.5771493379489847
25,agricultural technology companies,50,0.48,0.024,0.04571428571428571,0.5136543308904438
25,agricultural technology companies,100,0.56,0.056,0.10181818181818182,0.5604891636324814
25,agricultural technology companies,500,0.464,0.232,0.30933333333333335,0.47737233272029084
25,agricultural technology companies,1000,0.383,0.383,0.383,0.4025418188086562
26,electric vehicle manufacturers,10,1.0,0.01,0.019801980198019802,1.0
26,electric vehicle manufacturers,50,1.0,0.05,0.09523809523809523,1.0
26,electric vehicle manufacturers,100,0.99,0.099,0.18,0.9927959037357916
26,electric vehicle manufacturers,500,0.992,0.496,0.6613333333333333,0.9930474896700713
26,electric vehicle manufacturers,1000,0.928,0.928,0.928,0.9397356398742472
27,biotech companies,10,1.0,0.01,0.019801980198019802,1.0
27,biotech companies,50,0.98,0.049,0.09333333333333334,0.9860416298881255
27,biotech companies,100,0.96,0.096,0.17454545454545453,0.9686601572457643
27,biotech companies,500,0.92,0.46,0.6133333333333333,0.9266019218619793
27,biotech companies,1000,0.713,0.713,0.713,0.7492670291166755
28,digital transformation consultants,10,1.0,0.01,0.019801980198019802,1.0
28,digital transformation consultants,50,0.98,0.049,0.09333333333333334,0.9814066183482458
28,digital transformation consultants,100,0.96,0.096,0.17454545454545453,0.9654198905169157
28,digital transformation consultants,500,0.846,0.423,0.564,0.8654206362354846
28,digital transformation consultants,1000,0.704,0.704,0.704,0.7370819819004476
29,cloud computing providers,10,0.8,0.008,0.015841584158415842,0.8603818544462509
29,cloud computing providers,50,0.58,0.029,0.05523809523809523,0.6440200270668542
29,cloud computing providers,100,0.56,0.056,0.10181818181818182,0.604198883245855
29,cloud computing providers,500,0.66,0.33,0.44000000000000006,0.6566216554464619
29,cloud computing providers,1000,0.73,0.73,0.7299999999999999,0.7176391556854553
30,mobile app development companies,10,1.0,0.01,0.019801980198019802,1.0
30,mobile app development companies,50,1.0,0.05,0.09523809523809523,1.0
30,mobile app development companies,100,0.99,0.099,0.18,0.9920987079403273
30,mobile app development companies,500,0.982,0.491,0.6546666666666667,0.9842636957201162
30,mobile app development companies,1000,0.911,0.911,0.911,0.9237872950003101
31,web design agencies,10,0.9,0.009,0.01782178217821782,0.9216017310213247
31,web design agencies,50,0.88,0.044,0.0838095238095238,0.8964906459848309
31,web design agencies,100,0.73,0.073,0.13272727272727272,0.7759915036218753
31,web design agencies,500,0.648,0.324,0.432,0.6751794627869967
31,web design agencies,1000,0.561,0.561,0.561,0.5897995093499275
32,SEO companies,10,1.0,0.01,0.019801980198019802,1.0
32,SEO companies,50,1.0,0.05,0.09523809523809523,1.0
32,SEO companies,100,1.0,0.1,0.18181818181818182,1.0
32,SEO companies,500,0.964,0.482,0.6426666666666666,0.9700413607034265
32,SEO companies,1000,0.859,0.859,0.859,0.8795514928847157
33,social media marketing agencies,10,1.0,0.01,0.019801980198019802,1.0
33,social media marketing agencies,50,0.94,0.047,0.08952380952380952,0.9501037560847837
33,social media marketing agencies,100,0.94,0.094,0.1709090909090909,0.9472030921471223
33,social media marketing agencies,500,0.778,0.389,0.5186666666666667,0.8038252141810817
33,social media marketing agencies,1000,0.6,0.6,0.6,0.6415558096598548
34,venture capital firms,10,0.8,0.008,0.015841584158415842,0.8200685179888283
34,venture capital firms,50,0.94,0.047,0.08952380952380952,0.9225777130624369
34,venture capital firms,100,0.92,0.092,0.1672727272727273,0.9143688085734755
34,venture capital firms,500,0.814,0.407,0.5426666666666667,0.8293554292263466
34,venture capital firms,1000,0.663,0.663,0.663,0.695119304641572
35,private equity firms,10,1.0,0.01,0.019801980198019802,1.0
35,private equity firms,50,0.98,0.049,0.09333333333333334,0.9817480390694907
35,private equity firms,100,0.98,0.098,0.17818181818181816,0.980671995687056
35,private equity firms,500,0.938,0.469,0.6253333333333332,0.9450853878649625
35,private equity firms,1000,0.798,0.798,0.798,0.8239873765261856
36,investment banks,10,1.0,0.01,0.019801980198019802,1.0
36,investment banks,50,1.0,0.05,0.09523809523809523,1.0
36,investment banks,100,0.97,0.097,0.1763636363636364,0.9781395532025968
36,investment banks,500,0.914,0.457,0.6093333333333334,0.9266787251813657
36,investment banks,1000,0.692,0.692,0.692,0.7334620901131009
37,insurance companies,10,1.0,0.01,0.019801980198019802,1.0
37,insurance companies,50,0.84,0.042,0.08,0.8774601611197335
37,insurance companies,100,0.88,0.088,0.16,0.8940409700895012
37,insurance companies,500,0.91,0.455,0.6066666666666667,0.9110400255792044
