query_id,query,network_ms,search_ms,total_ms
1,software companies,215.8,98.7,314.5
2,healthcare providers,163.1,99.6,262.8
3,AI startups in Berlin,163.2,100.1,263.3
4,renewable energy companies in Germany,189.0,100.5,289.5
5,companies providing cloud migration services,161.6,97.5,259.0
6,B2B SaaS platforms,158.3,100.0,258.3
7,machine learning companies,171.6,99.6,271.2
8,IoT solution providers,157.8,98.1,255.9
9,enterprise software vendors,185.5,100.6,286.1
10,small consulting firms,154.0,100.5,254.6
11,tech companies in Munich,171.0,103.0,274.0
12,manufacturing in Baden-Württemberg,191.9,106.5,298.4
13,e-commerce platforms,156.2,98.7,254.9
14,pharmaceutical companies,187.9,101.5,289.4
15,logistics companies in the US,201.2,99.7,300.8
16,data analytics companies,183.9,99.3,283.1
17,cybersecurity firms,165.9,102.6,268.5
18,financial services companies,151.4,98.6,250.0
19,retail chains in Europe,152.4,101.2,253.6
20,construction companies,193.3,99.2,292.4
21,marketing agencies,289.5,101.6,391.1
22,human resources software,190.8,100.3,291.1
23,supply chain management companies,170.5,100.0,270.5
24,solar panel manufacturers,182.4,101.4,283.8
25,agricultural technology companies,169.4,98.8,268.2
26,electric vehicle manufacturers,125.9,100.3,226.2
27,biotech companies,172.4,103.0,275.4
28,digital transformation consultants,205.5,101.3,306.9
29,cloud computing providers,236.7,100.7,337.4
30,mobile app development companies,185.8,101.0,286.7
31,web design agencies,175.2,101.1,276.3
32,SEO companies,174.2,101.8,276.1
33,social media marketing agencies,183.5,100.5,284.0
34,venture capital firms,155.6,102.1,257.8
35,private equity firms,145.0,112.6,257.7
36,investment banks,191.0,112.6,303.5
37,insurance companies,156.5,112.7,269.2
38,real estate developers,204.5,112.7,317.3
39,property management companies,155.5,100.7,256.1
40,hospital management companies,192.2,100.6,292.8
41,medical device manufacturers,145.5,95.8,241.3
42,telecommunications companies,166.9,99.2,266.1
43,internet service providers,165.9,93.3,259.3
44,manufacturing automation companies,168.8,99.0,267.8
45,robotics companies,203.2,100.4,303.6
46,3D printing companies,153.2,100.4,253.6
47,packaging companies,176.1,99.1,275.2
48,food processing companies,150.8,99.3,250.2
49,beverage companies,137.8,100.0,237.8
50,mining companies,173.4,101.8,275.2
51,oil and gas companies,220.1,100.1,320.2
52,energy storage companies,160.4,100.4,260.8
53,waste management companies,170.6,100.6,271.2
54,water treatment companies,145.1,99.2,244.3
55,aerospace companies,186.5,95.8,282.3
56,defense contractors,151.6,99.8,251.4
57,transportation companies,163.7,97.9,261.6
58,shipping companies,192.1,101.8,293.9
59,trucking companies,183.8,102.5,286.3
60,freight forwarding companies,192.5,100.7,293.2
61,warehousing companies,152.8,101.2,254.0
62,cold storage companies,158.2,102.7,260.9
63,retail technology companies,209.6,101.0,310.6
64,point of sale systems providers,174.0,99.1,273.1
65,inventory management software,146.9,99.4,246.3
66,customer relationship management (CRM) software,181.7,100.5,282.2
67,enterprise resource planning (ERP) systems,188.3,98.8,287.1
68,business intelligence (BI) companies,170.8,100.7,271.5
69,IT consulting firms,209.3,99.8,309.1
70,cybersecurity solutions providers,219.3,99.2,318.5
71,cloud security providers,174.8,99.3,274.1
72,managed service providers (MSPs),203.0,102.0,305.1
73,remote monitoring and management (RMM) software,135.4,100.8,236.2
74,data center providers,167.6,100.5,268.1
75,web hosting companies,155.1,100.7,255.8
76,domain name registrars,193.2,101.8,295.0
77,content management systems (CMS),162.6,101.1,263.7
78,e-learning platforms,127.7,98.3,226.0
79,online marketing agencies,173.2,98.7,272.0
80,lead generation companies,148.3,97.4,245.7
81,market research firms,186.0,100.8,286.8
82,public relations agencies,158.6,100.0,258.7
83,graphic design studios,152.3,95.6,247.9
84,video production companies,183.7,100.7,284.5
85,translation services,147.4,99.7,247.1
86,legal technology companies,163.1,100.2,263.3
87,accounting software providers,161.0,98.4,259.4
88,tax preparation services,171.1,102.0,273.2
89,payroll processing companies,177.8,100.3,278.0
90,financial planning services,177.2,94.2,271.3
91,investment management firms,156.8,98.4,255.2
92,wealth management firms,242.8,101.7,344.4
93,commercial real estate brokers,167.6,101.6,269.2
94,residential real estate brokers,169.8,99.5,269.3
95,construction equipment manufacturers,174.7,98.4,273.1
96,building materials suppliers,212.0,100.3,312.3
97,renewable energy project developers,167.3,98.3,265.7
98,sustainable agriculture companies,162.8,100.0,262.8
99,vertical farming companies,163.6,100.3,263.9
100,precision agriculture technology providers,180.4,102.8,283.2
101,alternative protein manufacturers,191.2,102.4,293.6
