query_id,query,k,precision,recall,f1,ndcg
1,software companies,10,0.9,0.009,0.01782178217821782,0.9052116356304493
1,software companies,50,0.74,0.037,0.07047619047619047,0.7813710357750708
1,software companies,100,0.62,0.062,0.11272727272727275,0.6742872918968087
1,software companies,500,0.41,0.205,0.2733333333333333,0.4553882857193688
1,software companies,1000,0.338,0.338,0.338,0.37476438905993326
2,healthcare providers,10,0.9,0.009,0.01782178217821782,0.933745776545611
2,healthcare providers,50,0.88,0.044,0.0838095238095238,0.900998027437052
2,healthcare providers,100,0.87,0.087,0.15818181818181817,0.8845045616234137
2,healthcare providers,500,0.792,0.396,0.5279999999999999,0.8091845050343245
2,healthcare providers,1000,0.689,0.689,0.689,0.7145494727771062
3,AI startups in Berlin,10,0.6,0.006,0.011881188118811881,0.6804503724350792
3,AI startups in Berlin,50,0.46,0.023,0.04380952380952381,0.5042370390854659
3,AI startups in Berlin,100,0.39,0.039,0.07090909090909092,0.434990125532128
3,AI startups in Berlin,500,0.29,0.145,0.19333333333333336,0.31759907838401913
3,AI startups in Berlin,1000,0.3,0.3,0.3,0.31422453245244836
4,renewable energy companies in Germany,10,0.9,0.009,0.01782178217821782,0.9363792118010483
4,renewable energy companies in Germany,50,0.84,0.042,0.08,0.8492188386400872
4,renewable energy companies in Germany,100,0.91,0.091,0.16545454545454544,0.8998696583170703
4,renewable energy companies in Germany,500,0.77,0.385,0.5133333333333333,0.7869383055003061
4,renewable energy companies in Germany,1000,0.66,0.66,0.66,0.6864129153423784
5,companies providing cloud migration services,10,1.0,0.01,0.019801980198019802,1.0
5,companies providing cloud migration services,50,1.0,0.05,0.09523809523809523,1.0
5,companies providing cloud migration services,100,1.0,0.1,0.18181818181818182,1.0
5,companies providing cloud migration services,500,0.86,0.43,0.5733333333333333,0.8793514546207982
5,companies providing cloud migration services,1000,0.719,0.719,0.7190000000000001,0.7513458796838313
6,B2B SaaS platforms,10,1.0,0.01,0.019801980198019802,1.0
6,B2B SaaS platforms,50,0.92,0.046,0.08761904761904762,0.9348598955028282
6,B2B SaaS platforms,100,0.88,0.088,0.16,0.8974375271488484
6,B2B SaaS platforms,500,0.744,0.372,0.496,0.7700617481983156
6,B2B SaaS platforms,1000,0.572,0.572,0.572,0.6129877718924256
7,machine learning companies,10,0.9,0.009,0.01782178217821782,0.9052116356304493
7,machine learning companies,50,0.94,0.047,0.08952380952380952,0.9293500143458603
7,machine learning companies,100,0.93,0.093,0.16909090909090907,0.9264974420142031
7,machine learning companies,500,0.87,0.435,0.5800000000000001,0.8807078808682941
7,machine learning companies,1000,0.662,0.662,0.662,0.7004384242289942
8,IoT solution providers,10,1.0,0.01,0.019801980198019802,1.0
8,IoT solution providers,50,1.0,0.05,0.09523809523809523,1.0
8,IoT solution providers,100,0.98,0.098,0.17818181818181816,0.9852628354078202
8,IoT solution providers,500,0.99,0.495,0.66,0.9903607291780714
8,IoT solution providers,1000,0.897,0.897,0.897,0.9129090500199174
9,enterprise software vendors,10,0.6,0.006,0.011881188118811881,0.7007731679885374
9,enterprise software vendors,50,0.72,0.036,0.06857142857142856,0.7418750010564114
9,enterprise software vendors,100,0.72,0.072,0.13090909090909092,0.736987378519744
9,enterprise software vendors,500,0.48,0.24,0.32,0.5166940429284423
9,enterprise software vendors,1000,0.413,0.413,0.413,0.44475778600522675
10,small consulting firms,10,0.7,0.007,0.013861386138613862,0.702728403557943
10,small consulting firms,50,0.76,0.038,0.07238095238095238,0.7557573973752939
10,small consulting firms,100,0.75,0.075,0.13636363636363635,0.748285164441808
10,small consulting firms,500,0.558,0.279,0.37200000000000005,0.5850242102381704
10,small consulting firms,1000,0.456,0.456,0.456,0.48717700086089927
11,tech companies in Munich,10,0.9,0.009,0.01782178217821782,0.9266360779006401
11,tech companies in Munich,50,0.98,0.049,0.09333333333333334,0.9741556643296639
11,tech companies in Munich,100,0.94,0.094,0.1709090909090909,0.9472179300488047
11,tech companies in Munich,500,0.884,0.442,0.5893333333333334,0.8969631777323774
11,tech companies in Munich,1000,0.686,0.686,0.686,0.7243388885550468
12,manufacturing in Baden-Württemberg,10,1.0,0.01,0.019801980198019802,1.0
12,manufacturing in Baden-Württemberg,50,0.96,0.048,0.09142857142857141,0.9690833979737727
12,manufacturing in Baden-Württemberg,100,0.96,0.096,0.17454545454545453,0.9661153979263932
12,manufacturing in Baden-Württemberg,500,0.848,0.424,0.5653333333333332,0.8688085060166986
12,manufacturing in Baden-Württemberg,1000,0.707,0.707,0.707,0.7413150706193873
13,e-commerce platforms,10,1.0,0.01,0.019801980198019802,1.0
13,e-commerce platforms,50,0.96,0.048,0.09142857142857141,0.9685334746934497
13,e-commerce platforms,100,0.98,0.098,0.17818181818181816,0.9806173546116085
13,e-commerce platforms,500,0.97,0.485,0.6466666666666666,0.9727789292325484
13,e-commerce platforms,1000,0.744,0.744,0.744,0.7811570490340445
14,pharmaceutical companies,10,1.0,0.01,0.019801980198019802,1.0
14,pharmaceutical companies,50,0.96,0.048,0.09142857142857141,0.9657763842352484
14,pharmaceutical companies,100,0.97,0.097,0.1763636363636364,0.9711531183558202
14,pharmaceutical companies,500,0.944,0.472,0.6293333333333333,0.9481467639809736
14,pharmaceutical companies,1000,0.867,0.867,0.867,0.8824628954329079
15,logistics companies in the US,10,0.8,0.008,0.015841584158415842,0.841492960259019
15,logistics companies in the US,50,0.66,0.033,0.06285714285714285,0.6972914487830387
15,logistics companies in the US,100,0.59,0.059,0.10727272727272726,0.629905012814547
15,logistics companies in the US,500,0.596,0.298,0.39733333333333337,0.608546622771545
15,logistics companies in the US,1000,0.503,0.503,0.503,0.5241540334528658
16,data analytics companies,10,0.8,0.008,0.015841584158415842,0.8512360941594274
16,data analytics companies,50,0.86,0.043,0.0819047619047619,0.8677185075778472
16,data analytics companies,100,0.83,0.083,0.15090909090909094,0.8424302076385382
16,data analytics companies,500,0.808,0.404,0.5386666666666666,0.8159803394233397
16,data analytics companies,1000,0.689,0.689,0.689,0.7122893392519057
17,cybersecurity firms,10,0.9,0.009,0.01782178217821782,0.8899541168509599
17,cybersecurity firms,50,0.88,0.044,0.0838095238095238,0.8855800877194488
17,cybersecurity firms,100,0.87,0.087,0.15818181818181817,0.8757215846870747
17,cybersecurity firms,500,0.802,0.401,0.5346666666666667,0.8112521986724596
17,cybersecurity firms,1000,0.715,0.715,0.715,0.7340234970914893
18,financial services companies,10,0.8,0.008,0.015841584158415842,0.8482378089219645
18,financial services companies,50,0.58,0.029,0.05523809523809523,0.6383336981881449
18,financial services companies,100,0.54,0.054,0.09818181818181818,0.5837659698857679
18,financial services companies,500,0.476,0.238,0.3173333333333333,0.49916976411944003
18,financial services companies,1000,0.438,0.438,0.43799999999999994,0.45648163170975625
19,retail chains in Europe,10,1.0,0.01,0.019801980198019802,1.0
19,retail chains in Europe,50,1.0,0.05,0.09523809523809523,1.0
19,retail chains in Europe,100,0.98,0.098,0.17818181818181816,0.9854264082082516
19,retail chains in Europe,500,0.914,0.457,0.6093333333333334,0.9259799888670309
19,retail chains in Europe,1000,0.798,0.798,0.798,0.8234004352811065
20,construction companies,10,1.0,0.01,0.019801980198019802,1.0
20,construction companies,50,0.86,0.043,0.0819047619047619,0.8750976623578736
20,construction companies,100,0.83,0.083,0.15090909090909094,0.8458038405302057
20,construction companies,500,0.79,0.395,0.5266666666666667,0.8007553175229015
20,construction companies,1000,0.698,0.698,0.698,0.7184921869179552
21,marketing agencies,10,0.8,0.008,0.015841584158415842,0.8454256604216017
21,marketing agencies,50,0.58,0.029,0.05523809523809523,0.648291194971669
21,marketing agencies,100,0.54,0.054,0.09818181818181818,0.5907637304061639
21,marketing agencies,500,0.452,0.226,0.30133333333333334,0.47828916700030616
21,marketing agencies,1000,0.417,0.417,0.417,0.43751445067504124
22,human resources software,10,1.0,0.01,0.019801980198019802,1.0
22,human resources software,50,0.96,0.048,0.09142857142857141,0.971663209455477
22,human resources software,100,0.98,0.098,0.17818181818181816,0.982545198199711
22,human resources software,500,0.944,0.472,0.6293333333333333,0.9513691895998084
22,human resources software,1000,0.77,0.77,0.7699999999999999,0.8012704443906659
23,supply chain management companies,10,1.0,0.01,0.019801980198019802,1.0
23,supply chain management companies,50,0.96,0.048,0.09142857142857141,0.9660481547546954
23,supply chain management companies,100,0.94,0.094,0.1709090909090909,0.9480255916005617
23,supply chain management companies,500,0.826,0.413,0.5506666666666666,0.8465198342435915
23,supply chain management companies,1000,0.649,0.649,0.649,0.6875794660983766
24,solar panel manufacturers,10,1.0,0.01,0.019801980198019802,1.0
24,solar panel manufacturers,50,1.0,0.05,0.09523809523809523,1.0
24,solar panel manufacturers,100,1.0,0.1,0.18181818181818182,1.0
24,solar panel manufacturers,500,0.958,0.479,0.6386666666666667,0.9647899042086593
24,solar panel manufacturers,1000,0.873,0.873,0.8729999999999999,0.8901776957533067
25,agricultural technology companies,10,0.7,0.007,0.013861386138613862,0.7381919257729245
25,agricultural technology companies,50,0.58,0.029,0.05523809523809523,0.616012837957678
25,agricultural technology companies,100,0.53,0.053,0.09636363636363636,0.562717520019048
25,agricultural technology companies,500,0.46,0.23,0.30666666666666664,0.4810558325696092
25,agricultural technology companies,1000,0.415,0.415,0.415,0.434392079275269
26,electric vehicle manufacturers,10,1.0,0.01,0.019801980198019802,1.0
26,electric vehicle manufacturers,50,1.0,0.05,0.09523809523809523,1.0
26,electric vehicle manufacturers,100,1.0,0.1,0.18181818181818182,1.0
26,electric vehicle manufacturers,500,0.998,0.499,0.6653333333333333,0.997944401298097
26,electric vehicle manufacturers,1000,0.933,0.933,0.933,0.9440900239409502
27,biotech companies,10,1.0,0.01,0.019801980198019802,1.0
27,biotech companies,50,0.98,0.049,0.09333333333333334,0.983089718400355
27,biotech companies,100,0.95,0.095,0.17272727272727273,0.9589118842164777
27,biotech companies,500,0.886,0.443,0.5906666666666667,0.8987012770018785
27,biotech companies,1000,0.7,0.7,0.7,0.7362420544401763
28,digital transformation consultants,10,1.0,0.01,0.019801980198019802,1.0
28,digital transformation consultants,50,0.98,0.049,0.09333333333333334,0.9860416298881255
28,digital transformation consultants,100,0.97,0.097,0.1763636363636364,0.9760608680865178
28,digital transformation consultants,500,0.856,0.428,0.5706666666666667,0.8754627251388
28,digital transformation consultants,1000,0.7,0.7,0.7,0.7352811781015473
29,cloud computing providers,10,0.8,0.008,0.015841584158415842,0.8263333286520083
29,cloud computing providers,50,0.34,0.017,0.03238095238095238,0.42933527675555505
29,cloud computing providers,100,0.29,0.029,0.05272727272727272,0.3592133350685802
29,cloud computing providers,500,0.324,0.162,0.216,0.3348898307846786
29,cloud computing providers,1000,0.596,0.596,0.596,0.5620027498208945
30,mobile app development companies,10,1.0,0.01,0.019801980198019802,1.0
30,mobile app development companies,50,1.0,0.05,0.09523809523809523,1.0
30,mobile app development companies,100,0.99,0.099,0.18,0.9923087395220365
