query_id,query,k,precision,recall,f1,ndcg
1,software companies,10,0.4,0.004,0.007920792079207921,0.3398414932237254
1,software companies,50,0.28,0.014,0.02666666666666667,0.28027750684626807
1,software companies,100,0.27,0.027,0.04909090909090909,0.2710444294448495
1,software companies,500,0.256,0.128,0.17066666666666666,0.25881078116172
1,software companies,1000,0.242,0.242,0.242,0.24602134562630537
2,healthcare providers,10,1.0,0.01,0.019801980198019802,1.0
2,healthcare providers,50,0.92,0.046,0.08761904761904762,0.9243651300828439
2,healthcare providers,100,0.9,0.09,0.16363636363636364,0.9059916428048598
2,healthcare providers,500,0.812,0.406,0.5413333333333333,0.8281153425243769
2,healthcare providers,1000,0.726,0.726,0.726,0.748558405871504
3,AI startups in Berlin,10,0.8,0.008,0.015841584158415842,0.8701249883466593
3,AI startups in Berlin,50,0.88,0.044,0.0838095238095238,0.8855802385071041
3,AI startups in Berlin,100,0.89,0.089,0.16181818181818183,0.8904724178075002
3,AI startups in Berlin,500,0.782,0.391,0.5213333333333334,0.7995744073740867
3,AI startups in Berlin,1000,0.594,0.594,0.594,0.632565785843377
4,renewable energy companies in Germany,10,1.0,0.01,0.019801980198019802,1.0
4,renewable energy companies in Germany,50,0.94,0.047,0.08952380952380952,0.9513046615260378
4,renewable energy companies in Germany,100,0.86,0.086,0.15636363636363637,0.8863754160791267
4,renewable energy companies in Germany,500,0.848,0.424,0.5653333333333332,0.8584694360019824
4,renewable energy companies in Germany,1000,0.764,0.764,0.764,0.7833048121002638
5,companies providing cloud migration services,10,1.0,0.01,0.019801980198019802,1.0
5,companies providing cloud migration services,50,1.0,0.05,0.09523809523809523,1.0
5,companies providing cloud migration services,100,0.96,0.096,0.17454545454545453,0.9692377353413988
5,companies providing cloud migration services,500,0.798,0.399,0.532,0.8254187000543307
5,companies providing cloud migration services,1000,0.583,0.583,0.583,0.6318161712011431
6,B2B SaaS platforms,10,0.9,0.009,0.01782178217821782,0.9363792118010483
6,B2B SaaS platforms,50,0.86,0.043,0.0819047619047619,0.8845512106053808
6,B2B SaaS platforms,100,0.85,0.085,0.15454545454545457,0.8679523355428647
6,B2B SaaS platforms,500,0.698,0.349,0.46533333333333327,0.7273115555973838
6,B2B SaaS platforms,1000,0.537,0.537,0.537,0.5787117726450008
7,machine learning companies,10,1.0,0.01,0.019801980198019802,1.0
7,machine learning companies,50,0.94,0.047,0.08952380952380952,0.9540511806808367
7,machine learning companies,100,0.95,0.095,0.17272727272727273,0.9567296439829054
7,machine learning companies,500,0.732,0.366,0.48800000000000004,0.767106345223413
7,machine learning companies,1000,0.529,0.529,0.529,0.5800508545977233
8,IoT solution providers,10,1.0,0.01,0.019801980198019802,1.0
8,IoT solution providers,50,0.96,0.048,0.09142857142857141,0.9674979427934133
8,IoT solution providers,100,0.92,0.092,0.1672727272727273,0.9333648999252415
8,IoT solution providers,500,0.8,0.4,0.5333333333333333,0.8241633324046175
8,IoT solution providers,1000,0.623,0.623,0.623,0.6636149205551378
9,enterprise software vendors,10,0.7,0.007,0.013861386138613862,0.6659485553357843
9,enterprise software vendors,50,0.46,0.023,0.04380952380952381,0.512251902266744
9,enterprise software vendors,100,0.46,0.046,0.08363636363636365,0.49365970016064914
9,enterprise software vendors,500,0.378,0.189,0.25200000000000006,0.3993020510632136
9,enterprise software vendors,1000,0.337,0.337,0.337,0.3552104009334632
10,small consulting firms,10,0.9,0.009,0.01782178217821782,0.933745776545611
10,small consulting firms,50,0.82,0.041,0.07809523809523809,0.8450034030776756
10,small consulting firms,100,0.68,0.068,0.12363636363636364,0.7288657234269125
10,small consulting firms,500,0.438,0.219,0.292,0.4841050192708894
10,small consulting firms,1000,0.36,0.36,0.36,0.39812886281218435
11,tech companies in Munich,10,1.0,0.01,0.019801980198019802,1.0
11,tech companies in Munich,50,0.9,0.045,0.08571428571428572,0.9224142836184942
11,tech companies in Munich,100,0.9,0.09,0.16363636363636364,0.9156408497565777
11,tech companies in Munich,500,0.824,0.412,0.5493333333333332,0.8427672596324652
11,tech companies in Munich,1000,0.664,0.664,0.664,0.6993540771793384
12,manufacturing in Baden-Württemberg,10,1.0,0.01,0.019801980198019802,1.0
12,manufacturing in Baden-Württemberg,50,1.0,0.05,0.09523809523809523,1.0
12,manufacturing in Baden-Württemberg,100,0.98,0.098,0.17818181818181816,0.9838620651560394
12,manufacturing in Baden-Württemberg,500,0.872,0.436,0.5813333333333333,0.8882557205070639
12,manufacturing in Baden-Württemberg,1000,0.744,0.744,0.744,0.7734016389915271
13,e-commerce platforms,10,0.7,0.007,0.013861386138613862,0.793584067764911
13,e-commerce platforms,50,0.9,0.045,0.08571428571428572,0.8905314390838363
13,e-commerce platforms,100,0.9,0.09,0.16363636363636364,0.8960120232960576
13,e-commerce platforms,500,0.81,0.405,0.54,0.8184330539798985
13,e-commerce platforms,1000,0.801,0.801,0.801,0.8081685124232476
14,pharmaceutical companies,10,1.0,0.01,0.019801980198019802,1.0
14,pharmaceutical companies,50,1.0,0.05,0.09523809523809523,1.0
14,pharmaceutical companies,100,1.0,0.1,0.18181818181818182,1.0
14,pharmaceutical companies,500,0.964,0.482,0.6426666666666666,0.9693477363374726
14,pharmaceutical companies,1000,0.895,0.895,0.895,0.9094040871687836
15,logistics companies in the US,10,0.7,0.007,0.013861386138613862,0.6659485553357843
15,logistics companies in the US,50,0.7,0.035,0.06666666666666667,0.6953184305602439
15,logistics companies in the US,100,0.72,0.072,0.13090909090909092,0.7114825960487333
15,logistics companies in the US,500,0.622,0.311,0.41466666666666663,0.6340132052321851
15,logistics companies in the US,1000,0.493,0.493,0.493,0.519928734717115
16,data analytics companies,10,1.0,0.01,0.019801980198019802,1.0
16,data analytics companies,50,0.9,0.045,0.08571428571428572,0.9223217652059778
16,data analytics companies,100,0.83,0.083,0.15090909090909094,0.8601946331704059
16,data analytics companies,500,0.77,0.385,0.5133333333333333,0.790828224395197
16,data analytics companies,1000,0.629,0.629,0.629,0.6623717745901301
17,cybersecurity firms,10,1.0,0.01,0.019801980198019802,1.0
17,cybersecurity firms,50,0.82,0.041,0.07809523809523809,0.8544984553335956
17,cybersecurity firms,100,0.81,0.081,0.14727272727272728,0.8330457580244168
17,cybersecurity firms,500,0.766,0.383,0.5106666666666667,0.7831423958025825
17,cybersecurity firms,1000,0.694,0.694,0.694,0.7151317303967638
18,financial services companies,10,0.6,0.006,0.011881188118811881,0.5779050396291792
18,financial services companies,50,0.6,0.03,0.05714285714285714,0.5881563427401528
18,financial services companies,100,0.56,0.056,0.10181818181818182,0.5622166440059583
18,financial services companies,500,0.52,0.26,0.3466666666666667,0.5265542854385827
18,financial services companies,1000,0.485,0.485,0.485,0.4944659413137582
19,retail chains in Europe,10,0.9,0.009,0.01782178217821782,0.9266360779006401
19,retail chains in Europe,50,0.96,0.048,0.09142857142857141,0.9590399051183137
19,retail chains in Europe,100,0.96,0.096,0.17454545454545453,0.9599511650451411
19,retail chains in Europe,500,0.874,0.437,0.5826666666666667,0.8861806976125027
19,retail chains in Europe,1000,0.73,0.73,0.7299999999999999,0.7597841474008845
20,construction companies,10,1.0,0.01,0.019801980198019802,1.0
20,construction companies,50,0.94,0.047,0.08952380952380952,0.9481708891748789
20,construction companies,100,0.92,0.092,0.1672727272727273,0.9292119666658084
20,construction companies,500,0.892,0.446,0.5946666666666667,0.9002450608932643
20,construction companies,1000,0.758,0.758,0.7579999999999999,0.7831745288715798
21,marketing agencies,10,0.7,0.007,0.013861386138613862,0.7167674835027339
21,marketing agencies,50,0.64,0.032,0.06095238095238095,0.6567489865694608
21,marketing agencies,100,0.55,0.055,0.09999999999999999,0.5810998260707295
21,marketing agencies,500,0.476,0.238,0.3173333333333333,0.4975556820558976
21,marketing agencies,1000,0.428,0.428,0.428,0.4473535598847974
