query_id,query,k,precision,recall,f1,ndcg
1,software companies,10,0.5,0.005,0.009900990099009901,0.5884674004369673
1,software companies,50,0.52,0.026,0.04952380952380952,0.5498459115678275
1,software companies,100,0.38,0.038,0.06909090909090909,0.43203097105936494
1,software companies,500,0.322,0.161,0.2146666666666667,0.342425310768043
1,software companies,1000,0.301,0.301,0.301,0.31626656687608956
2,healthcare providers,10,0.9,0.009,0.01782178217821782,0.9052116356304493
2,healthcare providers,50,0.82,0.041,0.07809523809523809,0.8284901342291207
2,healthcare providers,100,0.83,0.083,0.15090909090909094,0.8329710930421454
2,healthcare providers,500,0.734,0.367,0.48933333333333334,0.7514409977336994
2,healthcare providers,1000,0.631,0.631,0.631,0.6564778399335333
3,AI startups in Berlin,10,0.9,0.009,0.01782178217821782,0.933745776545611
3,AI startups in Berlin,50,0.9,0.045,0.08571428571428572,0.9097703313945785
3,AI startups in Berlin,100,0.87,0.087,0.15818181818181817,0.8822508907869985
3,AI startups in Berlin,500,0.666,0.333,0.444,0.7015025036813098
3,AI startups in Berlin,1000,0.478,0.478,0.478,0.5265040752008104
4,renewable energy companies in Germany,10,1.0,0.01,0.019801980198019802,1.0
4,renewable energy companies in Germany,50,0.96,0.048,0.09142857142857141,0.9714883816355501
4,renewable energy companies in Germany,100,0.88,0.088,0.16,0.9033771528167395
4,renewable energy companies in Germany,500,0.848,0.424,0.5653333333333332,0.8615612025955686
4,renewable energy companies in Germany,1000,0.689,0.689,0.689,0.721379434832456
5,companies providing cloud migration services,10,1.0,0.01,0.019801980198019802,1.0
5,companies providing cloud migration services,50,1.0,0.05,0.09523809523809523,1.0
5,companies providing cloud migration services,100,0.9,0.09,0.16363636363636364,0.9233496843517549
5,companies providing cloud migration services,500,0.746,0.373,0.49733333333333335,0.7763072702977684
5,companies providing cloud migration services,1000,0.498,0.498,0.498,0.5533039968349627
6,B2B SaaS platforms,10,1.0,0.01,0.019801980198019802,1.0
6,B2B SaaS platforms,50,0.82,0.041,0.07809523809523809,0.8561619326503155
6,B2B SaaS platforms,100,0.9,0.09,0.16363636363636364,0.9037552082276827
6,B2B SaaS platforms,500,0.672,0.336,0.44800000000000006,0.7060776229809602
6,B2B SaaS platforms,1000,0.511,0.511,0.511,0.5550948002304062
7,machine learning companies,10,1.0,0.01,0.019801980198019802,1.0
7,machine learning companies,50,0.94,0.047,0.08952380952380952,0.9549296854731926
7,machine learning companies,100,0.88,0.088,0.16,0.902764772199061
7,machine learning companies,500,0.546,0.273,0.36400000000000005,0.600147085314063
