method,k,ndcg,precision,recall,f1
MiniLM all fields (baseline),10,0.975,0.972,0.01,0.019
MiniLM all fields (baseline),50,0.955,0.95,0.047,0.09
MiniLM all fields (baseline),100,0.945,0.938,0.094,0.171
MiniLM all fields (baseline),500,0.872,0.858,0.429,0.572
MiniLM all fields (baseline),1000,0.767,0.741,0.741,0.741
HyDE + MiniLM,10,0.749,0.753,0.008,0.015
HyDE + MiniLM,50,0.738,0.735,0.037,0.07
HyDE + MiniLM,100,0.729,0.725,0.073,0.132
HyDE + MiniLM,500,0.668,0.656,0.328,0.438
HyDE + MiniLM,1000,0.586,0.565,0.565,0.565
HyDE + MiniLM + Reranker,10,0.906,0.897,0.009,0.018
HyDE + MiniLM + Reranker,50,0.778,0.735,0.037,0.07
HyDE + MiniLM + Reranker,100,0.754,0.725,0.073,0.132
HyDE + MiniLM + Reranker,500,0.675,0.656,0.328,0.438
HyDE + MiniLM + Reranker,1000,0.59,0.565,0.565,0.565
