method,k,ndcg,precision,recall,f1
BM25,10,0.854,0.838,0.008,0.017
BM25,50,0.772,0.748,0.037,0.071
BM25,100,0.744,0.723,0.072,0.131
BM25,500,0.723,0.715,0.357,0.476
BM25,1000,0.652,0.635,0.635,0.635
MiniLM,10,0.975,0.972,0.01,0.019
MiniLM,50,0.955,0.95,0.047,0.09
MiniLM,100,0.945,0.938,0.094,0.171
MiniLM,500,0.872,0.858,0.429,0.572
MiniLM,1000,0.767,0.741,0.741,0.741
BGE,10,0.942,0.94,0.009,0.019
BGE,50,0.922,0.916,0.046,0.087
BGE,100,0.914,0.908,0.091,0.165
BGE,500,0.854,0.842,0.421,0.562
BGE,1000,0.751,0.726,0.726,0.726
Hybrid RRF,10,0.955,0.951,0.01,0.019
Hybrid RRF,50,0.918,0.906,0.045,0.086
Hybrid RRF,100,0.891,0.877,0.088,0.159
Hybrid RRF,500,0.828,0.815,0.407,0.543
Hybrid RRF,1000,0.746,0.724,0.724,0.724
Hybrid RRF + Reranker,10,0.975,0.976,0.01,0.019
Hybrid RRF + Reranker,50,0.924,0.906,0.045,0.086
Hybrid RRF + Reranker,100,0.895,0.877,0.088,0.159
Hybrid RRF + Reranker,500,0.829,0.815,0.407,0.543
Hybrid RRF + Reranker,1000,0.746,0.724,0.724,0.724
