method,query,k,ndcg,precision,recall,f1,overlap
Istari BM25,software companies,10,0.0,0.0,0.0,0.0,0
Istari BM25,software companies,50,0.0,0.0,0.0,0.0,0
Istari BM25,software companies,100,0.008,0.0,0.0,0.0,0
Istari BM25,software companies,500,0.0056,0.0,0.0,0.0,1
Istari BM25,software companies,1000,0.0058,0.0,0.0,0.0,3
Istari BM25,healthcare providers,10,0.0,0.0,0.0,0.0,0
Istari BM25,healthcare providers,50,0.0,0.0,0.0,0.0,0
Istari BM25,healthcare providers,100,0.0073,0.0,0.0,0.0,0
Istari BM25,healthcare providers,500,0.0038,0.0,0.0,0.0,1
Istari BM25,healthcare providers,1000,0.0039,0.0,0.0,0.0,2
Istari BM25,AI startups in Berlin,10,0.0,0.0,0.0,0.0,0
Istari BM25,AI startups in Berlin,50,0.1304,0.06,0.0732,0.0659,6
Istari BM25,AI startups in Berlin,100,0.1108,0.03,0.0732,0.0426,6
Istari BM25,AI startups in Berlin,500,0.0773,0.018,0.2195,0.0333,27
Istari BM25,AI startups in Berlin,1000,0.0767,0.018,0.439,0.0346,36
Istari BM25,renewable energy companies in Germany,10,0.0,0.0,0.0,0.0,0
Istari BM25,renewable energy companies in Germany,50,0.0,0.0,0.0,0.0,0
Istari BM25,renewable energy companies in Germany,100,0.0071,0.01,0.0015,0.0025,0
Istari BM25,renewable energy companies in Germany,500,0.0176,0.012,0.0087,0.0101,6
Istari BM25,renewable energy companies in Germany,1000,0.0186,0.012,0.0175,0.0142,10
Istari BM25,companies providing cloud migration services,10,0.1601,0.0,0.0,0.0,0
Istari BM25,companies providing cloud migration services,50,0.1279,0.04,0.0063,0.0108,2
Istari BM25,companies providing cloud migration services,100,0.1391,0.06,0.0188,0.0286,4
Istari BM25,companies providing cloud migration services,500,0.1181,0.042,0.0658,0.0513,32
Istari BM25,companies providing cloud migration services,1000,0.1191,0.042,0.1317,0.0637,59
Istari BM25,B2B SaaS platforms,10,0.3338,0.1,0.0034,0.0066,0
Istari BM25,B2B SaaS platforms,50,0.2165,0.06,0.0102,0.0174,2
Istari BM25,B2B SaaS platforms,100,0.1957,0.1,0.0339,0.0506,5
Istari BM25,B2B SaaS platforms,500,0.1346,0.064,0.1085,0.0805,40
Istari BM25,B2B SaaS platforms,1000,0.1299,0.064,0.2169,0.0988,60
Istari BM25,machine learning companies,10,0.1604,0.0,0.0,0.0,0
