method,query,k,ndcg,precision,recall,overlap
Istari BM25,software companies,10,0.0,0.0,0.0,0
Istari BM25,software companies,50,0.0,0.0,0.0,0
Istari BM25,software companies,100,0.008,0.01,0.001,0
Istari BM25,software companies,500,0.0056,0.006,0.003,1
Istari BM25,software companies,1000,0.0058,0.006,0.006,3
Istari BM25,healthcare providers,10,0.0,0.0,0.0,0
Istari BM25,healthcare providers,50,0.0,0.0,0.0,0
Istari BM25,healthcare providers,100,0.0073,0.01,0.001,0
Istari BM25,healthcare providers,500,0.0038,0.004,0.002,1
Istari BM25,healthcare providers,1000,0.0039,0.004,0.004,2
Istari BM25,AI startups in Berlin,10,0.0,0.0,0.0,0
Istari BM25,AI startups in Berlin,50,0.1304,0.16,0.008,6
Istari BM25,AI startups in Berlin,100,0.1108,0.12,0.012,6
Istari BM25,AI startups in Berlin,500,0.0773,0.072,0.036,27
Istari BM25,AI startups in Berlin,1000,0.0767,0.072,0.072,36
Istari BM25,renewable energy companies in Germany,10,0.0,0.0,0.0,0
Istari BM25,renewable energy companies in Germany,50,0.0,0.0,0.0,0
Istari BM25,renewable energy companies in Germany,100,0.0071,0.01,0.001,0
Istari BM25,renewable energy companies in Germany,500,0.0176,0.02,0.01,6
Istari BM25,renewable energy companies in Germany,1000,0.0186,0.02,0.02,10
Istari BM25,companies providing cloud migration services,10,0.1601,0.2,0.002,0
Istari BM25,companies providing cloud migration services,50,0.1279,0.14,0.007,2
Istari BM25,companies providing cloud migration services,100,0.1391,0.15,0.015,4
Istari BM25,companies providing cloud migration services,500,0.1181,0.118,0.059,32
Istari BM25,companies providing cloud migration services,1000,0.1191,0.118,0.118,59
Istari BM25,B2B SaaS platforms,10,0.3338,0.2,0.002,0
Istari BM25,B2B SaaS platforms,50,0.2165,0.18,0.009,2
Istari BM25,B2B SaaS platforms,100,0.1957,0.17,0.017,5
Istari BM25,B2B SaaS platforms,500,0.1346,0.12,0.06,40
Istari BM25,B2B SaaS platforms,1000,0.1299,0.12,0.12,60
Istari BM25,machine learning companies,10,0.1604,0.2,0.002,0
Istari BM25,machine learning companies,50,0.1708,0.18,0.009,4
Istari BM25,machine learning companies,100,0.1675,0.17,0.017,8
Istari BM25,machine learning companies,500,0.0943,0.084,0.042,36
Istari BM25,machine learning companies,1000,0.0914,0.084,0.084,42
Istari BM25,IoT solution providers,10,0.0,0.0,0.0,0
Istari BM25,IoT solution providers,50,0.054,0.08,0.004,0
Istari BM25,IoT solution providers,100,0.0926,0.12,0.012,0
Istari BM25,IoT solution providers,500,0.1284,0.138,0.069,38
Istari BM25,IoT solution providers,1000,0.1331,0.138,0.138,69
Istari BM25,enterprise software vendors,10,0.0,0.0,0.0,0
Istari BM25,enterprise software vendors,50,0.0169,0.02,0.001,0
Istari BM25,enterprise software vendors,100,0.0105,0.01,0.001,1
Istari BM25,enterprise software vendors,500,0.0102,0.01,0.005,4
Istari BM25,enterprise software vendors,1000,0.0103,0.01,0.01,5
Istari BM25,small consulting firms,10,0.0,0.0,0.0,0
Istari BM25,small consulting firms,50,0.0,0.0,0.0,0
