method,query,k,ndcg,precision,recall,f1,overlap
Istari v1 BM25,software companies,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,software companies,30,0.0,0.0,0.0,0.0,0
Istari v1 BM25,software companies,50,0.0,0.0,0.0,0.0,0
Istari v1 BM25,software companies,100,0.008,0.0,0.0,0.0,0
Istari v1 BM25,software companies,200,0.0048,0.0,0.0,0.0,0
Istari v1 BM25,software companies,500,0.0056,0.0,0.0,0.0,1
Istari v1 BM25,software companies,816,0.0049,0.0,0.0,0.0,2
Istari v1 BM25,healthcare providers,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,healthcare providers,30,0.0,0.0,0.0,0.0,0
Istari v1 BM25,healthcare providers,50,0.0,0.0,0.0,0.0,0
Istari v1 BM25,healthcare providers,100,0.0073,0.0,0.0,0.0,0
Istari v1 BM25,healthcare providers,200,0.0044,0.0,0.0,0.0,0
Istari v1 BM25,healthcare providers,500,0.0038,0.0,0.0,0.0,1
Istari v1 BM25,healthcare providers,816,0.0036,0.0,0.0,0.0,1
Istari v1 BM25,AI startups in Berlin,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,AI startups in Berlin,30,0.1206,0.0667,0.0488,0.0563,2
Istari v1 BM25,AI startups in Berlin,50,0.1304,0.06,0.0732,0.0659,6
Istari v1 BM25,AI startups in Berlin,100,0.1108,0.03,0.0732,0.0426,6
Istari v1 BM25,AI startups in Berlin,200,0.1071,0.035,0.1707,0.0581,13
Istari v1 BM25,AI startups in Berlin,500,0.0773,0.018,0.2195,0.0333,27
Istari v1 BM25,AI startups in Berlin,816,0.0802,0.0208,0.4146,0.0397,33
Istari v1 BM25,renewable energy companies in Germany,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,renewable energy companies in Germany,30,0.0,0.0,0.0,0.0,0
Istari v1 BM25,renewable energy companies in Germany,50,0.0,0.0,0.0,0.0,0
Istari v1 BM25,renewable energy companies in Germany,100,0.0071,0.01,0.0015,0.0025,0
Istari v1 BM25,renewable energy companies in Germany,200,0.0119,0.015,0.0044,0.0068,0
Istari v1 BM25,renewable energy companies in Germany,500,0.0176,0.012,0.0087,0.0101,6
Istari v1 BM25,renewable energy companies in Germany,816,0.018,0.0123,0.0146,0.0133,9
