method,query,k,ndcg,precision,recall,f1
Istari v1 BM25,software companies,10,0.0,0.0,0.0,0.0
Istari v1 BM25,software companies,50,0.0,0.0,0.0,0.0
Istari v1 BM25,software companies,100,0.008,0.0,0.0,0.0
Istari v1 BM25,healthcare providers,10,0.0,0.0,0.0,0.0
Istari v1 BM25,healthcare providers,50,0.0,0.0,0.0,0.0
Istari v1 BM25,healthcare providers,100,0.0073,0.0,0.0,0.0
Istari v1 BM25,AI startups in Berlin,10,0.0,0.0,0.0,0.0
Istari v1 BM25,AI startups in Berlin,50,0.1304,0.06,0.0732,0.0659
Istari v1 BM25,AI startups in Berlin,100,0.1108,0.03,0.0732,0.0426
Istari v1 BM25,renewable energy companies in Germany,10,0.0,0.0,0.0,0.0
Istari v1 BM25,renewable energy companies in Germany,50,0.0,0.0,0.0,0.0
Istari v1 BM25,renewable energy companies in Germany,100,0.0071,0.01,0.0015,0.0025
Istari v1 BM25,companies providing cloud migration services,10,0.1601,0.0,0.0,0.0
Istari v1 BM25,companies providing cloud migration services,50,0.1279,0.04,0.0063,0.0108
Istari v1 BM25,companies providing cloud migration services,100,0.1391,0.06,0.0188,0.0286
Istari v1 BM25,B2B SaaS platforms,10,0.3338,0.1,0.0034,0.0066
Istari v1 BM25,B2B SaaS platforms,50,0.2165,0.06,0.0102,0.0174
Istari v1 BM25,B2B SaaS platforms,100,0.1957,0.1,0.0339,0.0506
Istari v1 BM25,machine learning companies,10,0.1604,0.0,0.0,0.0
Istari v1 BM25,machine learning companies,50,0.1708,0.02,0.2,0.0364
Istari v1 BM25,machine learning companies,100,0.1675,0.01,0.2,0.019
Istari v1 BM25,IoT solution providers,10,0.0,0.0,0.0,0.0
Istari v1 BM25,IoT solution providers,50,0.054,0.08,0.004,0.0076
Istari v1 BM25,IoT solution providers,100,0.0926,0.12,0.012,0.0218
Istari v1 BM25,enterprise software vendors,10,0.0,0.0,0.0,0.0
Istari v1 BM25,enterprise software vendors,50,0.0169,0.02,0.001,0.0019
Istari v1 BM25,enterprise software vendors,100,0.0105,0.01,0.001,0.0018
Istari v1 BM25,small consulting firms,10,0.0,0.0,0.0,0.0
Istari v1 BM25,small consulting firms,50,0.0,0.0,0.0,0.0
Istari v1 BM25,small consulting firms,100,0.0,0.0,0.0,0.0
Istari v1 BM25,tech companies in Munich,10,0.0,0.0,0.0,0.0
Istari v1 BM25,tech companies in Munich,50,0.0,0.0,0.0,0.0
Istari v1 BM25,tech companies in Munich,100,0.0,0.0,0.0,0.0
Istari v1 BM25,manufacturing in Baden-Württemberg,10,0.0,0.0,0.0,0.0
Istari v1 BM25,manufacturing in Baden-Württemberg,50,0.0,0.0,0.0,0.0
