config,k,ndcg,precision,recall,f1,avg_ms_per_query
Exact (FlatL2),10,0.9746,0.9723,0.0097,0.0193,175.46
Exact (FlatL2),50,0.9553,0.9497,0.0475,0.0904,175.46
Exact (FlatL2),100,0.9445,0.9383,0.0938,0.1706,175.46
Exact (FlatL2),500,0.8719,0.8582,0.4291,0.5721,175.46
Exact (FlatL2),1000,0.7671,0.7407,0.7407,0.7407,175.46
IVF (nprobe=1),10,0.9812,0.9792,0.0098,0.0194,21.56
IVF (nprobe=1),50,0.9647,0.959,0.048,0.0913,21.56
IVF (nprobe=1),100,0.9518,0.9448,0.0945,0.1718,21.56
IVF (nprobe=1),500,0.8781,0.8627,0.4314,0.5751,21.56
IVF (nprobe=1),1000,0.684,0.6405,0.6405,0.6405,21.56
IVF (nprobe=8),10,0.9744,0.9723,0.0097,0.0193,26.37
IVF (nprobe=8),50,0.9553,0.9497,0.0475,0.0904,26.37
IVF (nprobe=8),100,0.945,0.9389,0.0939,0.1707,26.37
IVF (nprobe=8),500,0.8736,0.8601,0.4301,0.5734,26.37
IVF (nprobe=8),1000,0.7694,0.7433,0.7433,0.7433,26.37
IVF (nprobe=32),10,0.9746,0.9723,0.0097,0.0193,48.77
IVF (nprobe=32),50,0.9556,0.9501,0.0475,0.0905,48.77
IVF (nprobe=32),100,0.9448,0.9386,0.0939,0.1707,48.77
IVF (nprobe=32),500,0.8714,0.8576,0.4288,0.5717,48.77
IVF (nprobe=32),1000,0.7663,0.7398,0.7398,0.7398,48.77
IVF (nprobe=128),10,0.9746,0.9723,0.0097,0.0193,108.45
IVF (nprobe=128),50,0.9553,0.9497,0.0475,0.0904,108.45
IVF (nprobe=128),100,0.9445,0.9383,0.0938,0.1706,108.45
IVF (nprobe=128),500,0.8719,0.8582,0.4291,0.5721,108.45
IVF (nprobe=128),1000,0.767,0.7407,0.7407,0.7407,108.45
IVF (nprobe=4096),10,0.9746,0.9723,0.0097,0.0193,127.36
IVF (nprobe=4096),50,0.9553,0.9497,0.0475,0.0904,127.36
IVF (nprobe=4096),100,0.9445,0.9383,0.0938,0.1706,127.36
IVF (nprobe=4096),500,0.8719,0.8582,0.4291,0.5721,127.36
IVF (nprobe=4096),1000,0.7671,0.7407,0.7407,0.7407,127.36
HNSW (efSearch=16),10,0.9714,0.9673,0.0097,0.0192,14.36
HNSW (efSearch=16),50,0.9542,0.9483,0.0474,0.0903,14.36
HNSW (efSearch=16),100,0.9391,0.9313,0.0931,0.1693,14.36
HNSW (efSearch=16),500,0.5676,0.4936,0.2468,0.329,14.36
HNSW (efSearch=16),1000,0.3253,0.2468,0.2468,0.2468,14.36
HNSW (efSearch=64),10,0.9739,0.9713,0.0097,0.0192,16.81
HNSW (efSearch=64),50,0.9555,0.9499,0.0475,0.0905,16.81
HNSW (efSearch=64),100,0.9464,0.9408,0.0941,0.1711,16.81
HNSW (efSearch=64),500,0.8554,0.8374,0.4187,0.5582,16.81
HNSW (efSearch=64),1000,0.5675,0.5063,0.5063,0.5063,16.81
HNSW (efSearch=256),10,0.9746,0.9723,0.0097,0.0193,26.93
HNSW (efSearch=256),50,0.9553,0.9497,0.0475,0.0904,26.93
HNSW (efSearch=256),100,0.9447,0.9386,0.0939,0.1707,26.93
HNSW (efSearch=256),500,0.8769,0.8641,0.4321,0.5761,26.93
HNSW (efSearch=256),1000,0.7559,0.7266,0.7266,0.7266,26.93
