query_id,query,k,precision,recall,f1,ndcg
1,software companies,10,0.6,0.006,0.011881188118811881,0.6180396628416763
1,software companies,50,0.52,0.026,0.04952380952380952,0.5410725499674462
1,software companies,100,0.47,0.047,0.08545454545454545,0.49351308084228834
1,software companies,500,0.29,0.145,0.19333333333333336,0.3218816579502255
1,software companies,1000,0.256,0.256,0.256,0.27958148571730074
2,healthcare providers,10,1.0,0.01,0.019801980198019802,1.0
2,healthcare providers,50,0.88,0.044,0.0838095238095238,0.905361226147328
2,healthcare providers,100,0.9,0.09,0.16363636363636364,0.9101416253030646
2,healthcare providers,500,0.816,0.408,0.5439999999999999,0.8296124710504731
2,healthcare providers,1000,0.69,0.69,0.69,0.7179526761148021
3,AI startups in Berlin,10,0.8,0.008,0.015841584158415842,0.8553475075669357
3,AI startups in Berlin,50,0.76,0.038,0.07238095238095238,0.7924061331427693
3,AI startups in Berlin,100,0.74,0.074,0.13454545454545455,0.7645974284708132
3,AI startups in Berlin,500,0.64,0.32,0.4266666666666667,0.6671371978506507
3,AI startups in Berlin,1000,0.538,0.538,0.538,0.5695689064724286
4,renewable energy companies in Germany,10,0.9,0.009,0.01782178217821782,0.914856882358379
4,renewable energy companies in Germany,50,0.8,0.04,0.07619047619047618,0.8229234285387
4,renewable energy companies in Germany,100,0.79,0.079,0.14363636363636365,0.8067620369874924
4,renewable energy companies in Germany,500,0.818,0.409,0.5453333333333333,0.8187347510297309
4,renewable energy companies in Germany,1000,0.732,0.732,0.732,0.7461792471744415
5,companies providing cloud migration services,10,1.0,0.01,0.019801980198019802,1.0
5,companies providing cloud migration services,50,1.0,0.05,0.09523809523809523,1.0
5,companies providing cloud migration services,100,1.0,0.1,0.18181818181818182,1.0
5,companies providing cloud migration services,500,0.954,0.477,0.6359999999999999,0.9607127322796162
5,companies providing cloud migration services,1000,0.759,0.759,0.7590000000000001,0.7936326777008054
6,B2B SaaS platforms,10,0.9,0.009,0.01782178217821782,0.9216017310213247
6,B2B SaaS platforms,50,0.94,0.047,0.08952380952380952,0.9394609519331661
6,B2B SaaS platforms,100,0.87,0.087,0.15818181818181817,0.8869277003475672
6,B2B SaaS platforms,500,0.742,0.371,0.49466666666666664,0.7699501591826163
6,B2B SaaS platforms,1000,0.516,0.516,0.516,0.5654211656484358
7,machine learning companies,10,0.9,0.009,0.01782178217821782,0.9266360779006401
7,machine learning companies,50,0.98,0.049,0.09333333333333334,0.9741556643296639
7,machine learning companies,100,0.98,0.098,0.17818181818181816,0.9767770263663949
7,machine learning companies,500,0.876,0.438,0.584,0.8927756008028994
7,machine learning companies,1000,0.667,0.667,0.667,0.709308103606887
8,IoT solution providers,10,0.9,0.009,0.01782178217821782,0.9305687780632227
8,IoT solution providers,50,0.92,0.046,0.08761904761904762,0.9324456282538798
8,IoT solution providers,100,0.95,0.095,0.17272727272727273,0.9510671558654074
8,IoT solution providers,500,0.94,0.47,0.6266666666666667,0.9438244686596414
8,IoT solution providers,1000,0.801,0.801,0.801,0.8250054633630489
9,enterprise software vendors,10,0.7,0.007,0.013861386138613862,0.7026305163854645
9,enterprise software vendors,50,0.78,0.039,0.07428571428571429,0.756504690258149
9,enterprise software vendors,100,0.78,0.078,0.14181818181818184,0.764780125571225
9,enterprise software vendors,500,0.572,0.286,0.3813333333333333,0.5971442136272231
9,enterprise software vendors,1000,0.458,0.458,0.458,0.48980703517919194
10,small consulting firms,10,0.9,0.009,0.01782178217821782,0.8899541168509599
10,small consulting firms,50,0.82,0.041,0.07809523809523809,0.8367948706830604
10,small consulting firms,100,0.79,0.079,0.14363636363636365,0.806786704037306
10,small consulting firms,500,0.61,0.305,0.4066666666666666,0.6411934067947274
10,small consulting firms,1000,0.502,0.502,0.502,0.5362195899935959
11,tech companies in Munich,10,0.9,0.009,0.01782178217821782,0.914856882358379
11,tech companies in Munich,50,0.94,0.047,0.08952380952380952,0.9385553291244436
11,tech companies in Munich,100,0.97,0.097,0.1763636363636364,0.9621515164135575
11,tech companies in Munich,500,0.854,0.427,0.5693333333333334,0.8679150048424797
11,tech companies in Munich,1000,0.692,0.692,0.692,0.7247036582724613
12,manufacturing in Baden-Württemberg,10,1.0,0.01,0.019801980198019802,1.0
12,manufacturing in Baden-Württemberg,50,0.96,0.048,0.09142857142857141,0.9699895448002649
12,manufacturing in Baden-Württemberg,100,0.95,0.095,0.17272727272727273,0.9593817508151123
12,manufacturing in Baden-Württemberg,500,0.798,0.399,0.532,0.8240497996689502
12,manufacturing in Baden-Württemberg,1000,0.659,0.659,0.659,0.6953849495219973
13,e-commerce platforms,10,1.0,0.01,0.019801980198019802,1.0
13,e-commerce platforms,50,0.96,0.048,0.09142857142857141,0.9663938941020642
13,e-commerce platforms,100,0.91,0.091,0.16545454545454544,0.9234632614789468
13,e-commerce platforms,500,0.934,0.467,0.6226666666666667,0.9365038949986418
13,e-commerce platforms,1000,0.759,0.759,0.7590000000000001,0.7883977539437023
14,pharmaceutical companies,10,1.0,0.01,0.019801980198019802,1.0
14,pharmaceutical companies,50,1.0,0.05,0.09523809523809523,1.0
14,pharmaceutical companies,100,0.95,0.095,0.17272727272727273,0.9615562073634706
14,pharmaceutical companies,500,0.912,0.456,0.608,0.9219174782121545
14,pharmaceutical companies,1000,0.784,0.784,0.7840000000000001,0.8102006501150724
15,logistics companies in the US,10,0.9,0.009,0.01782178217821782,0.914856882358379
15,logistics companies in the US,50,0.74,0.037,0.07047619047619047,0.7929373153647238
15,logistics companies in the US,100,0.7,0.07,0.1272727272727273,0.7409339944181883
15,logistics companies in the US,500,0.584,0.292,0.38933333333333336,0.6129171354741125
15,logistics companies in the US,1000,0.469,0.469,0.469,0.503631443741936
16,data analytics companies,10,0.9,0.009,0.01782178217821782,0.8611375561264454
16,data analytics companies,50,0.9,0.045,0.08571428571428572,0.8833049857400419
16,data analytics companies,100,0.86,0.086,0.15636363636363637,0.8601183915503148
16,data analytics companies,500,0.788,0.394,0.5253333333333334,0.8009357806478868
16,data analytics companies,1000,0.667,0.667,0.667,0.6934721436817934
17,cybersecurity firms,10,0.8,0.008,0.015841584158415842,0.8389574121760602
17,cybersecurity firms,50,0.9,0.045,0.08571428571428572,0.8909342096083682
17,cybersecurity firms,100,0.86,0.086,0.15636363636363637,0.8626069464409266
17,cybersecurity firms,500,0.748,0.374,0.4986666666666667,0.7639567657593843
17,cybersecurity firms,1000,0.693,0.693,0.693,0.7110443793946386
18,financial services companies,10,0.8,0.008,0.015841584158415842,0.8318477135310893
18,financial services companies,50,0.72,0.036,0.06857142857142856,0.7440487408382698
18,financial services companies,100,0.66,0.066,0.12000000000000001,0.688751723265923
18,financial services companies,500,0.558,0.279,0.37200000000000005,0.5814287097086575
18,financial services companies,1000,0.486,0.486,0.486,0.5100132435860341
19,retail chains in Europe,10,0.9,0.009,0.01782178217821782,0.9363792118010483
19,retail chains in Europe,50,0.92,0.046,0.08761904761904762,0.931212681680738
19,retail chains in Europe,100,0.95,0.095,0.17272727272727273,0.9492907701074593
19,retail chains in Europe,500,0.794,0.397,0.5293333333333334,0.8188613501341693
19,retail chains in Europe,1000,0.64,0.64,0.64,0.677804765650533
20,construction companies,10,1.0,0.01,0.019801980198019802,1.0
20,construction companies,50,0.96,0.048,0.09142857142857141,0.9696227007985925
20,construction companies,100,0.97,0.097,0.1763636363636364,0.973931606712959
20,construction companies,500,0.756,0.378,0.5040000000000001,0.7864201163000439
20,construction companies,1000,0.608,0.608,0.608,0.6479278206832348
21,marketing agencies,10,0.5,0.005,0.009900990099009901,0.46692474155501895
21,marketing agencies,50,0.58,0.029,0.05523809523809523,0.5596540202847452
21,marketing agencies,100,0.59,0.059,0.10727272727272726,0.5754350256712297
21,marketing agencies,500,0.488,0.244,0.3253333333333333,0.4972558118533134
21,marketing agencies,1000,0.449,0.449,0.449,0.45983948762085974
22,human resources software,10,1.0,0.01,0.019801980198019802,1.0
22,human resources software,50,1.0,0.05,0.09523809523809523,1.0
22,human resources software,100,0.99,0.099,0.18,0.9917762003697378
22,human resources software,500,0.966,0.483,0.644,0.9710553496916544
22,human resources software,1000,0.791,0.791,0.791,0.8214598904715589
23,supply chain management companies,10,1.0,0.01,0.019801980198019802,1.0
23,supply chain management companies,50,0.96,0.048,0.09142857142857141,0.9704125180794391
23,supply chain management companies,100,0.97,0.097,0.1763636363636364,0.9741074530555479
23,supply chain management companies,500,0.854,0.427,0.5693333333333334,0.8726600253744833
23,supply chain management companies,1000,0.668,0.668,0.668,0.7073182343707919
24,solar panel manufacturers,10,1.0,0.01,0.019801980198019802,1.0
24,solar panel manufacturers,50,1.0,0.05,0.09523809523809523,1.0
24,solar panel manufacturers,100,1.0,0.1,0.18181818181818182,1.0
24,solar panel manufacturers,500,0.978,0.489,0.6519999999999999,0.9819951042683449
24,solar panel manufacturers,1000,0.887,0.887,0.887,0.9039083125619959
25,agricultural technology companies,10,0.6,0.006,0.011881188118811881,0.7059054020403313
25,agricultural technology companies,50,0.6,0.03,0.05714285714285714,0.6407637510892236
25,agricultural technology companies,100,0.54,0.054,0.09818181818181818,0.5802542375042863
25,agricultural technology companies,500,0.512,0.256,0.3413333333333333,0.5282680083509474
