combination,n_channels,oracle_recall_at_1000,avg_pool_size
MiniLM + BM25 + BGE_allfields + BGE_summary + OpenAI_large + Nomic + BGE_M3 + GTE_large + E5_Mistral + Linq_Mistral + SFR_Mistral,11,0.9614455445544555,2768.1485148514853
MiniLM + Linq_Mistral,2,0.8691980198019802,1300.029702970297
MiniLM + GTE_large,2,0.8625148514851484,1262.2970297029703
MiniLM + SFR_Mistral,2,0.86190099009901,1288.0891089108911
BM25 + GTE_large,2,0.8586336633663366,1400.5841584158416
MiniLM + OpenAI_large,2,0.8558613861386138,1299.970297029703
MiniLM + BGE_allfields,2,0.8537920792079207,1299.019801980198
GTE_large + Linq_Mistral,2,0.8515643564356437,1230.0594059405942
BGE_allfields + Linq_Mistral,2,0.8505445544554454,1276.950495049505
BM25 + Linq_Mistral,2,0.8489900990099011,1408.5544554455446
MiniLM + BGE_M3,2,0.8476831683168315,1312.5445544554455
BGE_summary + Linq_Mistral,2,0.8468019801980197,1297.148514851485
GTE_large + SFR_Mistral,2,0.8467920792079208,1221.3168316831684
BM25 + SFR_Mistral,2,0.846059405940594,1409.4158415841584
BGE_M3 + Linq_Mistral,2,0.8458415841584158,1298.90099009901
MiniLM + BGE_summary,2,0.8437326732673268,1305.029702970297
MiniLM + BM25,2,0.8433069306930696,1409.980198019802
BGE_M3 + GTE_large,2,0.8428514851485148,1266.5346534653465
BGE_allfields + SFR_Mistral,2,0.8424554455445542,1261.970297029703
OpenAI_large + GTE_large,2,0.8411782178217823,1229.5148514851485
BM25 + OpenAI_large,2,0.8402376237623763,1422.2475247524753
Nomic + Linq_Mistral,2,0.8401881188118812,1308.3762376237623
BM25 + BGE_allfields,2,0.8384158415841585,1419.8415841584158
BGE_summary + SFR_Mistral,2,0.8377128712871287,1281.5346534653465
MiniLM + Nomic,2,0.8352772277227721,1311.3960396039604
BGE_M3 + SFR_Mistral,2,0.8351782178217823,1277.2871287128712
BGE_allfields + OpenAI_large,2,0.8330990099009901,1264.148514851485
Nomic + GTE_large,2,0.832782178217822,1268.980198019802
BGE_summary + OpenAI_large,2,0.8314554455445545,1291.4851485148515
BM25 + BGE_summary,2,0.8300594059405939,1431.7326732673268
BM25 + BGE_M3,2,0.827930693069307,1430.851485148515
Nomic + SFR_Mistral,2,0.8273366336633663,1278.7920792079208
BGE_summary + GTE_large,2,0.8268712871287129,1224.1584158415842
OpenAI_large + Linq_Mistral,2,0.8267524752475247,1221.2277227722773
BGE_allfields + BGE_M3,2,0.8257326732673267,1287.0594059405942
OpenAI_large + BGE_M3,2,0.824089108910891,1278.148514851485
BM25 + Nomic,2,0.8227524752475247,1447.2772277227723
BGE_summary + BGE_M3,2,0.822693069306931,1308.851485148515
OpenAI_large + Nomic,2,0.8144851485148515,1282.3366336633662
OpenAI_large + SFR_Mistral,2,0.814059405940594,1191.6930693069307
BGE_allfields + GTE_large,2,0.8136237623762378,1165.90099009901
BGE_allfields + Nomic,2,0.8108118811881189,1275.4059405940593
BGE_summary + Nomic,2,0.8097821782178217,1301.2277227722773
GTE_large + E5_Mistral,2,0.8086237623762377,1728.7326732673268
Nomic + BGE_M3,2,0.8061386138613862,1295.9405940594058
MiniLM + E5_Mistral,2,0.7978217821782178,1753.5049504950496
Linq_Mistral + SFR_Mistral,2,0.7939306930693067,1127.8910891089108
E5_Mistral + Linq_Mistral,2,0.7837821782178218,1716.4257425742574
E5_Mistral + SFR_Mistral,2,0.7820594059405941,1717.4653465346535
BGE_allfields + E5_Mistral,2,0.7804752475247525,1744.1287128712872
BGE_allfields + BGE_summary,2,0.7793861386138614,1161.0594059405942
OpenAI_large + E5_Mistral,2,0.7734257425742574,1728.960396039604
GTE_large,1,0.7684455445544556,1000.0
BGE_summary + E5_Mistral,2,0.7663168316831681,1752.3069306930693
BGE_M3 + E5_Mistral,2,0.7617524752475248,1747.2772277227723
Linq_Mistral,1,0.7485841584158415,1000.0
Nomic + E5_Mistral,2,0.7473069306930693,1752.8415841584158
SFR_Mistral,1,0.7464455445544557,1000.0
MiniLM,1,0.7407425742574258,1000.0
OpenAI_large,1,0.7277326732673268,1000.0
BGE_allfields,1,0.7265643564356437,1000.0
BM25 + E5_Mistral,2,0.7159405940594058,1777.4752475247524
BGE_summary,1,0.7069900990099011,1000.0
BGE_M3,1,0.7044455445544556,1000.0
Nomic,1,0.6843861386138613,1000.0
BM25,1,0.6345742574257426,1000.0
E5_Mistral,1,0.2738613861386138,1000.0
