query_id,query,k,precision,recall,f1,ndcg
1,software companies,10,0.4,0.004,0.007920792079207921,0.494639655562801
1,software companies,50,0.2,0.01,0.019047619047619046,0.2797112794001528
1,software companies,100,0.19,0.019,0.034545454545454546,0.24132951585709525
1,software companies,500,0.118,0.059,0.07866666666666666,0.14128592591384567
1,software companies,1000,0.123,0.123,0.123,0.1354497233088702
2,healthcare providers,10,0.8,0.008,0.015841584158415842,0.8701249883466593
2,healthcare providers,50,0.72,0.036,0.06857142857142856,0.7596063401954347
2,healthcare providers,100,0.58,0.058,0.10545454545454544,0.6368909559645235
2,healthcare providers,500,0.128,0.064,0.08533333333333333,0.200303686613609
2,healthcare providers,1000,0.117,0.117,0.117,0.15923212658632113
3,AI startups in Berlin,10,1.0,0.01,0.019801980198019802,1.0
3,AI startups in Berlin,50,1.0,0.05,0.09523809523809523,1.0
3,AI startups in Berlin,100,0.96,0.096,0.17454545454545453,0.9693937205992229
3,AI startups in Berlin,500,0.444,0.222,0.296,0.5139993281943365
3,AI startups in Berlin,1000,0.313,0.313,0.313,0.37278036463481196
4,renewable energy companies in Germany,10,1.0,0.01,0.019801980198019802,1.0
4,renewable energy companies in Germany,50,0.96,0.048,0.09142857142857141,0.9619028437373875
4,renewable energy companies in Germany,100,0.97,0.097,0.1763636363636364,0.9691580423201176
4,renewable energy companies in Germany,500,0.62,0.31,0.4133333333333334,0.6774889536332307
4,renewable energy companies in Germany,1000,0.491,0.491,0.491,0.5432379087737793
5,companies providing cloud migration services,10,0.4,0.004,0.007920792079207921,0.3538805731685163
5,companies providing cloud migration services,50,0.36,0.018,0.03428571428571428,0.364256298382071
5,companies providing cloud migration services,100,0.28,0.028,0.05090909090909091,0.30106487619880556
5,companies providing cloud migration services,500,0.226,0.113,0.15066666666666667,0.23930385839629753
5,companies providing cloud migration services,1000,0.205,0.205,0.205,0.21615600213027042
6,B2B SaaS platforms,10,0.3,0.003,0.005940594059405941,0.28323251649726616
6,B2B SaaS platforms,50,0.36,0.018,0.03428571428571428,0.33050598225003297
6,B2B SaaS platforms,100,0.38,0.038,0.06909090909090909,0.3590989822447859
6,B2B SaaS platforms,500,0.204,0.102,0.13599999999999998,0.22468016043782615
6,B2B SaaS platforms,1000,0.163,0.163,0.163,0.18081402380296038
7,machine learning companies,10,0.2,0.002,0.0039603960396039604,0.30523488393970116
7,machine learning companies,50,0.26,0.013,0.02476190476190476,0.293517133609015
7,machine learning companies,100,0.3,0.03,0.05454545454545455,0.3135588745545933
7,machine learning companies,500,0.2,0.1,0.13333333333333333,0.21865556503650627
7,machine learning companies,1000,0.157,0.157,0.157,0.1738886761958867
8,IoT solution providers,10,0.8,0.008,0.015841584158415842,0.8389574121760602
8,IoT solution providers,50,0.68,0.034,0.06476190476190476,0.7292997440565762
8,IoT solution providers,100,0.67,0.067,0.12181818181818183,0.7045254051780132
8,IoT solution providers,500,0.38,0.19,0.2533333333333333,0.4314711190172351
8,IoT solution providers,1000,0.215,0.215,0.21499999999999997,0.2691178945456329
9,enterprise software vendors,10,0.2,0.002,0.0039603960396039604,0.2489083270225946
9,enterprise software vendors,50,0.18,0.009,0.01714285714285714,0.202343589096655
9,enterprise software vendors,100,0.16,0.016,0.029090909090909094,0.17933222588696912
9,enterprise software vendors,500,0.17,0.085,0.11333333333333336,0.17414089034516037
9,enterprise software vendors,1000,0.156,0.156,0.156,0.1611160241917351
10,small consulting firms,10,0.8,0.008,0.015841584158415842,0.7759944384848244
10,small consulting firms,50,0.6,0.03,0.05714285714285714,0.6346484439685217
10,small consulting firms,100,0.46,0.046,0.08363636363636365,0.5129532998609206
10,small consulting firms,500,0.21,0.105,0.13999999999999999,0.25717275243919385
10,small consulting firms,1000,0.157,0.157,0.157,0.19194543830483385
11,tech companies in Munich,10,1.0,0.01,0.019801980198019802,1.0
11,tech companies in Munich,50,1.0,0.05,0.09523809523809523,1.0
11,tech companies in Munich,100,0.99,0.099,0.18,0.9918814514394172
11,tech companies in Munich,500,0.468,0.234,0.312,0.5490708417746398
11,tech companies in Munich,1000,0.276,0.276,0.276,0.3509271424715005
12,manufacturing in Baden-Württemberg,10,1.0,0.01,0.019801980198019802,1.0
12,manufacturing in Baden-Württemberg,50,1.0,0.05,0.09523809523809523,1.0
12,manufacturing in Baden-Württemberg,100,0.96,0.096,0.17454545454545453,0.9696826880487062
12,manufacturing in Baden-Württemberg,500,0.514,0.257,0.3426666666666666,0.5787234758053393
12,manufacturing in Baden-Württemberg,1000,0.352,0.352,0.352,0.41272235342374575
