query_id,query,k,precision,recall,f1,ndcg
1,software companies,10,0.3,0.003,0.005940594059405941,0.4440973278132557
1,software companies,50,0.24,0.012,0.022857142857142854,0.29588601795522457
1,software companies,100,0.21,0.021,0.038181818181818185,0.2517815990316198
1,software companies,500,0.194,0.097,0.12933333333333333,0.20869405742367148
1,software companies,1000,0.192,0.192,0.192,0.2008726340511776
2,healthcare providers,10,1.0,0.01,0.019801980198019802,1.0
2,healthcare providers,50,0.98,0.049,0.09333333333333334,0.9823480410115811
2,healthcare providers,100,0.99,0.099,0.18,0.9891268051318101
2,healthcare providers,500,0.892,0.446,0.5946666666666667,0.9082610307614541
2,healthcare providers,1000,0.745,0.745,0.745,0.7767892258587397
3,AI startups in Berlin,10,0.6,0.006,0.011881188118811881,0.6078421520159135
3,AI startups in Berlin,50,0.68,0.034,0.06476190476190476,0.674725917488391
3,AI startups in Berlin,100,0.58,0.058,0.10545454545454544,0.6010051846549377
3,AI startups in Berlin,500,0.414,0.207,0.27599999999999997,0.4417826589892932
3,AI startups in Berlin,1000,0.416,0.416,0.416,0.43113973417939366
4,renewable energy companies in Germany,10,0.6,0.006,0.011881188118811881,0.727329844310522
4,renewable energy companies in Germany,50,0.72,0.036,0.06857142857142856,0.7312435888668978
4,renewable energy companies in Germany,100,0.73,0.073,0.13272727272727272,0.7337963665800342
4,renewable energy companies in Germany,500,0.74,0.37,0.49333333333333335,0.741981693383806
4,renewable energy companies in Germany,1000,0.671,0.671,0.671,0.683897866232035
5,companies providing cloud migration services,10,1.0,0.01,0.019801980198019802,1.0
5,companies providing cloud migration services,50,0.96,0.048,0.09142857142857141,0.9679444292038568
5,companies providing cloud migration services,100,0.98,0.098,0.17818181818181816,0.980254516334068
5,companies providing cloud migration services,500,0.96,0.48,0.64,0.9632240669455483
5,companies providing cloud migration services,1000,0.759,0.759,0.7590000000000001,0.7916119182243937
6,B2B SaaS platforms,10,1.0,0.01,0.019801980198019802,1.0
6,B2B SaaS platforms,50,0.96,0.048,0.09142857142857141,0.9669947308772626
6,B2B SaaS platforms,100,0.96,0.096,0.17454545454545453,0.9652611021960575
6,B2B SaaS platforms,500,0.778,0.389,0.5186666666666667,0.8078173412476125
6,B2B SaaS platforms,1000,0.575,0.575,0.575,0.6229824275237659
7,machine learning companies,10,1.0,0.01,0.019801980198019802,1.0
7,machine learning companies,50,1.0,0.05,0.09523809523809523,1.0
7,machine learning companies,100,0.99,0.099,0.18,0.991739223015462
7,machine learning companies,500,0.95,0.475,0.6333333333333334,0.9575825856431041
7,machine learning companies,1000,0.715,0.715,0.715,0.7560387296720331
8,IoT solution providers,10,1.0,0.01,0.019801980198019802,1.0
8,IoT solution providers,50,1.0,0.05,0.09523809523809523,1.0
8,IoT solution providers,100,1.0,0.1,0.18181818181818182,1.0
8,IoT solution providers,500,0.992,0.496,0.6613333333333333,0.9933825443583951
8,IoT solution providers,1000,0.894,0.894,0.894,0.9109196667273384
9,enterprise software vendors,10,1.0,0.01,0.019801980198019802,1.0
9,enterprise software vendors,50,1.0,0.05,0.09523809523809523,1.0
9,enterprise software vendors,100,0.9,0.09,0.16363636363636364,0.9253808072805694
9,enterprise software vendors,500,0.53,0.265,0.3533333333333334,0.5901172816769656
9,enterprise software vendors,1000,0.405,0.405,0.405,0.45773760604289887
10,small consulting firms,10,1.0,0.01,0.019801980198019802,1.0
10,small consulting firms,50,0.96,0.048,0.09142857142857141,0.9685018700388908
10,small consulting firms,100,0.83,0.083,0.15090909090909094,0.8652253949136219
10,small consulting firms,500,0.598,0.299,0.3986666666666666,0.6424493169669055
10,small consulting firms,1000,0.455,0.455,0.455,0.5019718249577115
11,tech companies in Munich,10,0.9,0.009,0.01782178217821782,0.9266360779006401
11,tech companies in Munich,50,0.86,0.043,0.0819047619047619,0.8868169645481482
11,tech companies in Munich,100,0.84,0.084,0.15272727272727274,0.8603991244464619
11,tech companies in Munich,500,0.766,0.383,0.5106666666666667,0.786312585379025
11,tech companies in Munich,1000,0.62,0.62,0.62,0.6544864004680668
12,manufacturing in Baden-Württemberg,10,0.8,0.008,0.015841584158415842,0.8389574121760602
