query_id,query,k,precision,recall,f1,ndcg
1,software companies,10,0.6,0.006,0.011881188118811881,0.6114735274236563
1,software companies,50,0.52,0.026,0.04952380952380952,0.5471952162347657
1,software companies,100,0.47,0.047,0.08545454545454545,0.49816230740292816
1,software companies,500,0.308,0.154,0.20533333333333337,0.3409926730367109
1,software companies,1000,0.249,0.249,0.249,0.2765399732118403
2,healthcare providers,10,0.9,0.009,0.01782178217821782,0.9363792118010483
2,healthcare providers,50,0.92,0.046,0.08761904761904762,0.9318315363160008
2,healthcare providers,100,0.92,0.092,0.1672727272727273,0.9275440703789611
2,healthcare providers,500,0.894,0.447,0.5960000000000001,0.9013789558280564
2,healthcare providers,1000,0.743,0.743,0.743,0.7700989889377784
3,AI startups in Berlin,10,0.7,0.007,0.013861386138613862,0.6563033086078546
3,AI startups in Berlin,50,0.72,0.036,0.06857142857142856,0.7030775661151135
3,AI startups in Berlin,100,0.69,0.069,0.12545454545454546,0.6891013238890688
3,AI startups in Berlin,500,0.568,0.284,0.3786666666666667,0.5821469092998115
3,AI startups in Berlin,1000,0.495,0.495,0.495,0.5144013364096486
4,renewable energy companies in Germany,10,1.0,0.01,0.019801980198019802,1.0
4,renewable energy companies in Germany,50,0.82,0.041,0.07809523809523809,0.8375905585816495
4,renewable energy companies in Germany,100,0.83,0.083,0.15090909090909094,0.8381221650525624
4,renewable energy companies in Germany,500,0.806,0.403,0.5373333333333333,0.8112191802136338
4,renewable energy companies in Germany,1000,0.724,0.724,0.724,0.7402600270665781
5,companies providing cloud migration services,10,1.0,0.01,0.019801980198019802,1.0
5,companies providing cloud migration services,50,0.96,0.048,0.09142857142857141,0.9699222536318959
5,companies providing cloud migration services,100,0.96,0.096,0.17454545454545453,0.9663342238416711
5,companies providing cloud migration services,500,0.798,0.399,0.532,0.8260323087552136
5,companies providing cloud migration services,1000,0.586,0.586,0.586,0.6338041085450674
6,B2B SaaS platforms,10,1.0,0.01,0.019801980198019802,1.0
6,B2B SaaS platforms,50,0.94,0.047,0.08952380952380952,0.9516357113550774
6,B2B SaaS platforms,100,0.92,0.092,0.1672727272727273,0.9326467346891751
