query_id,query,k,precision,recall,f1,ndcg
1,software companies,10,0.9,0.009,0.01782178217821782,0.9305687780632227
1,software companies,50,0.6,0.03,0.05714285714285714,0.694093450900103
1,software companies,100,0.57,0.057,0.10363636363636362,0.632734424555538
1,software companies,500,0.446,0.223,0.29733333333333334,0.4791852198573479
1,software companies,1000,0.366,0.366,0.366,0.39695264554341525
2,healthcare providers,10,1.0,0.01,0.019801980198019802,1.0
2,healthcare providers,50,0.94,0.047,0.08952380952380952,0.9545200114719051
2,healthcare providers,100,0.95,0.095,0.17272727272727273,0.9565521069370998
2,healthcare providers,500,0.916,0.458,0.6106666666666666,0.9249848403812501
2,healthcare providers,1000,0.787,0.787,0.787,0.8121647761541734
3,AI startups in Berlin,10,1.0,0.01,0.019801980198019802,1.0
3,AI startups in Berlin,50,0.76,0.038,0.07238095238095238,0.8154586360228624
3,AI startups in Berlin,100,0.72,0.072,0.13090909090909092,0.7627996582989915
3,AI startups in Berlin,500,0.5,0.25,0.3333333333333333,0.5448626707152893
3,AI startups in Berlin,1000,0.473,0.473,0.473,0.5028138019050069
4,renewable energy companies in Germany,10,1.0,0.01,0.019801980198019802,1.0
4,renewable energy companies in Germany,50,0.78,0.039,0.07428571428571429,0.8214845714794557
4,renewable energy companies in Germany,100,0.86,0.086,0.15636363636363637,0.8662289356767607
4,renewable energy companies in Germany,500,0.814,0.407,0.5426666666666667,0.821029455141807
4,renewable energy companies in Germany,1000,0.741,0.741,0.7410000000000001,0.7570545968398447
5,companies providing cloud migration services,10,1.0,0.01,0.019801980198019802,1.0
5,companies providing cloud migration services,50,1.0,0.05,0.09523809523809523,1.0
5,companies providing cloud migration services,100,0.97,0.097,0.1763636363636364,0.9771289480540944
5,companies providing cloud migration services,500,0.928,0.464,0.6186666666666667,0.9387349718644868
5,companies providing cloud migration services,1000,0.716,0.716,0.7160000000000001,0.7553310450620662
6,B2B SaaS platforms,10,1.0,0.01,0.019801980198019802,1.0
6,B2B SaaS platforms,50,0.98,0.049,0.09333333333333334,0.9863315949815462
6,B2B SaaS platforms,100,0.98,0.098,0.17818181818181816,0.9832025394504458
6,B2B SaaS platforms,500,0.922,0.461,0.6146666666666667,0.9324892680131026
6,B2B SaaS platforms,1000,0.745,0.745,0.745,0.7786492857541387
7,machine learning companies,10,1.0,0.01,0.019801980198019802,1.0
7,machine learning companies,50,0.98,0.049,0.09333333333333334,0.983089718400355
7,machine learning companies,100,0.99,0.099,0.18,0.9895836610979246
7,machine learning companies,500,0.954,0.477,0.6359999999999999,0.960021727639804
7,machine learning companies,1000,0.747,0.747,0.747,0.7835895952631028
8,IoT solution providers,10,1.0,0.01,0.019801980198019802,1.0
8,IoT solution providers,50,1.0,0.05,0.09523809523809523,1.0
8,IoT solution providers,100,1.0,0.1,0.18181818181818182,1.0
8,IoT solution providers,500,0.994,0.497,0.6626666666666666,0.9948605757829344
8,IoT solution providers,1000,0.886,0.886,0.886,0.9048530878361386
9,enterprise software vendors,10,1.0,0.01,0.019801980198019802,1.0
9,enterprise software vendors,50,0.98,0.049,0.09333333333333334,0.9863315949815462
9,enterprise software vendors,100,0.94,0.094,0.1709090909090909,0.9534429070836523
9,enterprise software vendors,500,0.656,0.328,0.4373333333333334,0.7012844245901227
9,enterprise software vendors,1000,0.487,0.487,0.487,0.537848181056675
10,small consulting firms,10,1.0,0.01,0.019801980198019802,1.0
10,small consulting firms,50,1.0,0.05,0.09523809523809523,1.0
10,small consulting firms,100,0.95,0.095,0.17272727272727273,0.9618516647221842
10,small consulting firms,500,0.748,0.374,0.4986666666666667,0.7802148464069097
10,small consulting firms,1000,0.593,0.593,0.593,0.6347714687402604
11,tech companies in Munich,10,1.0,0.01,0.019801980198019802,1.0
11,tech companies in Munich,50,0.92,0.046,0.08761904761904762,0.9384199383946475
11,tech companies in Munich,100,0.91,0.091,0.16545454545454544,0.9227958662272542
11,tech companies in Munich,500,0.878,0.439,0.5853333333333334,0.8871301681834702
11,tech companies in Munich,1000,0.717,0.717,0.7169999999999999,0.7473750370905444
12,manufacturing in Baden-Württemberg,10,1.0,0.01,0.019801980198019802,1.0
12,manufacturing in Baden-Württemberg,50,0.96,0.048,0.09142857142857141,0.9725226878138372
12,manufacturing in Baden-Württemberg,100,0.92,0.092,0.1672727272727273,0.9370319270427501
12,manufacturing in Baden-Württemberg,500,0.882,0.441,0.5880000000000001,0.8932380254109012
12,manufacturing in Baden-Württemberg,1000,0.744,0.744,0.744,0.7721742531980477
13,e-commerce platforms,10,1.0,0.01,0.019801980198019802,1.0
13,e-commerce platforms,50,0.84,0.042,0.08,0.8838211738069723
13,e-commerce platforms,100,0.89,0.089,0.16181818181818183,0.9058363062485673
13,e-commerce platforms,500,0.96,0.48,0.64,0.9559473159977309
13,e-commerce platforms,1000,0.789,0.789,0.7890000000000001,0.8141758323984609
14,pharmaceutical companies,10,1.0,0.01,0.019801980198019802,1.0
14,pharmaceutical companies,50,1.0,0.05,0.09523809523809523,1.0
14,pharmaceutical companies,100,1.0,0.1,0.18181818181818182,1.0
14,pharmaceutical companies,500,0.978,0.489,0.6519999999999999,0.979752530368203
14,pharmaceutical companies,1000,0.895,0.895,0.895,0.9095492308592031
15,logistics companies in the US,10,1.0,0.01,0.019801980198019802,1.0
15,logistics companies in the US,50,0.78,0.039,0.07428571428571429,0.8314729552782026
15,logistics companies in the US,100,0.76,0.076,0.13818181818181818,0.7960040594976547
15,logistics companies in the US,500,0.652,0.326,0.4346666666666667,0.6795729281637414
15,logistics companies in the US,1000,0.55,0.55,0.55,0.581417739772249
16,data analytics companies,10,1.0,0.01,0.019801980198019802,1.0
16,data analytics companies,50,0.98,0.049,0.09333333333333334,0.9856215795673515
16,data analytics companies,100,0.93,0.093,0.16909090909090907,0.9449190422264722
16,data analytics companies,500,0.902,0.451,0.6013333333333334,0.9115015746580664
16,data analytics companies,1000,0.777,0.777,0.777,0.8020428029460632
17,cybersecurity firms,10,1.0,0.01,0.019801980198019802,1.0
17,cybersecurity firms,50,0.82,0.041,0.07809523809523809,0.851038988695721
17,cybersecurity firms,100,0.75,0.075,0.13636363636363635,0.7862118977411275
17,cybersecurity firms,500,0.798,0.399,0.532,0.8053527315389198
17,cybersecurity firms,1000,0.72,0.72,0.72,0.7363646692077512
