query_id,query,k,precision,recall,f1,ndcg
1,software companies,10,0.7,0.007,0.013861386138613862,0.7885497208855957
1,software companies,50,0.56,0.028,0.05333333333333334,0.623054218455863
1,software companies,100,0.55,0.055,0.09999999999999999,0.5914828847154344
1,software companies,500,0.518,0.259,0.3453333333333333,0.5342812976691457
1,software companies,1000,0.411,0.411,0.411,0.4366332730982588
2,healthcare providers,10,1.0,0.01,0.019801980198019802,1.0
2,healthcare providers,50,1.0,0.05,0.09523809523809523,1.0
2,healthcare providers,100,0.99,0.099,0.18,0.9924669316720286
2,healthcare providers,500,0.92,0.46,0.6133333333333333,0.9330324983265115
2,healthcare providers,1000,0.838,0.838,0.838,0.8583795010321548
3,AI startups in Berlin,10,1.0,0.01,0.019801980198019802,1.0
3,AI startups in Berlin,50,0.94,0.047,0.08952380952380952,0.9501466326314643
3,AI startups in Berlin,100,0.93,0.093,0.16909090909090907,0.938076984586645
3,AI startups in Berlin,500,0.742,0.371,0.49466666666666664,0.7740838116601224
3,AI startups in Berlin,1000,0.505,0.505,0.505,0.5585680324023063
4,renewable energy companies in Germany,10,1.0,0.01,0.019801980198019802,1.0
4,renewable energy companies in Germany,50,0.9,0.045,0.08571428571428572,0.9252219612545723
4,renewable energy companies in Germany,100,0.87,0.087,0.15818181818181817,0.8935408252775011
4,renewable energy companies in Germany,500,0.894,0.447,0.5960000000000001,0.8997612504179694
4,renewable energy companies in Germany,1000,0.729,0.729,0.729,0.7562040142351171
5,companies providing cloud migration services,10,1.0,0.01,0.019801980198019802,1.0
5,companies providing cloud migration services,50,0.98,0.049,0.09333333333333334,0.9854314065074474
5,companies providing cloud migration services,100,0.98,0.098,0.17818181818181816,0.9827273101644296
5,companies providing cloud migration services,500,0.966,0.483,0.644,0.9689919270232704
5,companies providing cloud migration services,1000,0.737,0.737,0.737,0.7771506417157252
6,B2B SaaS platforms,10,1.0,0.01,0.019801980198019802,1.0
6,B2B SaaS platforms,50,0.96,0.048,0.09142857142857141,0.9636452098074642
6,B2B SaaS platforms,100,0.95,0.095,0.17272727272727273,0.955376991634549
6,B2B SaaS platforms,500,0.934,0.467,0.6226666666666667,0.9394067377217312
6,B2B SaaS platforms,1000,0.795,0.795,0.795,0.8204596889715103
7,machine learning companies,10,1.0,0.01,0.019801980198019802,1.0
7,machine learning companies,50,1.0,0.05,0.09523809523809523,1.0
7,machine learning companies,100,0.96,0.096,0.17454545454545453,0.9701377898108721
7,machine learning companies,500,0.862,0.431,0.5746666666666667,0.880606582599699
7,machine learning companies,1000,0.716,0.716,0.7160000000000001,0.7490935507652557
8,IoT solution providers,10,1.0,0.01,0.019801980198019802,1.0
8,IoT solution providers,50,1.0,0.05,0.09523809523809523,1.0
8,IoT solution providers,100,1.0,0.1,0.18181818181818182,1.0
8,IoT solution providers,500,0.994,0.497,0.6626666666666666,0.9949833026784001
8,IoT solution providers,1000,0.934,0.934,0.934,0.9446772490286087
9,enterprise software vendors,10,0.8,0.008,0.015841584158415842,0.841492960259019
9,enterprise software vendors,50,0.94,0.047,0.08952380952380952,0.9294925301132132
9,enterprise software vendors,100,0.96,0.096,0.17454545454545453,0.94915651192729
9,enterprise software vendors,500,0.74,0.37,0.49333333333333335,0.7702899402003145
9,enterprise software vendors,1000,0.572,0.572,0.572,0.6143648647528127
10,small consulting firms,10,0.8,0.008,0.015841584158415842,0.6947651160602989
10,small consulting firms,50,0.88,0.044,0.0838095238095238,0.8299695555875464
10,small consulting firms,100,0.8,0.08,0.14545454545454545,0.789461273629053
10,small consulting firms,500,0.708,0.354,0.47200000000000003,0.7171414702267505
10,small consulting firms,1000,0.55,0.55,0.55,0.578774655794877
11,tech companies in Munich,10,1.0,0.01,0.019801980198019802,1.0
11,tech companies in Munich,50,1.0,0.05,0.09523809523809523,1.0
11,tech companies in Munich,100,0.99,0.099,0.18,0.9917012238305501
11,tech companies in Munich,500,0.972,0.486,0.648,0.9752365301724372
11,tech companies in Munich,1000,0.739,0.739,0.739,0.7783688228369537
12,manufacturing in Baden-Württemberg,10,1.0,0.01,0.019801980198019802,1.0
12,manufacturing in Baden-Württemberg,50,1.0,0.05,0.09523809523809523,1.0
12,manufacturing in Baden-Württemberg,100,1.0,0.1,0.18181818181818182,1.0
12,manufacturing in Baden-Württemberg,500,0.954,0.477,0.6359999999999999,0.960206681800241
12,manufacturing in Baden-Württemberg,1000,0.789,0.789,0.7890000000000001,0.8187024667168856
13,e-commerce platforms,10,1.0,0.01,0.019801980198019802,1.0
13,e-commerce platforms,50,0.86,0.043,0.0819047619047619,0.890476195984608
13,e-commerce platforms,100,0.87,0.087,0.15818181818181817,0.8858319628875704
13,e-commerce platforms,500,0.932,0.466,0.6213333333333333,0.9242523345596687
13,e-commerce platforms,1000,0.796,0.796,0.796,0.8134921623737131
14,pharmaceutical companies,10,1.0,0.01,0.019801980198019802,1.0
14,pharmaceutical companies,50,0.98,0.049,0.09333333333333334,0.9856215795673515
14,pharmaceutical companies,100,0.99,0.099,0.18,0.9911432285015209
14,pharmaceutical companies,500,0.978,0.489,0.6519999999999999,0.9789502519569591
14,pharmaceutical companies,1000,0.924,0.924,0.924,0.9337665306059544
15,logistics companies in the US,10,1.0,0.01,0.019801980198019802,1.0
15,logistics companies in the US,50,0.88,0.044,0.0838095238095238,0.905852807366676
15,logistics companies in the US,100,0.85,0.085,0.15454545454545457,0.8730813779601284
15,logistics companies in the US,500,0.686,0.343,0.4573333333333333,0.715318884008567
15,logistics companies in the US,1000,0.543,0.543,0.543,0.5820186614605786
16,data analytics companies,10,0.9,0.009,0.01782178217821782,0.9305687780632227
16,data analytics companies,50,0.98,0.049,0.09333333333333334,0.9755410594964452
16,data analytics companies,100,0.99,0.099,0.18,0.9849338633440572
16,data analytics companies,500,0.904,0.452,0.6026666666666667,0.9140787398032941
16,data analytics companies,1000,0.785,0.785,0.785,0.8090617090227027
