query_id,query,k,precision,recall,f1,ndcg
1,software companies,10,0.8,0.008,0.015841584158415842,0.8603818544462509
1,software companies,50,0.54,0.027,0.05142857142857143,0.6149553938714672
1,software companies,100,0.56,0.056,0.10181818181818182,0.600820814411594
1,software companies,300,0.5,0.15,0.23076923076923075,0.5282205009913798
1,software companies,500,0.504,0.252,0.336,0.5223180103059405
1,software companies,1000,0.416,0.416,0.416,0.4398878097921245
2,healthcare providers,10,1.0,0.01,0.019801980198019802,1.0
2,healthcare providers,50,1.0,0.05,0.09523809523809523,1.0
2,healthcare providers,100,0.99,0.099,0.18,0.9925287622465939
2,healthcare providers,300,0.9733333333333334,0.292,0.44923076923076916,0.9778026795032799
2,healthcare providers,500,0.922,0.461,0.6146666666666667,0.9348413461877666
2,healthcare providers,1000,0.849,0.849,0.849,0.8676915231927097
3,AI startups in Berlin,10,1.0,0.01,0.019801980198019802,1.0
3,AI startups in Berlin,50,0.94,0.047,0.08952380952380952,0.9501466326314643
3,AI startups in Berlin,100,0.93,0.093,0.16909090909090907,0.9381171564826976
3,AI startups in Berlin,300,0.86,0.258,0.39692307692307693,0.8755540158025396
3,AI startups in Berlin,500,0.764,0.382,0.5093333333333334,0.7925820619246922
3,AI startups in Berlin,1000,0.534,0.534,0.534,0.5848095036141367
4,renewable energy companies in Germany,10,1.0,0.01,0.019801980198019802,1.0
4,renewable energy companies in Germany,50,0.9,0.045,0.08571428571428572,0.9252219612545723
4,renewable energy companies in Germany,100,0.88,0.088,0.16,0.9007934807459752
4,renewable energy companies in Germany,300,0.9233333333333333,0.277,0.4261538461538461,0.92344031365147
4,renewable energy companies in Germany,500,0.896,0.448,0.5973333333333334,0.901483280300405
4,renewable energy companies in Germany,1000,0.731,0.731,0.731,0.7583780848052798
5,companies providing cloud migration services,10,1.0,0.01,0.019801980198019802,1.0
5,companies providing cloud migration services,50,0.98,0.049,0.09333333333333334,0.9854314065074474
5,companies providing cloud migration services,100,0.98,0.098,0.17818181818181816,0.9827273101644296
5,companies providing cloud migration services,300,0.97,0.291,0.44769230769230767,0.9723427916558854
5,companies providing cloud migration services,500,0.958,0.479,0.6386666666666667,0.9617295886350993
5,companies providing cloud migration services,1000,0.803,0.803,0.803,0.8319344345037087
6,B2B SaaS platforms,10,1.0,0.01,0.019801980198019802,1.0
6,B2B SaaS platforms,50,0.96,0.048,0.09142857142857141,0.9636452098074642
6,B2B SaaS platforms,100,0.95,0.095,0.17272727272727273,0.955376991634549
6,B2B SaaS platforms,300,0.9533333333333334,0.286,0.43999999999999995,0.9558305321947291
6,B2B SaaS platforms,500,0.936,0.468,0.624,0.940796089008374
6,B2B SaaS platforms,1000,0.809,0.809,0.809,0.8316614678018123
7,machine learning companies,10,1.0,0.01,0.019801980198019802,1.0
7,machine learning companies,50,1.0,0.05,0.09523809523809523,1.0
7,machine learning companies,100,0.96,0.096,0.17454545454545453,0.9701377898108721
7,machine learning companies,300,0.9166666666666666,0.275,0.4230769230769231,0.9294615918227422
7,machine learning companies,500,0.858,0.429,0.572,0.8771601491620826
7,machine learning companies,1000,0.702,0.702,0.702,0.7371088265307503
8,IoT solution providers,10,1.0,0.01,0.019801980198019802,1.0
8,IoT solution providers,50,1.0,0.05,0.09523809523809523,1.0
8,IoT solution providers,100,1.0,0.1,0.18181818181818182,1.0
8,IoT solution providers,300,1.0,0.3,0.4615384615384615,1.0
8,IoT solution providers,500,0.994,0.497,0.6626666666666666,0.9949847737155331
8,IoT solution providers,1000,0.943,0.943,0.943,0.9521264100507317
9,enterprise software vendors,10,0.8,0.008,0.015841584158415842,0.841492960259019
9,enterprise software vendors,50,0.94,0.047,0.08952380952380952,0.9294925301132132
9,enterprise software vendors,100,0.95,0.095,0.17272727272727273,0.9415450094792578
9,enterprise software vendors,300,0.85,0.255,0.3923076923076923,0.8642723849430325
9,enterprise software vendors,500,0.726,0.363,0.484,0.7577596463036992
9,enterprise software vendors,1000,0.579,0.579,0.579,0.6190310112176651
10,small consulting firms,10,0.7,0.007,0.013861386138613862,0.6067216003536936
10,small consulting firms,50,0.86,0.043,0.0819047619047619,0.800276410894572
10,small consulting firms,100,0.81,0.081,0.14727272727272728,0.7860868196594256
10,small consulting firms,300,0.7433333333333333,0.223,0.34307692307692306,0.7412235767435247
10,small consulting firms,500,0.688,0.344,0.4586666666666666,0.6967253581570068
10,small consulting firms,1000,0.538,0.538,0.538,0.5660195238298946
11,tech companies in Munich,10,1.0,0.01,0.019801980198019802,1.0
11,tech companies in Munich,50,1.0,0.05,0.09523809523809523,1.0
11,tech companies in Munich,100,0.99,0.099,0.18,0.991739223015462
11,tech companies in Munich,300,0.9766666666666667,0.293,0.45076923076923076,0.9801269981646106
11,tech companies in Munich,500,0.97,0.485,0.6466666666666666,0.9736728819308769
11,tech companies in Munich,1000,0.753,0.753,0.753,0.7899707361780272
12,manufacturing in Baden-Württemberg,10,1.0,0.01,0.019801980198019802,1.0
12,manufacturing in Baden-Württemberg,50,1.0,0.05,0.09523809523809523,1.0
12,manufacturing in Baden-Württemberg,100,1.0,0.1,0.18181818181818182,1.0
12,manufacturing in Baden-Württemberg,300,0.97,0.291,0.44769230769230767,0.974744759687561
12,manufacturing in Baden-Württemberg,500,0.954,0.477,0.6359999999999999,0.9603369961434688
12,manufacturing in Baden-Württemberg,1000,0.807,0.807,0.807,0.8338727807469448
13,e-commerce platforms,10,1.0,0.01,0.019801980198019802,1.0
13,e-commerce platforms,50,0.86,0.043,0.0819047619047619,0.890476195984608
13,e-commerce platforms,100,0.87,0.087,0.15818181818181817,0.8858319628875704
13,e-commerce platforms,300,0.8866666666666667,0.266,0.40923076923076923,0.8871962593923645
13,e-commerce platforms,500,0.932,0.466,0.6213333333333333,0.9242523345596687
13,e-commerce platforms,1000,0.811,0.811,0.811,0.8257167292675441
14,pharmaceutical companies,10,1.0,0.01,0.019801980198019802,1.0
14,pharmaceutical companies,50,0.98,0.049,0.09333333333333334,0.9856215795673515
14,pharmaceutical companies,100,0.99,0.099,0.18,0.9911432285015209
14,pharmaceutical companies,300,0.9733333333333334,0.292,0.44923076923076916,0.9760600448433863
14,pharmaceutical companies,500,0.976,0.488,0.6506666666666666,0.9773524793598418
14,pharmaceutical companies,1000,0.929,0.929,0.929,0.9377573844974891
15,logistics companies in the US,10,1.0,0.01,0.019801980198019802,1.0
