query_id,query,k,precision,recall,f1,ndcg
1,software companies,10,0.6,0.006,0.011881188118811881,0.6911279212606076
1,software companies,50,0.48,0.024,0.04571428571428571,0.5363379795488586
1,software companies,100,0.46,0.046,0.08363636363636365,0.497838907752563
1,software companies,300,0.35,0.105,0.16153846153846155,0.38701180281151026
1,software companies,500,0.296,0.148,0.19733333333333333,0.330630663561137
1,software companies,1000,0.237,0.237,0.237,0.26570098425179134
2,healthcare providers,10,1.0,0.01,0.019801980198019802,1.0
2,healthcare providers,50,0.94,0.047,0.08952380952380952,0.9563773837963425
2,healthcare providers,100,0.89,0.089,0.16181818181818183,0.9117378117595082
2,healthcare providers,300,0.8533333333333334,0.256,0.3938461538461539,0.868340340176893
2,healthcare providers,500,0.784,0.392,0.5226666666666667,0.8067565751033087
2,healthcare providers,1000,0.628,0.628,0.628,0.6644501128649114
3,AI startups in Berlin,10,0.9,0.009,0.01782178217821782,0.933745776545611
3,AI startups in Berlin,50,0.86,0.043,0.0819047619047619,0.8726918896080721
3,AI startups in Berlin,100,0.82,0.082,0.14909090909090908,0.8373581971019279
3,AI startups in Berlin,300,0.7366666666666667,0.221,0.33999999999999997,0.7600489170293437
3,AI startups in Berlin,500,0.648,0.324,0.432,0.6795156320101332
3,AI startups in Berlin,1000,0.459,0.459,0.459,0.5052763799651265
4,renewable energy companies in Germany,10,0.8,0.008,0.015841584158415842,0.8115558478722846
4,renewable energy companies in Germany,50,0.8,0.04,0.07619047619047618,0.8027625146294097
4,renewable energy companies in Germany,100,0.81,0.081,0.14727272727272728,0.8096216351779569
4,renewable energy companies in Germany,300,0.77,0.231,0.35538461538461535,0.7775055557628334
4,renewable energy companies in Germany,500,0.754,0.377,0.5026666666666667,0.7621056297836172
4,renewable energy companies in Germany,1000,0.66,0.66,0.66,0.6797066208682623
5,companies providing cloud migration services,10,1.0,0.01,0.019801980198019802,1.0
5,companies providing cloud migration services,50,0.94,0.047,0.08952380952380952,0.9551316566671949
5,companies providing cloud migration services,100,0.77,0.077,0.14,0.8205636411739567
5,companies providing cloud migration services,300,0.39666666666666667,0.119,0.18307692307692305,0.48330756138711695
5,companies providing cloud migration services,500,0.302,0.151,0.20133333333333334,0.3769248603242902
5,companies providing cloud migration services,1000,0.382,0.382,0.382,0.4132052956876824
6,B2B SaaS platforms,10,1.0,0.01,0.019801980198019802,1.0
6,B2B SaaS platforms,50,0.94,0.047,0.08952380952380952,0.9551132860852353
6,B2B SaaS platforms,100,0.86,0.086,0.15636363636363637,0.8882397622135506
6,B2B SaaS platforms,300,0.7666666666666667,0.23,0.35384615384615387,0.796668366656812
6,B2B SaaS platforms,500,0.656,0.328,0.4373333333333334,0.6965048834649885
6,B2B SaaS platforms,1000,0.477,0.477,0.477,0.5267714392372147
7,machine learning companies,10,0.9,0.009,0.01782178217821782,0.7799082337019199
7,machine learning companies,50,0.82,0.041,0.07809523809523809,0.8048681119624379
7,machine learning companies,100,0.68,0.068,0.12363636363636364,0.7025712291011316
7,machine learning companies,300,0.46,0.138,0.2123076923076923,0.5086274760792238
7,machine learning companies,500,0.36,0.18,0.23999999999999996,0.4111726375655885
7,machine learning companies,1000,0.24,0.24,0.24,0.2872759625516771
8,IoT solution providers,10,0.9,0.009,0.01782178217821782,0.914856882358379
8,IoT solution providers,50,0.98,0.049,0.09333333333333334,0.9700061385844562
8,IoT solution providers,100,0.88,0.088,0.16,0.8992131240087615
8,IoT solution providers,300,0.77,0.231,0.35538461538461535,0.7990519462586505
8,IoT solution providers,500,0.668,0.334,0.4453333333333334,0.7058981392196899
8,IoT solution providers,1000,0.486,0.486,0.486,0.5352545087481384
9,enterprise software vendors,10,0.9,0.009,0.01782178217821782,0.9266360779006401
9,enterprise software vendors,50,0.7,0.035,0.06666666666666667,0.7583924997355121
9,enterprise software vendors,100,0.57,0.057,0.10363636363636362,0.6360112016901965
9,enterprise software vendors,300,0.4533333333333333,0.136,0.20923076923076928,0.5027449251575341
9,enterprise software vendors,500,0.402,0.201,0.26800000000000007,0.4442600237374989
9,enterprise software vendors,1000,0.331,0.331,0.331,0.3662677471340032
10,small consulting firms,10,0.9,0.009,0.01782178217821782,0.8899541168509599
10,small consulting firms,50,0.68,0.034,0.06476190476190476,0.7246478947029461
10,small consulting firms,100,0.54,0.054,0.09818181818181818,0.6016539852955041
10,small consulting firms,300,0.51,0.153,0.2353846153846154,0.5428100785737983
10,small consulting firms,500,0.466,0.233,0.31066666666666665,0.4960573379809679
10,small consulting firms,1000,0.401,0.401,0.401,0.4280883476458546
11,tech companies in Munich,10,1.0,0.01,0.019801980198019802,1.0
11,tech companies in Munich,50,0.84,0.042,0.08,0.856072413458515
11,tech companies in Munich,100,0.82,0.082,0.14909090909090908,0.8342646351257429
11,tech companies in Munich,300,0.6833333333333333,0.205,0.31538461538461543,0.7132985161681856
11,tech companies in Munich,500,0.61,0.305,0.4066666666666666,0.6430814943167815
11,tech companies in Munich,1000,0.463,0.463,0.463,0.5040407675787765
12,manufacturing in Baden-Württemberg,10,1.0,0.01,0.019801980198019802,1.0
12,manufacturing in Baden-Württemberg,50,0.94,0.047,0.08952380952380952,0.955039116847803
12,manufacturing in Baden-Württemberg,100,0.89,0.089,0.16181818181818183,0.9119086584571517
12,manufacturing in Baden-Württemberg,300,0.8766666666666667,0.263,0.4046153846153846,0.8891836711059109
12,manufacturing in Baden-Württemberg,500,0.822,0.411,0.548,0.840451813285765
12,manufacturing in Baden-Württemberg,1000,0.639,0.639,0.639,0.677062705982079
13,e-commerce platforms,10,0.7,0.007,0.013861386138613862,0.7630946912803436
13,e-commerce platforms,50,0.7,0.035,0.06666666666666667,0.7172288873170587
13,e-commerce platforms,100,0.69,0.069,0.12545454545454546,0.7032453495570902
13,e-commerce platforms,300,0.5233333333333333,0.157,0.2415384615384615,0.5575973132370105
13,e-commerce platforms,500,0.474,0.237,0.316,0.5055552076613662
13,e-commerce platforms,1000,0.453,0.453,0.453,0.47404812527840107
14,pharmaceutical companies,10,1.0,0.01,0.019801980198019802,1.0
14,pharmaceutical companies,50,1.0,0.05,0.09523809523809523,1.0
14,pharmaceutical companies,100,0.98,0.098,0.17818181818181816,0.9854145925580707
14,pharmaceutical companies,300,0.9333333333333333,0.28,0.4307692307692308,0.9442167761840139
14,pharmaceutical companies,500,0.91,0.455,0.6066666666666667,0.9215398046408737
14,pharmaceutical companies,1000,0.752,0.752,0.752,0.7837871698964414
15,logistics companies in the US,10,0.8,0.008,0.015841584158415842,0.8364586133797037
15,logistics companies in the US,50,0.76,0.038,0.07238095238095238,0.7754965291728362
