query_id,query,k,precision,recall,f1,ndcg
1,software companies,10,0.4,0.004,0.007920792079207921,0.5541432109622958
1,software companies,50,0.58,0.029,0.05523809523809523,0.6001697866532786
1,software companies,100,0.56,0.056,0.10181818181818182,0.5760745118815906
1,software companies,300,0.48,0.144,0.2215384615384615,0.5016140032714093
1,software companies,500,0.446,0.223,0.29733333333333334,0.4670905289293716
1,software companies,1000,0.379,0.379,0.37899999999999995,0.4009098217941165
2,healthcare providers,10,1.0,0.01,0.019801980198019802,1.0
2,healthcare providers,50,1.0,0.05,0.09523809523809523,1.0
2,healthcare providers,100,0.98,0.098,0.17818181818181816,0.9851520053137856
2,healthcare providers,300,0.9666666666666667,0.29,0.4461538461538462,0.9705669510543136
2,healthcare providers,500,0.94,0.47,0.6266666666666667,0.9477341582659713
2,healthcare providers,1000,0.834,0.834,0.834,0.8547207913177022
3,AI startups in Berlin,10,0.9,0.009,0.01782178217821782,0.9052116356304493
3,AI startups in Berlin,50,0.84,0.042,0.08,0.8601480414502417
3,AI startups in Berlin,100,0.83,0.083,0.15090909090909094,0.8447249942169861
3,AI startups in Berlin,300,0.8333333333333334,0.25,0.3846153846153846,0.8382336698280531
3,AI startups in Berlin,500,0.782,0.391,0.5213333333333334,0.7944796716135311
3,AI startups in Berlin,1000,0.639,0.639,0.639,0.667385474290369
4,renewable energy companies in Germany,10,0.5,0.005,0.009900990099009901,0.6489315753318465
4,renewable energy companies in Germany,50,0.86,0.043,0.0819047619047619,0.8377227478105371
4,renewable energy companies in Germany,100,0.88,0.088,0.16,0.8620540623063626
4,renewable energy companies in Germany,300,0.85,0.255,0.3923076923076923,0.8465466435035105
4,renewable energy companies in Germany,500,0.834,0.417,0.556,0.8348099341250269
4,renewable energy companies in Germany,1000,0.786,0.786,0.786,0.7941265859498191
5,companies providing cloud migration services,10,1.0,0.01,0.019801980198019802,1.0
5,companies providing cloud migration services,50,1.0,0.05,0.09523809523809523,1.0
5,companies providing cloud migration services,100,0.98,0.098,0.17818181818181816,0.9848624724925583
