query_id,k,precision,recall,f1,ndcg
1,10,0.8,0.008,0.015841584158415842,0.8482378089219645
1,50,0.56,0.028,0.05333333333333334,0.6097360838817769
1,100,0.57,0.057,0.10363636363636362,0.5972680124139921
1,300,0.5933333333333334,0.178,0.2738461538461538,0.6031497197840883
1,500,0.518,0.259,0.3453333333333333,0.5380742835635385
1,1000,0.414,0.414,0.414,0.44212930374189063
2,10,0.8,0.008,0.015841584158415842,0.8643145546088337
2,50,0.9,0.045,0.08571428571428572,0.9012556417076762
2,100,0.93,0.093,0.16909090909090907,0.9238554227316499
2,300,0.93,0.279,0.42923076923076925,0.928132126655939
2,500,0.938,0.469,0.6253333333333332,0.9352454133020416
2,1000,0.834,0.834,0.834,0.8492810769925725
3,10,1.0,0.01,0.019801980198019802,1.0
3,50,1.0,0.05,0.09523809523809523,1.0
3,100,0.89,0.089,0.16181818181818183,0.9175625693015103
3,300,0.72,0.216,0.3323076923076923,0.7594736595485628
3,500,0.61,0.305,0.4066666666666666,0.6567240393267534
3,1000,0.561,0.561,0.561,0.5946825229136502
4,10,1.0,0.01,0.019801980198019802,1.0
4,50,0.92,0.046,0.08761904761904762,0.9348892213693962
4,100,0.91,0.091,0.16545454545454544,0.9206301657931385
4,300,0.8466666666666667,0.254,0.3907692307692308,0.8619174631596577
4,500,0.85,0.425,0.5666666666666667,0.8599729180037358
4,1000,0.772,0.772,0.772,0.7901648607226481
5,10,1.0,0.01,0.019801980198019802,1.0
5,50,1.0,0.05,0.09523809523809523,1.0
5,100,1.0,0.1,0.18181818181818182,1.0
5,300,0.99,0.297,0.4569230769230769,0.9917015289541162
5,500,0.978,0.489,0.6519999999999999,0.9814784108271281
5,1000,0.862,0.862,0.8619999999999999,0.8840846922471755
6,10,1.0,0.01,0.019801980198019802,1.0
6,50,0.96,0.048,0.09142857142857141,0.9668093344399921
6,100,0.97,0.097,0.1763636363636364,0.9718640639664416
6,300,0.96,0.288,0.443076923076923,0.9623954664999216
6,500,0.928,0.464,0.6186666666666667,0.9357358707802855
6,1000,0.823,0.823,0.823,0.8442144560725281
7,10,1.0,0.01,0.019801980198019802,1.0
7,50,1.0,0.05,0.09523809523809523,1.0
7,100,1.0,0.1,0.18181818181818182,1.0
7,300,0.9766666666666667,0.293,0.45076923076923076,0.9814502743377415
7,500,0.948,0.474,0.632,0.9567078015571227
7,1000,0.753,0.753,0.753,0.7886873986042101
8,10,1.0,0.01,0.019801980198019802,1.0
8,50,1.0,0.05,0.09523809523809523,1.0
8,100,1.0,0.1,0.18181818181818182,1.0
8,300,1.0,0.3,0.4615384615384615,1.0
8,500,0.998,0.499,0.6653333333333333,0.9982874860562653
8,1000,0.947,0.947,0.9469999999999998,0.956059131885257
9,10,1.0,0.01,0.019801980198019802,1.0
9,50,0.96,0.048,0.09142857142857141,0.9714170688366486
9,100,0.96,0.096,0.17454545454545453,0.9674803415156011
9,300,0.8233333333333334,0.247,0.38,0.8506601787332163
9,500,0.718,0.359,0.4786666666666667,0.7552192641751971
9,1000,0.563,0.563,0.563,0.6079867415194187
10,10,1.0,0.01,0.019801980198019802,1.0
10,50,0.98,0.049,0.09333333333333334,0.9836940396642968
10,100,0.97,0.097,0.1763636363636364,0.9746911153069974
10,300,0.8366666666666667,0.251,0.3861538461538461,0.8626736920021681
10,500,0.766,0.383,0.5106666666666667,0.7963492340185512
10,1000,0.619,0.619,0.619,0.6587016746710441
11,10,1.0,0.01,0.019801980198019802,1.0
11,50,0.96,0.048,0.09142857142857141,0.9655009890358976
11,100,0.98,0.098,0.17818181818181816,0.9787494142027741
11,300,0.98,0.294,0.4523076923076923,0.9798293899849844
11,500,0.958,0.479,0.6386666666666667,0.9619520183516518
11,1000,0.777,0.777,0.777,0.8079086483165308
12,10,1.0,0.01,0.019801980198019802,1.0
12,50,1.0,0.05,0.09523809523809523,1.0
12,100,1.0,0.1,0.18181818181818182,1.0
12,300,0.97,0.291,0.44769230769230767,0.974902900092886
12,500,0.926,0.463,0.6173333333333334,0.9372787032399996
12,1000,0.784,0.784,0.7840000000000001,0.8122382928759019
13,10,1.0,0.01,0.019801980198019802,1.0
13,50,0.96,0.048,0.09142857142857141,0.9663881171072325
13,100,0.97,0.097,0.1763636363636364,0.9712748787291361
13,300,0.98,0.294,0.4523076923076923,0.9788625697413942
13,500,0.974,0.487,0.6493333333333333,0.9744657367301913
13,1000,0.812,0.812,0.8119999999999999,0.8377668828923065
14,10,1.0,0.01,0.019801980198019802,1.0
14,50,1.0,0.05,0.09523809523809523,1.0
14,100,0.99,0.099,0.18,0.9924238286246503
14,300,0.9966666666666667,0.299,0.45999999999999996,0.9966517777665392
14,500,0.99,0.495,0.66,0.991146935959447
14,1000,0.941,0.941,0.941,0.949915047954024
15,10,0.9,0.009,0.01782178217821782,0.9266360779006401
15,50,0.88,0.044,0.0838095238095238,0.8989237280088389
15,100,0.8,0.08,0.14545454545454545,0.8308423314627953
15,300,0.71,0.213,0.32769230769230767,0.7400855943616667
15,500,0.678,0.339,0.45199999999999996,0.7042821733444091
15,1000,0.565,0.565,0.565,0.597418397505515
16,10,1.0,0.01,0.019801980198019802,1.0
16,50,0.98,0.049,0.09333333333333334,0.985963223074562
