query_id,k,precision,recall,f1,ndcg
1,10,0.8,0.008,0.015841584158415842,0.8572048559638628
1,50,0.72,0.036,0.06857142857142856,0.7554304973166989
1,100,0.63,0.063,0.11454545454545455,0.6739455479797325
1,300,0.61,0.183,0.28153846153846157,0.632625951222548
1,500,0.482,0.241,0.3213333333333333,0.520713733385909
1,1000,0.444,0.444,0.444,0.47217571959158106
2,10,1.0,0.01,0.019801980198019802,1.0
2,50,0.94,0.047,0.08952380952380952,0.956833255958533
2,100,0.97,0.097,0.1763636363636364,0.9734102928691318
2,300,0.9266666666666666,0.278,0.4276923076923077,0.935292883352912
2,500,0.932,0.466,0.6213333333333333,0.9365857546272268
2,1000,0.832,0.832,0.832,0.851043860510845
3,10,0.9,0.009,0.01782178217821782,0.9363792118010483
3,50,0.92,0.046,0.08761904761904762,0.9315153209709883
3,100,0.92,0.092,0.1672727272727273,0.928023901182634
3,300,0.7966666666666666,0.239,0.36769230769230765,0.821223041065452
3,500,0.698,0.349,0.46533333333333327,0.7334739304698762
3,1000,0.597,0.597,0.597,0.632336577851359
4,10,0.8,0.008,0.015841584158415842,0.8200685179888283
4,50,0.86,0.043,0.0819047619047619,0.8613733060506651
4,100,0.88,0.088,0.16,0.8771013430569515
4,300,0.91,0.273,0.42000000000000004,0.9037543573528686
4,500,0.834,0.417,0.556,0.8435988302605422
4,1000,0.773,0.773,0.7729999999999999,0.7885180436906675
5,10,1.0,0.01,0.019801980198019802,1.0
5,50,1.0,0.05,0.09523809523809523,1.0
5,100,0.99,0.099,0.18,0.9920402461231967
5,300,0.99,0.297,0.4569230769230769,0.9911765977961892
5,500,0.982,0.491,0.6546666666666667,0.9841178920332272
5,1000,0.867,0.867,0.867,0.8878007081528952
6,10,1.0,0.01,0.019801980198019802,1.0
6,50,0.96,0.048,0.09142857142857141,0.9688290244840587
6,100,0.97,0.097,0.1763636363636364,0.9726808578260524
6,300,0.9566666666666667,0.287,0.4415384615384615,0.9606938282042409
6,500,0.93,0.465,0.6200000000000001,0.9374189837501826
6,1000,0.801,0.801,0.801,0.8264800982718441
7,10,1.0,0.01,0.019801980198019802,1.0
7,50,1.0,0.05,0.09523809523809523,1.0
7,100,0.99,0.099,0.18,0.9924016758836055
7,300,0.9833333333333333,0.295,0.4538461538461538,0.9861429088521884
7,500,0.94,0.47,0.6266666666666667,0.9499823796092884
7,1000,0.749,0.749,0.749,0.7844736275505017
8,10,1.0,0.01,0.019801980198019802,1.0
8,50,1.0,0.05,0.09523809523809523,1.0
8,100,1.0,0.1,0.18181818181818182,1.0
8,300,1.0,0.3,0.4615384615384615,1.0
8,500,0.998,0.499,0.6653333333333333,0.9983221452820379
8,1000,0.95,0.95,0.9500000000000001,0.958485125127549
9,10,0.9,0.009,0.01782178217821782,0.8611375561264454
9,50,0.98,0.049,0.09333333333333334,0.9510821189928904
9,100,0.98,0.098,0.17818181818181816,0.9619079728113107
9,300,0.8233333333333334,0.247,0.38,0.8429909900939531
9,500,0.708,0.354,0.47200000000000003,0.7418918403358071
9,1000,0.576,0.576,0.576,0.6152275817291228
10,10,0.9,0.009,0.01782178217821782,0.914856882358379
10,50,0.94,0.047,0.08952380952380952,0.9424552756263122
10,100,0.93,0.093,0.16909090909090907,0.934685149752845
10,300,0.8133333333333334,0.244,0.3753846153846154,0.8369209187122862
10,500,0.748,0.374,0.4986666666666667,0.7755714511234325
10,1000,0.626,0.626,0.626,0.6600666661806966
11,10,0.9,0.009,0.01782178217821782,0.9052116356304493
11,50,0.96,0.048,0.09142857142857141,0.951368336993416
11,100,0.98,0.098,0.17818181818181816,0.9700440302981862
11,300,0.9833333333333333,0.295,0.4538461538461538,0.9789993713730546
11,500,0.96,0.48,0.64,0.9613027364371257
11,1000,0.772,0.772,0.772,0.8029829927382748
12,10,1.0,0.01,0.019801980198019802,1.0
12,50,1.0,0.05,0.09523809523809523,1.0
12,100,1.0,0.1,0.18181818181818182,1.0
12,300,0.9666666666666667,0.29,0.4461538461538462,0.9726270185558774
12,500,0.944,0.472,0.6293333333333333,0.9516719451657865
12,1000,0.777,0.777,0.777,0.8068490093965733
13,10,0.8,0.008,0.015841584158415842,0.8603818544462509
13,50,0.74,0.037,0.07047619047619047,0.7812781441800923
13,100,0.82,0.082,0.14909090909090908,0.8254824594369397
13,300,0.9066666666666666,0.272,0.41846153846153855,0.8941573409327933
13,500,0.936,0.468,0.624,0.9222061786305864
13,1000,0.807,0.807,0.807,0.8201583385921398
14,10,1.0,0.01,0.019801980198019802,1.0
14,50,1.0,0.05,0.09523809523809523,1.0
14,100,1.0,0.1,0.18181818181818182,1.0
14,300,1.0,0.3,0.4615384615384615,1.0
14,500,0.978,0.489,0.6519999999999999,0.9821775126362426
14,1000,0.932,0.932,0.932,0.9426310955189744
15,10,0.9,0.009,0.01782178217821782,0.9363792118010483
15,50,0.92,0.046,0.08761904761904762,0.9282877995846649
15,100,0.8,0.08,0.14545454545454545,0.8334746989470847
15,300,0.7266666666666667,0.218,0.3353846153846154,0.7552408988823359
15,500,0.67,0.335,0.4466666666666667,0.6992013935160089
15,1000,0.55,0.55,0.55,0.5847062490068196
16,10,1.0,0.01,0.019801980198019802,1.0
16,50,0.98,0.049,0.09333333333333334,0.9790476232781448
16,100,0.98,0.098,0.17818181818181816,0.9791636344416137
16,300,0.9366666666666666,0.281,0.43230769230769234,0.944609941561569
16,500,0.904,0.452,0.6026666666666667,0.9154435738244074
16,1000,0.793,0.793,0.793,0.8167383417438521
17,10,1.0,0.01,0.019801980198019802,1.0
17,50,0.94,0.047,0.08952380952380952,0.9510382802182843
17,100,0.93,0.093,0.16909090909090907,0.9373131353447907
17,300,0.83,0.249,0.3830769230769231,0.8490262696641792
17,500,0.808,0.404,0.5386666666666666,0.8249989141766159
17,1000,0.733,0.733,0.733,0.7546700956184023
18,10,0.9,0.009,0.01782178217821782,0.914856882358379
18,50,0.68,0.034,0.06476190476190476,0.7216484759559646
18,100,0.59,0.059,0.10727272727272726,0.6352803522573947
18,300,0.5933333333333334,0.178,0.2738461538461538,0.6164846058055752
18,500,0.62,0.31,0.4133333333333334,0.630471478095607
18,1000,0.551,0.551,0.551,0.5666124337997916
19,10,1.0,0.01,0.019801980198019802,1.0
19,50,1.0,0.05,0.09523809523809523,1.0
19,100,0.99,0.099,0.18,0.9924879067876868
19,300,0.9833333333333333,0.295,0.4538461538461538,0.9857071057678104
19,500,0.974,0.487,0.6493333333333333,0.9773554268826534
19,1000,0.866,0.866,0.866,0.8859574627749954
20,10,1.0,0.01,0.019801980198019802,1.0
20,50,0.96,0.048,0.09142857142857141,0.9648159054323711
20,100,0.98,0.098,0.17818181818181816,0.9783274186878834
20,300,0.9733333333333334,0.292,0.44923076923076916,0.9729466962871969
20,500,0.944,0.472,0.6293333333333333,0.9493762615486778
20,1000,0.896,0.896,0.8960000000000001,0.9076455542729638
21,10,0.7,0.007,0.013861386138613862,0.7630946912803436
21,50,0.78,0.039,0.07428571428571429,0.7938436170566561
21,100,0.69,0.069,0.12545454545454546,0.7169934581189636
21,300,0.7533333333333333,0.226,0.34769230769230774,0.755511054254429
21,500,0.696,0.348,0.46399999999999997,0.7077676043230726
21,1000,0.597,0.597,0.597,0.6196456316894666
22,10,1.0,0.01,0.019801980198019802,1.0
22,50,1.0,0.05,0.09523809523809523,1.0
22,100,0.99,0.099,0.18,0.9927799518971632
22,300,0.9766666666666667,0.293,0.45076923076923076,0.9806754788489521
22,500,0.978,0.489,0.6519999999999999,0.9803007070763416
22,1000,0.862,0.862,0.8619999999999999,0.8826243551230952
23,10,1.0,0.01,0.019801980198019802,1.0
23,50,1.0,0.05,0.09523809523809523,1.0
