method,query_id,k,old_precision,old_recall,old_ndcg,new_precision_relaxed,new_recall_relaxed,new_precision_strict,new_recall_strict,new_ndcg
bm25,1,5,,,,1.0,0.05555555555555555,0.0,0.0,0.5
bm25,1,10,0.1,0.001,0.07336392209936,1.0,0.1111111111111111,0.2,0.02857142857142857,0.5649375058266703
bm25,1,20,,,,1.0,0.2222222222222222,0.15,0.04285714285714286,0.5611008650336518
bm25,1,50,0.06,0.003,0.0560327539457294,0.42,0.23333333333333334,0.08,0.05714285714285714,0.32258465058909863
bm25,2,5,,,,0.8,0.047058823529411764,0.4,0.03389830508474576,0.7035390600827187
bm25,2,10,1.0,0.01,1.0,0.8,0.09411764705882353,0.5,0.0847457627118644,0.695054078646421
bm25,2,20,,,,0.85,0.2,0.35,0.11864406779661017,0.6433882508592821
bm25,2,50,0.98,0.049,0.9855282772907894,0.44,0.25882352941176473,0.22,0.1864406779661017,0.4207743673362964
bm25,3,5,,,,0.6,0.046875,0.0,0.0,0.32740432887656534
bm25,3,10,0.9,0.009,0.933745776545611,0.8,0.125,0.0,0.0,0.43094192525137504
bm25,3,20,,,,0.75,0.234375,0.0,0.0,0.49809452305944407
bm25,3,50,0.98,0.049,0.9766602392356608,0.48,0.375,0.04,0.2857142857142857,0.44871268923914537
bm25,4,5,,,,1.0,0.05555555555555555,0.4,0.02631578947368421,0.650392590074575
bm25,4,10,1.0,0.01,1.0,1.0,0.1111111111111111,0.5,0.06578947368421052,0.708191206902737
bm25,4,20,,,,0.95,0.2111111111111111,0.6,0.15789473684210525,0.7413436022757269
bm25,4,50,0.88,0.044,0.9038529535115812,0.5,0.2777777777777778,0.36,0.23684210526315788,0.4914992253861906
bm25,5,5,,,,1.0,0.06097560975609756,1.0,0.0625,1.0
bm25,5,10,1.0,0.01,1.0,1.0,0.12195121951219512,1.0,0.125,1.0
bm25,5,20,,,,1.0,0.24390243902439024,0.95,0.2375,0.9818218560057307
bm25,5,50,0.96,0.048,0.9706844914300896,0.54,0.32926829268292684,0.52,0.325,0.6416380000544881
gte_large,1,5,,,,1.0,0.05555555555555555,1.0,0.07142857142857142,1.0
gte_large,1,10,0.6,0.006,0.4458567890377042,1.0,0.1111111111111111,1.0,0.14285714285714285,1.0
gte_large,1,20,,,,1.0,0.2222222222222222,0.95,0.2714285714285714,0.9838308544258401
gte_large,1,50,0.58,0.029,0.5446941279986784,0.52,0.28888888888888886,0.5,0.35714285714285715,0.6268012869881923
gte_large,2,5,,,,1.0,0.058823529411764705,0.6,0.05084745762711865,0.8082168163143322
gte_large,2,10,1.0,0.01,1.0,0.9,0.10588235294117647,0.5,0.0847457627118644,0.7440823255941679
gte_large,2,20,,,,0.95,0.2235294117647059,0.55,0.1864406779661017,0.763649779820345
gte_large,2,50,0.98,0.049,0.9835051587382828,0.56,0.32941176470588235,0.36,0.3050847457627119,0.5370564375433546
gte_large,3,5,,,,1.0,0.078125,0.0,0.0,0.5
gte_large,3,10,0.7,0.007,0.7564477297898766,0.9,0.140625,0.2,0.2857142857142857,0.5871554598206047
gte_large,3,20,,,,0.9,0.28125,0.25,0.7142857142857143,0.7332655740148739
gte_large,3,50,0.62,0.031,0.6554916059859159,0.46,0.359375,0.12,0.8571428571428571,0.5459121578033502
gte_large,4,5,,,,1.0,0.05555555555555555,0.8,0.05263157894736842,0.9269658250786468
gte_large,4,10,0.7,0.007,0.5747915663739762,1.0,0.1111111111111111,0.9,0.11842105263157894,0.9526058178152246
gte_large,4,20,,,,1.0,0.2222222222222222,0.9,0.23684210526315788,0.9520382559615498
gte_large,4,50,0.72,0.036,0.670171038054601,0.58,0.32222222222222224,0.54,0.35526315789473684,0.6562186531894285
gte_large,5,5,,,,1.0,0.06097560975609756,1.0,0.0625,1.0
gte_large,5,10,1.0,0.01,1.0,1.0,0.12195121951219512,1.0,0.125,1.0
gte_large,5,20,,,,1.0,0.24390243902439024,1.0,0.25,1.0
gte_large,5,50,1.0,0.05,1.0,0.52,0.3170731707317073,0.52,0.325,0.6364405344415457
colbert,1,5,,,,1.0,0.05555555555555555,0.8,0.05714285714285714,0.915209948681596
colbert,1,10,0.4,0.004,0.5541432109622958,1.0,0.1111111111111111,0.9,0.12857142857142856,0.94497705842548
colbert,1,20,,,,0.95,0.2111111111111111,0.9,0.2571428571428571,0.9304270178356032
colbert,1,50,0.58,0.029,0.6001697866532786,0.5,0.2777777777777778,0.46,0.32857142857142857,0.587390123769617
colbert,2,5,,,,1.0,0.058823529411764705,0.6,0.05084745762711865,0.764817358607021
colbert,2,10,1.0,0.01,1.0,1.0,0.11764705882352941,0.6,0.1016949152542373,0.7715014624911316
colbert,2,20,,,,1.0,0.23529411764705882,0.65,0.22033898305084745,0.7994180351098684
colbert,2,50,1.0,0.05,1.0,0.56,0.32941176470588235,0.38,0.3220338983050847,0.5464065549916587
colbert,3,5,,,,1.0,0.078125,0.0,0.0,0.5
colbert,3,10,0.9,0.009,0.9052116356304492,0.9,0.140625,0.1,0.14285714285714285,0.5575255042750356
colbert,3,20,,,,0.8,0.25,0.15,0.42857142857142855,0.6380071108848416
colbert,3,50,0.84,0.042,0.8601480414502417,0.6,0.46875,0.1,0.7142857142857143,0.6018590929710805
colbert,4,5,,,,1.0,0.05555555555555555,1.0,0.06578947368421052,1.0
colbert,4,10,0.5,0.005,0.6489315753318465,1.0,0.1111111111111111,1.0,0.13157894736842105,1.0
colbert,4,20,,,,1.0,0.2222222222222222,0.9,0.23684210526315788,0.9640668510515235
colbert,4,50,0.86,0.043,0.8377227478105371,0.56,0.3111111111111111,0.52,0.34210526315789475,0.6469540196281569
