query_id,domain,score_minilm,score_linq,score_gte,score_bm25,invrank_minilm,invrank_linq,invrank_gte,invrank_bm25,reranker_score,n_channels,label,score_logreg,score_gbdt,silver_prob_relevant,silver_label,tier,uncertainty,name,country,state,district,municipality,organization_type,organization_size,summary,summary_keywords,nace_code,query
81,globalresearchview.com,0.9903188944,0.5664674044,0.8713755608,10.5935945167,0.0016129032,0.0018450185,0.0013422819,0.0074074074000000005,1.7380731106,4,1,0.9472263418,0.9699889112000001,0.5000019146,1,silver,1.9145999999858887e-06,Global Research View (GRV),India,Maharashtra,n.a. ( 1612),,Company,Small (10-49),"Global Research View (GRV) is a market research company that provides high-value research, data analytics, and business intelligence. They specialize in identifying emerging market trends and business dynamics with a focus on data quality and accuracy. GRV offers custom research reports, market analysis, and consulting services across various industries, aiming for customer delight through service excellence.","['market research', 'data analytics', 'business intelligence', 'industry analysis', 'research reports', 'market trends', 'consulting services', 'forecasting', 'business strategies', 'competitive research']","NACE N: Professional, scientific and technical activities",market research firms
98,bioland-hof-grossholz.de,0.9246238470000001,0.0,0.8649997711,9.8327719047,0.0014792899,0.0002,0.0010020040000000001,0.0059171598,0.8445721865,3,1,0.8208222567,0.8223833757,0.5000039501,1,silver,3.950099999983081e-06,Bioland Hof Großholz,Germany,Schleswig-Holstein,Schlei-Ostsee,Holzdorf,Company,Small (10-49),"Bioland Hof Großholz is a farm that practices gardening in harmony with nature, focusing on sustainable agriculture. They offer a Community Supported Agriculture (CSA) model called Solawi, operate a farm shop, and sell produce at weekly markets. The farm also emphasizes traditional farming methods, including horse-powered work, and is certified by Bioland.","['organic farming', 'CSA', 'Solawi', 'farm shop', 'weekly market', 'sustainable agriculture', 'Bioland', 'horse-powered farming', 'vegetable production', 'local food']","NACE A: Agriculture, forestry and fishing",sustainable agriculture companies
98,qnq.vn,0.9268935323,0.0,0.8662851453,8.9006457743,0.0014513788,0.0002,0.0011074197000000001,0.0017793594,1.2752323151,3,1,0.824562126,0.7650838979,0.49996261740000003,0,silver,3.7382599999968846e-05,CÔNG TY TNHH SX-TM & DV QUYỀN QUÝ,Vietnam,Hồ Chí Minh,An Phú Đông,,Company,Small (10-49),"CÔNG TY TNHH SX-TM & DV QUYỀN QUÝ promotes a healthy lifestyle through its ""Green + Clean + Sustainable"" philosophy. The company offers organic agricultural products, including fertilizers, rice, and plant grafting tape, alongside educational resources like workshops and courses on organic farming and healthy living. It aims to build a community around sustainable practices and connect producers with consumers through its marketplace.","['organic agriculture', 'sustainable farming', 'healthy lifestyle', 'organic products', 'community development', 'agricultural consulting', 'workshops', 'organic fertilizer', 'organic rice', 'eco-friendly']","NACE A: Agriculture, forestry and fishing",sustainable agriculture companies
66,crsinc.co.jp,0.6370747089000001,0.5801122189,0.8767516613,26.1578759858,0.0039840637,0.0011695906,0.0019723866000000002,0.0084033613,1.1856527328,4,1,0.9741586585,0.9164561609,0.4999235249,0,silver,7.647509999997304e-05,Cyber Relationship Service Inc.,Japan,Tokyo,,,Company,Small (10-49),"Cyber Relationship Service Inc. is a professional services company that supports clients in implementing Customer Relationship Management (CRM) strategies. They focus on enhancing customer asset value and profitability by providing expertise in strategic planning, operational efficiency, and IT system compatibility. Their services aim to optimize client relationships and business performance through tailored CRM solutions.","['CRM', 'Customer Relationship Management', 'Professional Services', 'Consulting', 'Business Strategy', 'Operational Efficiency', 'IT Solutions', 'Client Value', 'Profitability', 'CRM Implementation']","NACE N: Professional, scientific and technical activities",customer relationship management (CRM) software
48,volkenterprises.com,0.8363825083,0.5238957405,0.0,9.9425097006,0.0020408163,0.0014727541,0.0002,0.0018018018,1.5623061657,3,1,0.8175665878,0.8453629459,0.49991871740000005,0,silver,8.128259999995446e-05,"Volk Enterprises, Inc.",United States,Georgia,,,Company,Small (10-49),"Volk Enterprises, Inc. provides value-added solutions for the food processing and grocer industries, specializing in products that enhance appearance, increase production efficiency, and ensure food safety. Their offerings include temperature indicating and flavor identification devices designed for processors, retailers, and consumers, aiming to deliver a simple, safe, and consistent cooking experience for various food types.","['food processing', 'grocer industry', 'value-added solutions', 'temperature indicators', 'flavor identification', 'food safety', 'production efficiency', 'consumer products', 'retail solutions', 'food appearance']",NACE C: Manufacturing,food processing companies
55,zodiacaerospace.com,0.7305585146,0.5955603719,0.8781789541,5.9949371955,0.009345794400000001,0.0062893082000000005,0.0024752475,0.0011148272,1.4858665466,4,1,0.9167131034,0.8899780548,0.4998897143,0,silver,0.00011028569999999016,Safran,France,Île-de-France,Versailles,Plaisir,Company,Large enterprise (250+),"Safran is a global leader in aerospace and defense, specializing in propulsion, equipment, and systems for aircraft and space applications. The company is a major player in aviation, providing engines, landing gear, electrical systems, and cabin interiors. Safran also offers defense solutions and space technologies, with a mission to contribute to safer and more sustainable aviation.","['Aerospace', 'Defense', 'Aviation', 'Engines', 'Equipment', 'Systems', 'Space', 'Sustainable Aviation', 'Manufacturing', 'Innovation']",NACE C: Manufacturing,aerospace companies
51,pineft.ru,0.0,0.5036014318,0.8536137342000001,18.8085290335,0.0002,0.0013477089,0.0012285012,0.0018975332000000001,0.7834571004,3,1,0.8679137814000001,0.8011338963,0.4998872817,0,silver,0.00011271829999998095,ООО “ПроектИнжинирингНефть”,Russia,,,,Company,Medium-sized (50-249),"ООО “ПроектИнжинирингНефть” (ООО «ПИН») is a project institute established in 2015, specializing in comprehensive design and survey work for the oil and gas industry. The company offers integrated design for capital construction in oil and gas production, comprehensive engineering surveys, and R&D for field development. They emphasize a strong team, modern technical resources, and efficient project execution, evidenced by numerous positive expert reviews and quality certifications.","['oil and gas', 'engineering', 'design', 'survey', 'project management', 'petroleum', 'construction', 'R&D', 'geology', 'technical expertise']","NACE N: Professional, scientific and technical activities",oil and gas companies
55,aeroinfo.com,0.8704649210000001,0.5719612837,0.8679742813,6.0094615433,0.002173913,0.0030487805000000002,0.0014409222000000001,0.0011299435,-0.7667976618,4,1,0.8907530833,0.8795018364,0.49987906540000004,0,silver,0.0001209345999999556,Boeing Canada,France,Provence-Alpes-Côte d'Azur,Toulon,Le Beausset,Company,Large enterprise (250+),"Boeing Canada is the Canadian subsidiary of the global aerospace giant Boeing. It plays a significant role in manufacturing composite parts for commercial airplane models, supplying the Canadian Armed Forces with defense products and services, and providing IT solutions for the aviation industry. The company also engages in extensive community support and partnerships across Canada.","['aerospace', 'manufacturing', 'defense', 'aviation', 'composite parts', 'IT solutions', 'supply chain', 'community support', 'partnerships', 'Canada']",NACE C: Manufacturing,aerospace companies
69,mattersinmotion.com,0.0,0.0,0.8717266321,6.9801720187,0.0002,0.0002,0.0016103060000000002,0.0072992701000000005,1.5130085945,2,0,0.6015296184000001,0.5206820386000001,0.5001300608,1,silver,0.0001300607999999981,"Matters in Motion, Inc.",United States,,,,Company,Small (10-49),"Matters in Motion, Inc. is a technology consulting firm specializing in providing support, training, and custom software solutions for law firms. They focus on adapting existing software to fit business workflows or developing new tools to integrate disparate systems. Their services aim to enhance efficiency and address unique operational needs within legal practices.","['technology consulting', 'law firms', 'software development', 'custom solutions', 'workflow optimization', 'legal tech', 'software integration', 'support and training', 'Legality Software', 'business process automation']","NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities",IT consulting firms
68,acedata.com.br,0.0,0.0,0.0,18.3113225611,0.0002,0.0002,0.0002,0.0019267823,-8.2046871185,1,0,0.12090946970000001,0.1787120036,0.49986772620000003,0,silver,0.00013227379999997124,ACEDATA Software,Brazil,São Paulo,,,Company,Medium-sized (50-249),"ACEDATA Software provides comprehensive enterprise resource planning (ERP) solutions, including ACEDATA ERP, ACEDATA BI (Business Intelligence), and ACEDATA MOBILE, designed for industries of all sizes. With 25 years of experience, they focus on delivering agile, efficient, and cloud-based management systems that comply with Brazilian legislation. Their mission is to offer specialized industrial management solutions with a strong emphasis on customer service and individualized support.","['ERP', 'Business Intelligence', 'Mobile Solutions', 'Cloud Computing', 'Industrial Management', 'Software Development', 'Fiscal Compliance', 'Customer Support', 'SaaS', 'Enterprise Software']","NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities",business intelligence (BI) companies
68,afanex.com,0.0,0.0,0.0,18.228860844,0.0002,0.0002,0.0002,0.0019011407,-8.2046871185,1,0,0.12052216660000001,0.1787120036,0.49986772620000003,0,silver,0.00013227379999997124,ООО «Афанекс Консалтинг»,Russia,,,,Company,Small (10-49),"Afanex Consulting is a company specializing in the digital transformation of businesses. They offer services in business consulting, analytical solutions (data warehousing, BI, reporting), robotic process automation (RPA), business application implementation, process mining, and budgeting/planning. Their mission is to help clients leverage modern technologies to optimize processes, enter new markets, and achieve competitive advantages.","['digital transformation', 'business consulting', 'data warehousing', 'business intelligence', 'RPA', 'process mining', 'business planning', 'IT solutions', 'technology consulting', 'business process optimization']","NACE N: Professional, scientific and technical activities",business intelligence (BI) companies
51,toolhound.com,0.0,0.0,0.0,18.8778125487,0.0002,0.0002,0.0002,0.0019646365000000002,-8.2046871185,1,0,0.1335485384,0.16165172700000002,0.49986772620000003,0,silver,0.00013227379999997124,ToolHound Inc.,Canada,Alberta,St. Albert,,Company,Small (10-49),"ToolHound Inc. provides a comprehensive web-based inventory management system for tracking tools and equipment, specializing in industries like construction, utilities, mining, and oil & gas. Their solutions include software modules for purchasing, rentals, and services, alongside hardware like barcode scanners and RFID tags. ToolHound aims to help companies reduce costs, improve efficiency, and maximize revenue by providing real-time visibility and control over their assets.","['Inventory Management', 'Asset Tracking', 'Tool Management', 'Construction', 'Mining', 'Oil & Gas', 'Utilities', 'RFID', 'Barcode', 'Software Solutions']","NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities",oil and gas companies
68,ccs.co.il,0.0,0.0,0.0,18.4133200196,0.0002,0.0002,0.0002,0.0019342360000000002,-8.2046871185,1,0,0.12138993220000001,0.1787120036,0.49986772620000003,0,silver,0.00013227379999997124,CASPI CONSULTING SERVICES,Israel,,,,Company,Micro (0-9),"Caspi Consulting Services (CCS) offers professional consulting in global operations management, specializing in supply chain management, contract manufacturing, purchasing, logistics, global distribution, and import/export. With over 25 years of experience, CCS aims to optimize productivity and profitability for companies by implementing effective management tools like ERP, CRM, and BI. They focus on identifying and resolving weak links in supply chains to ensure timely product delivery.","['Supply Chain Management', 'Global Operations', 'Contract Manufacturing', 'Purchasing', 'Logistics', 'Import/Export', 'Consulting', 'ERP Implementation', 'CRM Implementation', 'Business Intelligence']","NACE N: Professional, scientific and technical activities",business intelligence (BI) companies
68,uebersetzerei.ch,0.0,0.0,0.0,18.2355965204,0.0002,0.0002,0.0002,0.0019047619000000001,-8.2046871185,1,0,0.1205537673,0.1787120036,0.49986772620000003,0,silver,0.00013227379999997124,übersetzerei,Switzerland,Aargau,Schinznach Bad,,Company,Micro (0-9),"Übersetzerei offers professional translation services in multiple languages, specializing in business, finance, technical documentation, legal texts, and web content. They also provide Business Intelligence (BI) services including reporting, budgeting, planning, and active analysis. The company emphasizes accuracy, consistent terminology, and direct client contact to ensure successful collaborations.","['translation services', 'business intelligence', 'financial services', 'technical translation', 'legal translation', 'website translation', 'reporting', 'budgeting', 'planning', 'language services']","NACE N: Professional, scientific and technical activities",business intelligence (BI) companies
