method,query_id,query,k,precision,recall,ndcg
Llama,1,software companies,10,0.0,0.0,0.0
Llama,1,software companies,50,0.06,0.03,0.050172342734137586
Llama,1,software companies,100,0.03,0.03,0.030904992465698264
Llama,1,software companies,1000,0.024,0.24,0.14681630166331522
Llama,2,healthcare providers,10,0.3,0.03,0.25469837558210445
Llama,2,healthcare providers,50,0.22,0.11,0.2163637610427318
Llama,2,healthcare providers,100,0.16,0.16,0.17089602537003162
Llama,2,healthcare providers,1000,0.078,0.78,0.5214760993472786
Llama,3,AI startups in Berlin,10,0.6,0.06,0.6870165078530993
Llama,3,AI startups in Berlin,50,0.2,0.1,0.30404452205257215
Llama,3,AI startups in Berlin,100,0.1,0.1,0.18728433139077114
Llama,3,AI startups in Berlin,1000,0.01,0.1,0.18728433139077114
Llama,4,renewable energy companies in Germany,10,0.0,0.0,0.0
Llama,4,renewable energy companies in Germany,50,0.18,0.09,0.14028457986817414
Llama,4,renewable energy companies in Germany,100,0.19,0.19,0.16367465045356722
Llama,4,renewable energy companies in Germany,1000,0.091,0.91,0.5631249170772565
Llama,5,companies providing cloud migration services,10,0.2,0.02,0.22400556151517553
Llama,5,companies providing cloud migration services,50,0.24,0.12,0.23301169535219363
Llama,5,companies providing cloud migration services,100,0.21,0.21,0.21059431325101435
Llama,5,companies providing cloud migration services,1000,0.095,0.95,0.6478744344211249
Llama,6,B2B SaaS platforms,10,0.2,0.02,0.23365080824310533
Llama,6,B2B SaaS platforms,50,0.16,0.08,0.18778512193000035
Llama,6,B2B SaaS platforms,100,0.14,0.14,0.16092378353700776
Llama,6,B2B SaaS platforms,1000,0.059,0.59,0.41746598972462656
Llama,7,machine learning companies,10,0.7,0.07,0.7479350596733328
Llama,7,machine learning companies,50,0.5,0.25,0.5542079981521093
Llama,7,machine learning companies,100,0.4,0.4,0.45675897072175753
Llama,7,machine learning companies,1000,0.096,0.96,0.7837045521701391
Llama,8,IoT solution providers,10,0.3,0.03,0.22119341301481266
Llama,8,IoT solution providers,50,0.18,0.09,0.1882937559062049
Llama,8,IoT solution providers,100,0.18,0.18,0.18491744681816916
Llama,8,IoT solution providers,1000,0.084,0.84,0.549722760145974
Llama,9,enterprise software vendors,10,0.4,0.04,0.30052609691860804
Llama,9,enterprise software vendors,50,0.54,0.27,0.4800658566886095
Llama,9,enterprise software vendors,100,0.33,0.33,0.343276848031378
Llama,9,enterprise software vendors,1000,0.071,0.71,0.56498550224937
Llama,10,small consulting firms,10,0.0,0.0,0.0
Llama,10,small consulting firms,50,0.0,0.0,0.0
Llama,10,small consulting firms,100,0.0,0.0,0.0
Llama,10,small consulting firms,1000,0.0,0.0,0.0
Llama,11,tech companies in Munich,10,0.1,0.01,0.11004588314904008
Llama,11,tech companies in Munich,50,0.16,0.08,0.15426517329669392
Llama,11,tech companies in Munich,100,0.14,0.14,0.14171835902933896
Llama,11,tech companies in Munich,1000,0.084,0.84,0.5407077463101558
Llama,12,manufacturing in Baden-Württemberg,10,0.1,0.01,0.22009176629808017
Llama,12,manufacturing in Baden-Württemberg,50,0.16,0.08,0.19336196538299075
Llama,12,manufacturing in Baden-Württemberg,100,0.18,0.18,0.19786647879693872
Llama,12,manufacturing in Baden-Württemberg,1000,0.085,0.85,0.5824004099736115
Llama,13,e-commerce platforms,10,0.1,0.01,0.06362078819895171
Llama,13,e-commerce platforms,50,0.04,0.02,0.03670053259810987
Llama,13,e-commerce platforms,100,0.02,0.02,0.022606671756229588
Llama,13,e-commerce platforms,1000,0.058,0.58,0.30567339252945835
Llama,14,pharmaceutical companies,10,0.3,0.03,0.2618080742270754
Llama,14,pharmaceutical companies,50,0.16,0.08,0.17274953920700234
Llama,14,pharmaceutical companies,100,0.17,0.17,0.17402071502341573
Llama,14,pharmaceutical companies,1000,0.089,0.89,0.57226133640702
Llama,15,logistics companies in the US,10,0.2,0.02,0.1584091525685025
Llama,15,logistics companies in the US,50,0.22,0.11,0.20521262742438232
Llama,15,logistics companies in the US,100,0.17,0.17,0.1737067600014788
Llama,15,logistics companies in the US,1000,0.063,0.63,0.43535804063782296
Llama,16,data analytics companies,10,0.0,0.0,0.0
Llama,16,data analytics companies,50,0.12,0.06,0.09525733342897769
Llama,16,data analytics companies,100,0.12,0.12,0.10486941339621374
Llama,16,data analytics companies,1000,0.084,0.84,0.5201260182229327
Llama,17,cybersecurity firms,10,0.2,0.02,0.1635413866202963
Llama,17,cybersecurity firms,50,0.12,0.06,0.12435613918890048
Llama,17,cybersecurity firms,100,0.11,0.11,0.11371787051084087
Llama,17,cybersecurity firms,1000,0.048,0.48,0.323577220688121
Llama,18,financial services companies,10,0.2,0.02,0.14279514403613733
Llama,18,financial services companies,50,0.2,0.1,0.19355775064613792
Llama,18,financial services companies,100,0.15,0.15,0.1574667062296614
Llama,18,financial services companies,1000,0.074,0.74,0.4882596966709879
Llama,19,retail chains in Europe,10,0.4,0.04,0.2980272981222516
Llama,19,retail chains in Europe,50,0.4,0.2,0.3625336614254987
Llama,19,retail chains in Europe,100,0.24,0.24,0.2530289829939867
Llama,19,retail chains in Europe,1000,0.087,0.87,0.6192715394844456
Llama,20,construction companies,10,0.0,0.0,0.0
Llama,20,construction companies,50,0.0,0.0,0.0
Llama,20,construction companies,100,0.0,0.0,0.0
Llama,20,construction companies,1000,0.0,0.0,0.0
Llama,21,marketing agencies,10,0.1,0.01,0.07336392209936005
Llama,21,marketing agencies,50,0.04,0.02,0.04378378429344628
Llama,21,marketing agencies,100,0.07,0.07,0.06626622450036296
Llama,21,marketing agencies,1000,0.054,0.54,0.3202359708827876
Llama,22,human resources software,10,0.1,0.01,0.06625422345438903
Llama,22,human resources software,50,0.14,0.07,0.12339183116298233
Llama,22,human resources software,100,0.16,0.16,0.14569626752100406
Llama,22,human resources software,1000,0.091,0.91,0.5808981661599792
Llama,23,supply chain management companies,10,0.1,0.01,0.07839826897867533
Llama,23,supply chain management companies,50,0.16,0.08,0.14916889699520142
Llama,23,supply chain management companies,100,0.12,0.12,0.12127049182434123
Llama,23,supply chain management companies,1000,0.081,0.81,0.5015432029296029
Llama,24,solar panel manufacturers,10,0.4,0.04,0.32542886242602714
Llama,24,solar panel manufacturers,50,0.36,0.18,0.34347130133551795
Llama,24,solar panel manufacturers,100,0.31,0.31,0.3124221551290231
Llama,24,solar panel manufacturers,1000,0.071,0.71,0.5633089974793968
Llama,25,agricultural technology companies,10,0.0,0.0,0.0
Llama,25,agricultural technology companies,50,0.06,0.03,0.04587655039375771
