method,query_id,query,k,precision,recall,ndcg
Ministral,1,software companies,10,0.0,0.0,0.0
Ministral,1,software companies,50,0.06,0.03,0.050172342734137586
Ministral,1,software companies,100,0.03,0.03,0.030904992465698264
Ministral,1,software companies,1000,0.022,0.22,0.1366614344657753
Ministral,2,healthcare providers,10,0.3,0.03,0.25469837558210445
Ministral,2,healthcare providers,50,0.22,0.11,0.2163637610427318
Ministral,2,healthcare providers,100,0.16,0.16,0.17089602537003162
Ministral,2,healthcare providers,1000,0.078,0.78,0.5214760993472786
Ministral,3,AI startups in Berlin,10,0.6,0.06,0.6936634693435663
Ministral,3,AI startups in Berlin,50,0.32,0.16,0.41095212843307527
Ministral,3,AI startups in Berlin,100,0.28,0.28,0.3446101538039329
Ministral,3,AI startups in Berlin,1000,0.079,0.79,0.6315205224098549
Ministral,4,renewable energy companies in Germany,10,0.1,0.01,0.13886244387355454
Ministral,4,renewable energy companies in Germany,50,0.2,0.1,0.18765035751579112
Ministral,4,renewable energy companies in Germany,100,0.21,0.21,0.19950239065423342
Ministral,4,renewable energy companies in Germany,1000,0.093,0.93,0.597527848289587
Ministral,5,companies providing cloud migration services,10,0.2,0.02,0.22400556151517553
Ministral,5,companies providing cloud migration services,50,0.24,0.12,0.23301169535219363
Ministral,5,companies providing cloud migration services,100,0.21,0.21,0.21059431325101435
Ministral,5,companies providing cloud migration services,1000,0.095,0.95,0.6478744344211249
Ministral,6,B2B SaaS platforms,10,0.2,0.02,0.23365080824310533
Ministral,6,B2B SaaS platforms,50,0.16,0.08,0.18508139020105327
Ministral,6,B2B SaaS platforms,100,0.12,0.12,0.14405034907685293
Ministral,6,B2B SaaS platforms,1000,0.054,0.54,0.3843295660899321
Ministral,7,machine learning companies,10,0.7,0.07,0.7479350596733328
Ministral,7,machine learning companies,50,0.48,0.24,0.5376303651987158
Ministral,7,machine learning companies,100,0.4,0.4,0.45425520193394375
Ministral,7,machine learning companies,1000,0.091,0.91,0.7541083203187962
Ministral,8,IoT solution providers,10,0.3,0.03,0.22119341301481266
Ministral,8,IoT solution providers,50,0.18,0.09,0.18683239256114298
Ministral,8,IoT solution providers,100,0.18,0.18,0.18370708310092834
Ministral,8,IoT solution providers,1000,0.082,0.82,0.5379655810860465
Ministral,9,enterprise software vendors,10,0.4,0.04,0.30052609691860804
Ministral,9,enterprise software vendors,50,0.52,0.26,0.46617418128570937
Ministral,9,enterprise software vendors,100,0.33,0.33,0.3428881765991087
Ministral,9,enterprise software vendors,1000,0.07,0.7,0.5585216421613597
Ministral,10,small consulting firms,10,0.3,0.03,0.29025978496956456
Ministral,10,small consulting firms,50,0.18,0.09,0.20363006270401862
Ministral,10,small consulting firms,100,0.13,0.13,0.15770572433899505
Ministral,10,small consulting firms,1000,0.054,0.54,0.3865019264120792
Ministral,11,tech companies in Munich,10,0.1,0.01,0.11004588314904008
Ministral,11,tech companies in Munich,50,0.16,0.08,0.15426517329669392
Ministral,11,tech companies in Munich,100,0.14,0.14,0.14171835902933896
Ministral,11,tech companies in Munich,1000,0.084,0.84,0.5407077463101558
Ministral,12,manufacturing in Baden-Württemberg,10,0.1,0.01,0.22009176629808017
Ministral,12,manufacturing in Baden-Württemberg,50,0.16,0.08,0.19336196538299075
Ministral,12,manufacturing in Baden-Württemberg,100,0.18,0.18,0.19786647879693872
Ministral,12,manufacturing in Baden-Württemberg,1000,0.085,0.85,0.5824004099736115
Ministral,13,e-commerce platforms,10,0.1,0.01,0.06362078819895171
Ministral,13,e-commerce platforms,50,0.04,0.02,0.03670053259810987
Ministral,13,e-commerce platforms,100,0.02,0.02,0.022606671756229588
Ministral,13,e-commerce platforms,1000,0.057,0.57,0.30041377153993337
Ministral,14,pharmaceutical companies,10,0.3,0.03,0.2618080742270754
Ministral,14,pharmaceutical companies,50,0.16,0.08,0.1726627346297211
