query_id,query,llm_extract_ms,filter_apply_ms,emb_slice_ms,index_build_ms,encode_ms,search_ms,total_online_ms,corpus_size,fallback_used
1,software companies,937.7,2560.6,31.9,17.5,273.2,3.7,2854.9,12449,False
2,healthcare providers,987.4,3047.9,239.8,145.9,16.8,27.1,3237.8,98716,True
3,AI startups in Berlin,1186.3,2818.1,1.4,0.9,17.4,0.1,2836.5,80,False
4,renewable energy companies in Germany,594.5,2857.9,2.1,0.6,17.1,0.3,2875.9,1002,False
5,companies providing cloud migration services,850.5,2477.2,239.6,145.3,16.8,27.2,2666.5,98716,True
6,B2B SaaS platforms,1116.6,3207.1,10.2,7.2,17.2,1.0,3232.4,3772,False
7,machine learning companies,941.9,2879.7,2.3,0.7,16.9,0.3,2897.7,1028,False
8,IoT solution providers,986.5,2807.8,79.9,47.5,17.4,9.0,2881.7,32228,False
9,enterprise software vendors,884.0,3238.6,33.9,20.5,17.1,3.8,3280.1,13324,False
10,small consulting firms,991.5,2571.2,0.9,0.4,16.9,0.1,2588.6,153,False
11,tech companies in Munich,954.2,2979.9,239.5,145.4,16.8,27.2,3169.2,98716,True
12,manufacturing in Baden-Württemberg,4150.5,2.5,240.4,146.8,16.7,27.2,193.3,98716,True
13,e-commerce platforms,751.5,2652.9,23.0,14.0,16.6,2.6,2686.0,8660,False
14,pharmaceutical companies,776.5,2846.4,4.9,1.9,16.7,0.5,2865.6,1978,False
15,logistics companies in the US,523.3,2560.8,5.4,2.3,16.8,0.7,2580.5,2354,False
16,data analytics companies,876.2,2843.4,2.9,1.8,16.8,0.5,2862.6,1931,False
17,cybersecurity firms,948.0,2528.0,5.5,2.7,16.7,0.7,2548.1,2875,False
18,financial services companies,950.2,2484.0,9.0,6.3,16.9,1.0,2508.2,4487,False
19,retail chains in Europe,1080.5,3050.5,239.3,146.1,16.3,27.2,3240.0,98716,True
20,construction companies,945.9,2912.1,1.6,1.1,16.5,0.1,2929.8,421,False
21,marketing agencies,803.5,2640.5,29.7,16.7,16.7,3.4,2677.4,11775,False
22,human resources software,1062.3,3117.5,31.6,19.2,16.4,3.6,3156.7,12481,False
23,supply chain management companies,966.6,2479.9,3.0,1.8,16.7,0.5,2498.8,1662,False
24,solar panel manufacturers,1077.2,3089.0,0.6,0.2,16.5,0.2,3105.9,439,False
25,agricultural technology companies,1033.4,2522.0,0.3,0.1,16.5,0.1,2538.6,185,False
26,electric vehicle manufacturers,1015.3,3051.0,7.1,3.7,17.6,1.0,3073.3,3681,False
27,biotech companies,716.1,2470.2,3.0,0.8,16.5,0.3,2487.8,1156,False
28,digital transformation consultants,972.7,3018.0,4.7,3.1,18.0,0.8,3039.9,3213,False
29,cloud computing providers,1072.5,2717.2,4.1,1.9,17.1,0.5,2736.7,2082,False
30,mobile app development companies,944.6,2511.5,1.0,0.4,16.6,0.2,2528.7,741,False
31,web design agencies,932.1,2976.7,6.0,4.7,16.9,0.7,2999.0,2822,False
32,SEO companies,817.7,2857.2,6.7,2.8,16.5,0.8,2877.2,2849,False
33,social media marketing agencies,1000.1,2857.3,2.3,0.2,16.7,0.2,2874.3,401,False
34,venture capital firms,905.9,2845.7,3.1,1.6,16.4,0.5,2864.2,1804,False
35,private equity firms,415.9,2488.8,4.5,1.4,16.6,0.5,2507.3,1590,False
36,investment banks,927.9,2892.3,239.4,145.3,17.1,27.1,3081.8,98716,True
37,insurance companies,925.9,2485.9,5.1,3.5,16.5,0.7,2506.6,2864,False
38,real estate developers,641.1,2690.6,0.9,0.4,17.2,0.2,2708.3,659,False
39,property management companies,668.9,2808.1,3.1,1.7,16.5,0.5,2826.9,2130,False
40,hospital management companies,670.1,2916.9,238.8,145.1,16.3,27.1,3105.5,98716,True
41,medical device manufacturers,1007.3,2703.7,2.2,1.5,16.7,0.3,2722.3,961,False
42,telecommunications companies,760.6,2890.9,3.2,2.0,16.7,0.6,2910.2,2218,False
43,internet service providers,726.8,2518.8,1.0,0.7,16.8,0.2,2536.4,710,False
44,manufacturing automation companies,1025.8,3047.0,21.4,11.5,16.4,2.5,3077.4,8391,False
45,robotics companies,984.6,2478.7,2.5,1.6,17.3,0.5,2498.1,1597,False
46,3D printing companies,979.6,2858.4,1.4,0.6,16.7,0.3,2876.0,1046,False
47,packaging companies,941.2,2472.1,2.8,1.7,17.3,0.5,2491.6,1920,False
48,food processing companies,428.4,2895.3,1.1,0.4,16.7,0.3,2912.8,827,False
49,beverage companies,423.6,2484.1,1.9,1.1,16.4,0.4,2502.0,1268,False
50,mining companies,419.8,2512.8,239.8,145.3,16.6,27.2,2701.9,98716,True
51,oil and gas companies,437.2,3006.7,1.2,1.1,16.7,0.1,3024.6,271,False
52,energy storage companies,417.7,2839.1,3.1,1.0,16.4,0.4,2856.9,1246,False
53,waste management companies,422.2,2479.2,1.9,0.8,16.8,0.4,2497.1,1154,False
54,water treatment companies,1271.0,1.4,239.1,145.2,16.3,27.2,190.1,98716,True
55,aerospace companies,1002.6,2.3,239.7,146.6,17.0,27.2,193.1,98716,True
56,defense contractors,1002.6,2.2,240.8,146.8,16.6,27.2,192.8,98716,True
57,transportation companies,1002.6,2.2,239.6,146.6,17.1,27.3,193.2,98716,True
58,shipping companies,1003.0,2.2,242.2,146.8,16.5,27.2,192.6,98716,True
59,trucking companies,1002.5,2.8,239.7,146.6,17.4,27.2,194.0,98716,True
60,freight forwarding companies,1003.0,2.2,240.1,146.7,16.3,27.2,192.5,98716,True
61,warehousing companies,1002.7,2.4,239.5,146.7,17.0,27.3,193.4,98716,True
62,cold storage companies,1004.0,2.2,240.0,146.8,16.3,27.2,192.5,98716,True
63,retail technology companies,1002.7,2.2,239.5,146.7,17.0,27.2,193.0,98716,True
64,point of sale systems providers,1003.5,2.3,240.6,146.7,16.4,27.2,192.6,98716,True
65,inventory management software,1003.1,2.4,241.2,146.6,17.0,27.2,193.2,98716,True
66,customer relationship management (CRM) software,1002.6,2.2,243.2,146.7,16.8,27.2,192.9,98716,True
67,enterprise resource planning (ERP) systems,1002.0,2.3,240.2,146.7,17.5,27.2,193.6,98716,True
68,business intelligence (BI) companies,1002.3,2.4,241.1,146.7,16.5,27.1,192.7,98716,True
69,IT consulting firms,1002.0,2.2,240.4,146.6,17.1,27.2,193.1,98716,True
70,cybersecurity solutions providers,1003.2,2.3,241.0,146.7,16.9,27.2,193.0,98716,True
71,cloud security providers,1002.0,2.3,240.3,146.5,17.0,27.3,193.1,98716,True
72,managed service providers (MSPs),1002.3,2.3,243.8,146.8,17.8,27.2,194.0,98716,True
73,remote monitoring and management (RMM) software,1002.2,2.2,240.6,146.7,17.9,27.2,194.0,98716,True
74,data center providers,1002.0,2.3,241.0,146.8,16.4,27.2,192.7,98716,True
75,web hosting companies,1002.2,2.3,240.4,146.6,17.0,27.2,193.1,98716,True
76,domain name registrars,1002.0,2.2,241.1,146.8,16.4,27.2,192.6,98716,True
77,content management systems (CMS),1002.3,2.3,240.4,146.6,17.1,27.2,193.2,98716,True
78,e-learning platforms,1002.0,2.4,240.9,146.7,16.7,27.1,192.9,98716,True
79,online marketing agencies,1002.3,2.2,240.3,146.6,17.4,27.2,193.4,98716,True
80,lead generation companies,1002.0,2.3,240.9,146.7,16.3,27.2,192.4,98716,True
81,market research firms,1002.2,2.3,240.4,146.6,16.9,27.2,193.1,98716,True
82,public relations agencies,1002.0,2.3,240.7,146.7,16.6,27.2,192.8,98716,True
83,graphic design studios,1002.2,2.3,240.4,146.7,17.0,27.2,193.2,98716,True
84,video production companies,1002.0,2.3,241.1,146.7,16.3,27.3,192.5,98716,True
85,translation services,1002.3,2.3,240.5,146.6,17.0,27.2,193.2,98716,True
86,legal technology companies,1002.0,2.3,240.7,150.5,16.5,27.2,196.5,98716,True
87,accounting software providers,1002.3,2.3,240.4,146.6,17.3,27.1,193.4,98716,True
88,tax preparation services,1002.0,2.3,240.9,146.7,16.3,27.1,192.4,98716,True
89,payroll processing companies,1002.2,2.3,240.4,146.6,17.0,27.2,193.1,98716,True
90,financial planning services,1002.0,2.3,240.8,146.7,16.4,27.2,192.5,98716,True
91,investment management firms,1002.2,2.3,240.4,146.6,17.0,27.3,193.2,98716,True
92,wealth management firms,1002.0,2.3,240.8,146.7,16.3,27.3,192.6,98716,True
93,commercial real estate brokers,1002.4,2.3,240.4,146.7,17.2,27.2,193.5,98716,True
94,residential real estate brokers,1002.0,2.3,241.0,146.9,16.4,27.3,192.9,98716,True
95,construction equipment manufacturers,1002.2,2.3,240.4,146.6,17.0,27.2,193.1,98716,True
96,building materials suppliers,1002.0,2.3,241.0,146.7,16.3,27.2,192.6,98716,True
97,renewable energy project developers,1002.3,2.3,240.5,146.6,17.3,27.2,193.4,98716,True
98,sustainable agriculture companies,1002.0,2.3,241.0,146.7,16.7,27.2,193.0,98716,True
99,vertical farming companies,1002.2,2.3,240.4,146.6,17.0,27.2,193.1,98716,True
100,precision agriculture technology providers,1002.0,2.3,241.1,149.7,16.8,27.2,196.0,98716,True
101,alternative protein manufacturers,1002.3,2.3,240.3,146.6,17.4,27.2,193.5,98716,True
