query_id,query,llm_extract_ms,filter_apply_ms,emb_slice_ms,index_build_ms,encode_ms,search_ms,total_online_ms,corpus_size,fallback_used
1,software companies,1002.0,1.3,246.8,148.2,16.6,28.1,194.2,98716,True
2,healthcare providers,1002.2,2.3,247.6,149.5,16.5,28.1,196.4,98716,True
3,AI startups in Berlin,1002.0,2.2,248.2,149.6,17.5,28.1,197.5,98716,True
4,renewable energy companies in Germany,1002.2,2.3,247.6,149.6,16.6,28.1,196.5,98716,True
5,companies providing cloud migration services,1002.0,2.2,248.2,149.5,17.4,28.2,197.4,98716,True
6,B2B SaaS platforms,1002.2,2.2,247.7,149.5,16.6,28.2,196.5,98716,True
7,machine learning companies,1002.0,2.2,248.1,149.6,17.7,28.1,197.6,98716,True
8,IoT solution providers,1002.3,2.2,247.7,149.5,16.7,28.1,196.6,98716,True
9,enterprise software vendors,1002.0,2.3,248.1,149.6,17.3,28.2,197.3,98716,True
10,small consulting firms,1002.2,2.3,251.5,149.7,17.5,28.2,197.7,98716,True
11,tech companies in Munich,1002.0,2.2,248.2,149.5,17.3,28.1,197.2,98716,True
12,manufacturing in Baden-Württemberg,1002.2,2.2,247.6,149.6,16.6,28.2,196.6,98716,True
13,e-commerce platforms,1002.0,2.3,248.0,149.7,17.4,28.1,197.4,98716,True
14,pharmaceutical companies,1002.2,2.2,247.6,149.5,16.5,28.1,196.3,98716,True
15,logistics companies in the US,1003.3,2.2,248.1,149.7,17.5,28.2,197.5,98716,True
16,data analytics companies,1002.3,2.2,248.0,149.8,16.6,28.2,196.8,98716,True
17,cybersecurity firms,1002.0,2.2,248.1,149.6,17.4,28.1,197.3,98716,True
18,financial services companies,1002.3,2.2,247.6,149.5,16.9,28.2,196.9,98716,True
19,retail chains in Europe,1002.3,2.2,248.1,149.5,17.3,28.2,197.3,98716,True
20,construction companies,1002.0,2.2,247.6,149.5,16.9,28.2,196.8,98716,True
21,marketing agencies,1002.2,2.2,248.2,149.7,17.3,28.2,197.4,98716,True
22,human resources software,1002.0,2.2,247.7,149.5,16.7,28.2,196.6,98716,True
23,supply chain management companies,1002.3,2.2,248.1,149.6,17.3,28.2,197.4,98716,True
24,solar panel manufacturers,1002.0,2.2,248.5,149.6,17.3,28.1,197.2,98716,True
25,agricultural technology companies,1002.3,2.3,248.1,149.6,17.3,28.2,197.5,98716,True
26,electric vehicle manufacturers,1002.0,2.2,247.7,149.6,16.4,28.1,196.4,98716,True
27,biotech companies,1002.3,2.2,248.1,149.5,17.3,28.2,197.2,98716,True
28,digital transformation consultants,1002.0,2.2,247.7,149.6,16.5,28.2,196.5,98716,True
29,cloud computing providers,1002.2,2.2,248.1,149.6,17.6,28.2,197.7,98716,True
30,mobile app development companies,1002.0,2.2,248.0,149.6,16.6,28.1,196.6,98716,True
31,web design agencies,1002.2,2.2,248.2,149.7,17.3,28.2,197.4,98716,True
32,SEO companies,1002.0,2.2,247.6,149.5,16.5,28.1,196.4,98716,True
33,social media marketing agencies,1002.3,2.2,248.2,149.5,17.3,28.2,197.3,98716,True
34,venture capital firms,1002.0,2.2,247.7,149.5,16.5,28.1,196.3,98716,True
35,private equity firms,1002.2,2.2,248.2,149.5,17.3,28.2,197.2,98716,True
36,investment banks,1002.0,2.2,247.6,149.5,16.4,28.2,196.3,98716,True
37,insurance companies,1002.2,2.2,248.2,154.6,18.8,28.2,203.7,98716,True
38,real estate developers,1002.0,2.2,247.7,149.5,16.5,28.2,196.4,98716,True
39,property management companies,1002.3,2.2,248.2,149.5,17.3,28.2,197.2,98716,True
40,hospital management companies,1002.0,2.2,247.6,149.6,16.8,28.1,196.7,98716,True
41,medical device manufacturers,1002.3,2.2,248.2,149.5,17.3,28.1,197.2,98716,True
42,telecommunications companies,1002.0,2.2,247.6,149.5,16.4,28.2,196.4,98716,True
43,internet service providers,1002.2,2.2,248.0,149.5,17.3,28.2,197.2,98716,True
44,manufacturing automation companies,1002.0,2.2,247.6,149.4,16.4,28.2,196.3,98716,True
45,robotics companies,1002.2,2.2,248.0,149.6,17.2,28.2,197.2,98716,True
