prob_bin,n,mean_predicted,actual_relevant_rate,gap
"(-0.001, 0.1]",50,0.07027910229431332,0.22,-0.1497208977056867
"(0.1, 0.2]",161,0.14917312929210766,0.36024844720496896,-0.2110753179128613
"(0.2, 0.3]",230,0.2525607073654762,0.5391304347826087,-0.2865697274171325
"(0.3, 0.4]",314,0.3517970999616271,0.589171974522293,-0.23737487456066586
"(0.4, 0.5]",266,0.44593602796108867,0.5451127819548872,-0.09917675399379855
"(0.5, 0.6]",203,0.552663823859778,0.6748768472906403,-0.12221302343086238
"(0.6, 0.7]",212,0.6470918510986527,0.7075471698113207,-0.06045531871266796
"(0.7, 0.8]",187,0.7497065966967484,0.6951871657754011,0.05451943092134737
"(0.8, 0.9]",238,0.8561363999917337,0.8151260504201681,0.041010349571565685
"(0.9, 1.0]",406,0.9600503309035769,0.8990147783251231,0.06103555257845383
