query_id,query,rank_band,n_gold_verified,pct_highly_relevant,pct_at_least_partial
1,software companies,1-100,9,100.0,100.0
1,software companies,101-300,12,100.0,100.0
1,software companies,301-500,9,100.0,100.0
1,software companies,501-700,11,100.0,100.0
1,software companies,701-1000,58,55.2,100.0
92,wealth management firms,1-100,0,,
92,wealth management firms,101-300,0,,
92,wealth management firms,301-500,0,,
92,wealth management firms,501-700,0,,
92,wealth management firms,701-1000,70,90.0,100.0
