tier,query_id,n_companies,index_build_s,query_latency_ms,method
100k,1,100000,3.4444329739,159.3131590635,bm25
100k,2,100000,3.4444329739,141.7240041774,bm25
100k,3,100000,3.4444329739,179.8795601353,bm25
100k,4,100000,3.4444329739,209.9390989169,bm25
100k,5,100000,3.4444329739,213.9792859089,bm25
100k,11,100000,3.4444329739,185.8989689499,bm25
100k,12,100000,3.4444329739,162.0680121705,bm25
100k,15,100000,3.4444329739,235.8008660376,bm25
100k,34,100000,3.4444329739,145.5759480596,bm25
100k,14,100000,3.4444329739,93.8516748138,bm25
100k,27,100000,3.4444329739,104.1624371428,bm25
100k,66,100000,3.4444329739,301.6205560416,bm25
100k,72,100000,3.4444329739,272.2089558374,bm25
100k,99,100000,3.4444329739,182.1496379562,bm25
100k,101,100000,3.4444329739,177.6425410062,bm25
100k,56,100000,3.4444329739,101.8744618632,bm25
100k,82,100000,3.4444329739,127.7793229092,bm25
100k,91,100000,3.4444329739,127.5077571627,bm25
100k,92,100000,3.4444329739,146.549626952,bm25
200k,1,200000,8.3094244003,352.6666250546,bm25
200k,2,200000,8.3094244003,283.8904689997,bm25
200k,3,200000,8.3094244003,341.015266953,bm25
200k,4,200000,8.3094244003,440.62278606,bm25
200k,5,200000,8.3094244003,454.8189428169,bm25
200k,11,200000,8.3094244003,347.3766678944,bm25
200k,12,200000,8.3094244003,288.4870190173,bm25
200k,15,200000,8.3094244003,536.5028069355,bm25
200k,34,200000,8.3094244003,346.8429290224,bm25
200k,14,200000,8.3094244003,292.8931040224,bm25
200k,27,200000,8.3094244003,235.1189348847,bm25
200k,66,200000,8.3094244003,609.1841058806,bm25
200k,72,200000,8.3094244003,495.6927578896,bm25
200k,99,200000,8.3094244003,322.8340449277,bm25
200k,101,200000,8.3094244003,280.0409989432,bm25
200k,56,200000,8.3094244003,186.2677410245,bm25
200k,82,200000,8.3094244003,257.9843269195,bm25
200k,91,200000,8.3094244003,286.6504411213,bm25
200k,92,200000,8.3094244003,289.4825688563,bm25
300k,1,300000,12.9257214069,516.7158821132,bm25
300k,2,300000,12.9257214069,313.6503109708,bm25
300k,3,300000,12.9257214069,477.7597479988,bm25
300k,4,300000,12.9257214069,657.6096129138,bm25
300k,5,300000,12.9257214069,673.6202270258,bm25
300k,11,300000,12.9257214069,527.9820649885,bm25
300k,12,300000,12.9257214069,435.2661499288,bm25
300k,15,300000,12.9257214069,744.141003117,bm25
300k,34,300000,12.9257214069,438.9221009333,bm25
300k,14,300000,12.9257214069,293.9688840415,bm25
300k,27,300000,12.9257214069,302.7035968844,bm25
300k,66,300000,12.9257214069,874.03317797,bm25
300k,72,300000,12.9257214069,738.7519869953,bm25
300k,99,300000,12.9257214069,465.0008620229,bm25
