method,tier,n_companies,avg_query_latency_ms
bm25,100k,100000,172.08030921603685
bm25,200k,200000,349.9143440644
bm25,300k,300000,501.5903118336158
bm25,400k,397025,647.0866090936631
gte,100k,100000,28.33284730532844
gte,200k,200000,56.97318525543731
gte,300k,300000,85.12494149372766
gte,400k,397025,112.27223060191854
linq,100k,100000,113.78465754617201
linq,200k,200000,227.293042294485
linq,300k,300000,337.6203974414813
linq,400k,397025,455.04788782349544
minilm,100k,100000,76.70647827418227
minilm,200k,200000,153.47743090732317
minilm,300k,300000,230.54211041399915
minilm,400k,397025,305.3366387091381
