model,query_subset,k,precision,recall,ndcg
baseline (untuned),all_101_queries,10,0.00693069306930693,0.002261187576075726,0.006523600377147043
baseline (untuned),all_101_queries,50,0.006336633663366337,0.012384777273105016,0.00918317607986998
baseline (untuned),all_101_queries,100,0.005445544554455446,0.018333326501263673,0.010990514287600412
baseline (untuned),all_101_queries,300,0.005610561056105611,0.06623845022859806,0.027702786293113724
baseline (untuned),all_101_queries,500,0.0063960396039603965,0.1800102732554932,0.055721043090512457
baseline (untuned),all_101_queries,1000,0.009356435643564358,0.6593107772789917,0.16592287552056126
baseline (untuned),19_deep_queries,10,0.03684210526315789,0.011662967497653746,0.03364804405054791
baseline (untuned),19_deep_queries,50,0.03052631578947369,0.04226283616052662,0.03925504981876603
baseline (untuned),19_deep_queries,100,0.02736842105263158,0.07294482691629234,0.04857711004811246
baseline (untuned),19_deep_queries,300,0.02631578947368421,0.1833802771189343,0.10069456773039764
baseline (untuned),19_deep_queries,500,0.026842105263157896,0.32471464250577703,0.15647227203965247
baseline (untuned),19_deep_queries,1000,0.029578947368421055,0.6540808178116082,0.28596554610321595
tuned,all_101_queries,10,0.0039603960396039604,0.0018966515177499571,0.0029038137424562344
tuned,all_101_queries,50,0.004554455445544555,0.013782185963867065,0.007948212726749077
tuned,all_101_queries,100,0.0049504950495049506,0.022399751331227555,0.011180350555067298
tuned,all_101_queries,300,0.0068646864686468636,0.11368661399582376,0.039304968184687566
tuned,all_101_queries,500,0.007722772277227724,0.24284325708956833,0.07286378734513663
tuned,all_101_queries,1000,0.009643564356435645,0.6774737897710048,0.17333154360170855
tuned,19_deep_queries,10,0.021052631578947368,0.009782728881026095,0.014977565618984787
tuned,19_deep_queries,50,0.021052631578947368,0.05078631256550982,0.03344452477576303
tuned,19_deep_queries,100,0.023684210526315794,0.07017215097660728,0.04399101229495651
tuned,19_deep_queries,300,0.028070175438596495,0.20637105665013872,0.10765743881762901
tuned,19_deep_queries,500,0.02884210526315789,0.3604546944619839,0.16843455347008748
tuned,19_deep_queries,1000,0.03042105263157895,0.6779851111496938,0.29456612081669403
