model,k,precision,recall,ndcg
finetuned_v1_mse,10,0.0895,0.0272,0.078
finetuned_v1_mse,50,0.0674,0.0889,0.0869
finetuned_v1_mse,100,0.0563,0.1317,0.098
finetuned_v1_mse,300,0.0428,0.276,0.1701
finetuned_v1_mse,500,0.0348,0.3628,0.2092
finetuned_v1_mse,1000,0.0326,0.6805,0.3342
finetuned_v2,10,0.0684,0.0242,0.0704
finetuned_v2,50,0.0547,0.0897,0.0781
finetuned_v2,100,0.0495,0.142,0.1015
finetuned_v2,300,0.0409,0.289,0.175
finetuned_v2,500,0.0398,0.4345,0.2404
finetuned_v2,1000,0.0351,0.7436,0.3625
pretrained,10,0.1211,0.0439,0.1368
pretrained,50,0.0705,0.1002,0.1101
pretrained,100,0.0563,0.134,0.1152
pretrained,300,0.0433,0.276,0.1874
pretrained,500,0.0353,0.3648,0.2271
pretrained,1000,0.0326,0.6808,0.3503
