tier,M,ef_construction,ef_search,query_id,k,query_latency_ms,index_build_s,precision,recall,ndcg
100k,16,40,10,1,10,6.9539169780910015,16.684499502182007,0.5,0.0684931506849315,0.6489315753318465
100k,16,40,10,1,50,6.9539169780910015,16.684499502182007,0.24,0.1643835616438356,0.3492915266607987
100k,16,40,10,1,100,6.9539169780910015,16.684499502182007,0.14,0.1917808219178082,0.2888447556751696
100k,16,40,10,1,300,6.9539169780910015,16.684499502182007,0.05,0.2054794520547945,0.29695742860966806
100k,16,40,10,1,500,6.9539169780910015,16.684499502182007,0.03,0.2054794520547945,0.29695742860966806
100k,16,40,10,1,1000,6.9539169780910015,16.684499502182007,0.015,0.2054794520547945,0.29695742860966806
100k,16,40,10,2,10,0.24672798463143408,16.684499502182007,0.6,0.09230769230769231,0.6399441431116327
100k,16,40,10,2,50,0.24672798463143408,16.684499502182007,0.32,0.24615384615384617,0.39605071414974996
100k,16,40,10,2,100,0.24672798463143408,16.684499502182007,0.2,0.3076923076923077,0.37466294839067976
100k,16,40,10,2,300,0.24672798463143408,16.684499502182007,0.07333333333333333,0.3384615384615385,0.3932746607683896
100k,16,40,10,2,500,0.24672798463143408,16.684499502182007,0.044,0.3384615384615385,0.3932746607683896
100k,16,40,10,2,1000,0.24672798463143408,16.684499502182007,0.022,0.3384615384615385,0.3932746607683896
100k,16,40,10,3,10,0.19730100757442415,16.684499502182007,0.2,0.2857142857142857,0.16945984979943973
100k,16,40,10,3,50,0.19730100757442415,16.684499502182007,0.12,0.8571428571428571,0.43974041857069557
100k,16,40,10,3,100,0.19730100757442415,16.684499502182007,0.06,0.8571428571428571,0.43974041857069557
100k,16,40,10,3,300,0.19730100757442415,16.684499502182007,0.02,0.8571428571428571,0.43974041857069557
100k,16,40,10,3,500,0.19730100757442415,16.684499502182007,0.012,0.8571428571428571,0.43974041857069557
100k,16,40,10,3,1000,0.19730100757442415,16.684499502182007,0.006,0.8571428571428571,0.43974041857069557
100k,16,40,10,4,10,0.1910810242407024,16.684499502182007,1.0,0.12195121951219512,1.0
100k,16,40,10,4,50,0.1910810242407024,16.684499502182007,0.38,0.23170731707317074,0.5184210946584908
100k,16,40,10,4,100,0.1910810242407024,16.684499502182007,0.3,0.36585365853658536,0.46468647182174977
100k,16,40,10,4,300,0.1910810242407024,16.684499502182007,0.13,0.47560975609756095,0.533899825880021
100k,16,40,10,4,500,0.1910810242407024,16.684499502182007,0.078,0.47560975609756095,0.533899825880021
100k,16,40,10,4,1000,0.1910810242407024,16.684499502182007,0.039,0.47560975609756095,0.533899825880021
100k,16,40,10,5,10,0.1678809931036085,16.684499502182007,1.0,0.11764705882352941,1.0
100k,16,40,10,5,50,0.1678809931036085,16.684499502182007,0.42,0.24705882352941178,0.557666190340713
100k,16,40,10,5,100,0.1678809931036085,16.684499502182007,0.27,0.3176470588235294,0.4385059872485421
100k,16,40,10,5,300,0.1678809931036085,16.684499502182007,0.09666666666666666,0.3411764705882353,0.4539075778526839
100k,16,40,10,5,500,0.1678809931036085,16.684499502182007,0.058,0.3411764705882353,0.4539075778526839
