tier,M,ef_construction,ef_search,k,recall,ndcg,query_latency_ms
100k,16,40,10,10,0.04317974548948054,0.21772838978839337,0.5383544224682019
100k,16,40,10,50,0.11423244672367483,0.1443789892698304,0.5383544224682019
100k,16,40,10,100,0.16189198533916746,0.14780607333139822,0.5383544224682019
100k,16,40,10,300,0.21390640923836324,0.17597877891398692,0.5383544224682019
100k,16,40,10,500,0.21390640923836324,0.17597877891398692,0.5383544224682019
100k,16,40,10,1000,0.21390640923836324,0.17597877891398692,0.5383544224682019
100k,16,40,50,10,0.04533308303416984,0.22813331710307586,0.3286302074373357
100k,16,40,50,50,0.12391587575662706,0.16038795183291227,0.3286302074373357
100k,16,40,50,100,0.16331794867691934,0.15532700616385287,0.3286302074373357
100k,16,40,50,300,0.2971748263224301,0.22365489511331155,0.3286302074373357
100k,16,40,50,500,0.3677881153561826,0.25543192634010414,0.3286302074373357
100k,16,40,50,1000,0.3723477600820323,0.2573151057751178,0.3286302074373357
100k,16,40,100,10,0.04533308303416984,0.22748707068289864,0.45652331410613106
100k,16,40,100,50,0.12669801240364345,0.1639175531970994,0.45652331410613106
100k,16,40,100,100,0.16173997363919976,0.15539738574665998,0.45652331410613106
100k,16,40,100,300,0.31209140952095854,0.23225371623232224,0.45652331410613106
100k,16,40,100,500,0.423156848207751,0.2800264897120226,0.45652331410613106
100k,16,40,100,1000,0.5167980119291024,0.31785408479658506,0.45652331410613106
100k,16,40,200,10,0.04533308303416984,0.22748707068289864,0.7064874195126131
100k,16,40,200,50,0.13082788478455723,0.1680571675856143,0.7064874195126131
100k,16,40,200,100,0.16117141430224483,0.1559111661626893,0.7064874195126131
100k,16,40,200,300,0.3196811469098582,0.2363390997218219,0.7064874195126131
100k,16,40,200,500,0.440309399156188,0.2881326187141731,0.7064874195126131
100k,16,40,200,1000,0.6443062198026361,0.368987869432521,0.7064874195126131
100k,16,40,500,10,0.04533308303416984,0.22748707068289864,1.1263545280886127
100k,16,40,500,50,0.13082788478455723,0.16805352604085882,1.1263545280886127
100k,16,40,500,100,0.16117141430224483,0.15595594979525518,1.1263545280886127
100k,16,40,500,300,0.3167669124757649,0.23559125041911244,1.1263545280886127
100k,16,40,500,500,0.44369977348972667,0.2901966562768549,1.1263545280886127
100k,16,40,500,1000,0.734951666605661,0.4052043014507379,1.1263545280886127
