combo_id,hidden_dims,dropout,learning_rate,weight_decay,recall_at_1000,ndcg_at_1000
19,[16],0.1,0.0001,0.001,0.844021164021164,0.23094515684017985
8,[16],0.5,0.0001,0.001,0.8597619047619048,0.19455568443148769
9,[64],0.3,0.0001,0.01,0.8366137566137566,0.19239629040764974
3,[16],0.0,0.0005,0.0001,0.7889417989417989,0.18045762875145718
0,"[128, 64, 32]",0.0,0.0001,0.001,0.7594179894179894,0.17087695194574973
7,[32],0.1,0.001,0.0,0.7448941798941799,0.16805451953473033
5,[32],0.5,0.001,0.0,0.7243915343915345,0.1667607008934334
13,[64],0.0,0.0005,0.0,0.7220634920634921,0.16486733363042105
16,"[128, 64, 32]",0.3,0.0001,0.0001,0.7462962962962963,0.1647652120006718
6,[32],0.5,0.001,0.001,0.7101322751322752,0.16028432890906685
17,"[64, 32]",0.1,0.0005,0.01,0.7084391534391534,0.15892672766886767
2,"[128, 64, 32]",0.0,0.005,0.0,0.711957671957672,0.15685195411914793
10,"[64, 32]",0.0,0.005,0.0,0.7024074074074075,0.15606331643711727
12,"[128, 64, 32]",0.0,0.0001,0.0001,0.6848677248677248,0.15539134101361515
4,"[64, 32]",0.0,0.0005,0.01,0.6920634920634919,0.1541248554411454
11,"[64, 32]",0.3,0.001,0.0001,0.6867724867724867,0.1520599328494372
1,[32],0.1,0.0005,0.0,0.6648677248677248,0.15046255992313107
18,"[32, 16]",0.3,0.0005,0.001,0.666984126984127,0.1491343987622718
15,[32],0.3,0.001,0.0001,0.6603174603174603,0.14857428920371962
14,"[32, 16]",0.3,0.005,0.001,0.6527248677248676,0.14497244358975162
