model,query_subset,k,precision,recall,ndcg
gbdt_baseline_untuned,all_101_queries,10,0.00693069306930693,0.0022611875760757253,0.006523600377147043
gbdt_baseline_untuned,all_101_queries,50,0.006336633663366337,0.012384777273105014,0.009183176079869975
gbdt_baseline_untuned,all_101_queries,100,0.005445544554455446,0.018333326501263666,0.010990514287600405
gbdt_baseline_untuned,all_101_queries,300,0.005610561056105604,0.06623845022859806,0.027702786293113717
gbdt_baseline_untuned,all_101_queries,500,0.0063960396039603965,0.1800102732554932,0.05572104309051244
gbdt_baseline_untuned,all_101_queries,1000,0.009356435643564358,0.6593107772789917,0.1659228755205612
gbdt_baseline_untuned,19_deep_queries,10,0.03684210526315789,0.011662967497653743,0.03364804405054791
gbdt_baseline_untuned,19_deep_queries,50,0.03052631578947369,0.042262836160526604,0.039255049818766014
gbdt_baseline_untuned,19_deep_queries,100,0.02736842105263158,0.0729448269162923,0.04857711004811244
gbdt_baseline_untuned,19_deep_queries,300,0.026315789473684202,0.18338027711893426,0.10069456773039762
gbdt_baseline_untuned,19_deep_queries,500,0.026842105263157896,0.32471464250577703,0.15647227203965244
gbdt_baseline_untuned,19_deep_queries,1000,0.029578947368421055,0.6540808178116082,0.28596554610321595
gbdt_tuned,all_101_queries,10,0.0039603960396039604,0.001896651517749956,0.0029038137424562327
gbdt_tuned,all_101_queries,50,0.004554455445544555,0.013782185963867065,0.007948212726749074
gbdt_tuned,all_101_queries,100,0.0049504950495049506,0.022399751331227555,0.011180350555067291
gbdt_tuned,all_101_queries,300,0.006864686468646847,0.11368661399582376,0.03930496818468755
gbdt_tuned,all_101_queries,500,0.007722772277227724,0.24284325708956833,0.0728637873451366
gbdt_tuned,all_101_queries,1000,0.009643564356435645,0.6774737897710046,0.17333154360170852
gbdt_tuned,19_deep_queries,10,0.021052631578947368,0.00978272888102609,0.014977565618984778
gbdt_tuned,19_deep_queries,50,0.021052631578947368,0.05078631256550981,0.03344452477576301
gbdt_tuned,19_deep_queries,100,0.023684210526315794,0.07017215097660727,0.04399101229495648
gbdt_tuned,19_deep_queries,300,0.02807017543859646,0.20637105665013866,0.10765743881762901
gbdt_tuned,19_deep_queries,500,0.02884210526315789,0.3604546944619839,0.16843455347008746
gbdt_tuned,19_deep_queries,1000,0.03042105263157895,0.6779851111496937,0.29456612081669403
neural_net,all_101_queries,10,0.01782178217821782,0.008264314109383301,0.01757828881436483
neural_net,all_101_queries,50,0.010297029702970298,0.026053189237279593,0.01881306790845939
neural_net,all_101_queries,100,0.009702970297029703,0.04087259934053859,0.024244769162169805
neural_net,all_101_queries,300,0.009273927392739273,0.14201870376294978,0.05538523829186938
neural_net,all_101_queries,500,0.009425742574257427,0.2669103534072086,0.08889866768234378
neural_net,all_101_queries,1000,0.011039603960396039,0.7593433148255077,0.202772101801836
neural_net,19_deep_queries,10,0.08947368421052632,0.03510766525591688,0.08631190960539123
neural_net,19_deep_queries,50,0.049473684210526316,0.08676056002586818,0.07869938879138225
neural_net,19_deep_queries,100,0.04578947368421053,0.12353586326523412,0.09375949941476759
neural_net,19_deep_queries,300,0.039473684210526314,0.2621541161507535,0.1650033312708387
neural_net,19_deep_queries,500,0.03631578947368422,0.3965994335305814,0.22193428422527042
neural_net,19_deep_queries,1000,0.03510526315789474,0.7457691108877897,0.359696175421281
