system,query_id,recall_at_1000,bpref,coverage_at_10,coverage_at_50,coverage_at_100,coverage_at_300,coverage_at_500,coverage_at_1000
production,1,0.6301369863013698,0.5910705225773714,1.0,0.44,0.23,0.09666666666666666,0.072,0.049
production,2,0.9538461538461539,0.6158808933002489,1.0,0.52,0.36,0.16333333333333333,0.134,0.089
production,3,1.0,0.06122448979591837,1.0,0.54,0.34,0.15333333333333332,0.104,0.063
production,4,0.8536585365853658,0.577663671373556,1.0,0.6,0.38,0.19666666666666666,0.138,0.086
production,5,0.9764705882352941,0.8420168067226871,1.0,0.5,0.33,0.16333333333333333,0.128,0.085
production,6,0.75,0.0,0.0,0.0,0.0,0.0,0.006,0.008
production,7,0.5,0.5,0.0,0.0,0.01,0.006666666666666667,0.006,0.003
production,8,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.002
production,9,0.625,0.4375,0.0,0.0,0.02,0.006666666666666667,0.006,0.006
production,10,0.5,0.5,0.0,0.02,0.01,0.0033333333333333335,0.004,0.004
production,11,0.7878787878787878,0.5500459136822774,0.1,0.02,0.05,0.06333333333333334,0.062,0.047
production,12,0.6923076923076923,0.03550295857988165,0.0,0.02,0.02,0.06666666666666667,0.05,0.034
production,13,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0033333333333333335,0.004,0.002
production,14,0.717391304347826,0.6331521739130437,0.2,0.06,0.05,0.05,0.044,0.039
production,15,0.3157894736842105,0.28042763157894735,0.0,0.06,0.03,0.023333333333333334,0.026,0.024
production,16,0.8,0.8,0.0,0.02,0.01,0.006666666666666667,0.006,0.008
production,17,0.4,0.4,0.0,0.0,0.0,0.0033333333333333335,0.006,0.004
production,18,0.4444444444444444,0.2222222222222222,0.0,0.0,0.0,0.0033333333333333335,0.002,0.005
production,19,0.8571428571428571,0.6190476190476192,0.0,0.02,0.01,0.0033333333333333335,0.002,0.007
production,20,0.5,0.5,0.0,0.0,0.0,0.0033333333333333335,0.004,0.002
production,21,0.7,0.7,0.0,0.02,0.02,0.01,0.006,0.007
production,22,0.75,0.3125,0.0,0.0,0.0,0.0033333333333333335,0.002,0.008
production,23,0.75,0.75,0.0,0.0,0.0,0.0033333333333333335,0.004,0.006
production,24,1.0,0.0,0.0,0.0,0.0,0.01,0.014,0.009
production,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
production,26,1.0,0.5,0.0,0.0,0.0,0.0033333333333333335,0.002,0.006
production,27,0.8484848484848485,0.4747474747474749,0.0,0.02,0.04,0.04666666666666667,0.048,0.053
production,28,0.9,0.9,0.0,0.0,0.01,0.0033333333333333335,0.008,0.009
production,29,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.002
production,30,0.9,0.9,0.0,0.0,0.0,0.0033333333333333335,0.004,0.009
production,31,0.5555555555555556,0.5555555555555556,0.0,0.0,0.0,0.0,0.002,0.005
production,32,0.8,0.8,0.0,0.0,0.01,0.006666666666666667,0.006,0.008
production,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
production,34,0.8,0.8,0.1,0.02,0.03,0.03333333333333333,0.032,0.028
production,35,0.9,0.9,0.0,0.02,0.01,0.01,0.01,0.009
production,36,1.0,1.0,0.0,0.0,0.0,0.006666666666666667,0.006,0.005
production,37,1.0,1.0,0.0,0.02,0.03,0.016666666666666666,0.016,0.01
production,38,0.25,0.25,0.0,0.0,0.0,0.0,0.002,0.001
