query_id,query,domain,name,relevance_label,kerem_manav_label,direction
1,software companies,riiqo.com,Big Software,1,2,Marmee stricter
1,software companies,softwaremerchant.com,Software Merchant Inc.,2,1,Marmee looser
92,wealth management firms,fairhavencap.com,Fair Haven Capital,1,2,Marmee stricter
1,software companies,majicsourcesoftware.com.au,majicSource Software,1,2,Marmee stricter
1,software companies,fluxatron.com,fluxatron softec GmbH,1,2,Marmee stricter
1,software companies,agrisoftllc.com,"AgriSoft, LLC",1,2,Marmee stricter
1,software companies,hua-mi.cn,华米软件网 (Huami Software Network),0,1,Marmee stricter
1,software companies,rampgroup.com,Digitally transform your business.,2,1,Marmee looser
92,wealth management firms,maximgrp.com,"Maxim Group, LLC",2,1,Marmee looser
1,software companies,jbsoft.com.br,JB Software,1,2,Marmee stricter
1,software companies,upstre.am,Upstream – Agile GmbH,1,2,Marmee stricter
1,software companies,saxoninfotech.com,Saxon Infotech,2,1,Marmee looser
1,software companies,farmsoft.com,Farmsoft,1,2,Marmee stricter
92,wealth management firms,pisa.de,PiSA GmbH,2,1,Marmee looser
1,software companies,shcrwl.com,上海澄软网络科技有限公司,2,1,Marmee looser
1,software companies,cloud-ready-software.com,Cloud Ready Software GmbH,2,1,Marmee looser
1,software companies,xsfrj.com,宝鸡鑫四方软件有限公司,2,1,Marmee looser
1,software companies,bizslate.com,Radixweb,2,1,Marmee looser
1,software companies,apsglobal.co.uk,IRIS Software Group,2,1,Marmee looser
92,wealth management firms,wettersteincapital.com,Wetterstein Capital GmbH,2,1,Marmee looser
1,software companies,visioncomm.com,"Software Projects, Inc.",2,1,Marmee looser
1,software companies,bridgehead-europe.com,IRIS Software Group,2,1,Marmee looser
1,software companies,arthur-ashton.com,iMothership,2,1,Marmee looser
1,software companies,kingdee.hk,东莞市森蝶软件科技有限公司,2,1,Marmee looser
1,software companies,sjzufida.com,用友软件 (Yonyou Software),2,1,Marmee looser
