query_id,query,domain,kerem_manav_label
92,wealth management firms,cornerstoneplanninggroup.net,2
92,wealth management firms,hudsonfg.com,2
1,software companies,riiqo.com,2
1,software companies,trilobyte.de,2
92,wealth management firms,lanefamilywm.com,2
1,software companies,myact.net,2
92,wealth management firms,lexingtonwealth.co.uk,2
1,software companies,softwaremerchant.com,1
1,software companies,shivammedisoft.com,2
1,software companies,hanyingsh.com,2
1,software companies,rightanswers.com,2
92,wealth management firms,cavanaughfinancialgroup.com,2
92,wealth management firms,mcmillanconsultants.co.uk,2
1,software companies,tooner.cn,2
1,software companies,salesmantra.com,2
1,software companies,finago.fi,2
92,wealth management firms,caplanfinancialgroup.com,2
1,software companies,unit4.fr,2
92,wealth management firms,aviditywealth.com.au,2
92,wealth management firms,wealth-story.com,2
92,wealth management firms,aerowealthmgmt.com,2
92,wealth management firms,fairhavencap.com,2
1,software companies,jiuyuesoft.com,2
92,wealth management firms,focuswealthllc.com,2
1,software companies,redpandasoftware.com,2
92,wealth management firms,stgermaininvestments.com,2
92,wealth management firms,mathiascpa.com,2
1,software companies,sap.ch,2
1,software companies,longyun666.com,2
92,wealth management firms,jwwealthmanagement.com,2
92,wealth management firms,peterberonio.com,2
92,wealth management firms,peakwv.com,2
1,software companies,majicsourcesoftware.com.au,2
1,software companies,sxyerp.com,2
1,software companies,grasp.com.cn,2
1,software companies,fluxatron.com,2
1,software companies,agrisoftllc.com,2
92,wealth management firms,granitewealthmanagement.com,2
1,software companies,srxp.com,2
92,wealth management firms,parkstonewealth.com,2
1,software companies,sunsmart.co.in,2
1,software companies,handisoft.com.au,2
1,software companies,faxhozer.co.il,2
1,software companies,intersoftsystems.com,2
92,wealth management firms,privatewealthgroup.net,2
1,software companies,adaline.com.vn,2
92,wealth management firms,amasus.ch,2
1,software companies,mizusoft.com.br,2
92,wealth management firms,forthrightwealthmanagement.com,2
92,wealth management firms,moellerinvestmentgroup.com,2
1,software companies,hua-mi.cn,1
92,wealth management firms,amadeus.ch,2
92,wealth management firms,lfsllc.com,2
1,software companies,filebound.com,2
92,wealth management firms,qvinvestors.com,2
1,software companies,bestsoftware.com,2
1,software companies,visualk.com,2
92,wealth management firms,twincityfinancialgroup.com,2
92,wealth management firms,westshorefinancialgroup.com,2
1,software companies,payglobal.com,2
1,software companies,southware.com,2
1,software companies,rampgroup.com,1
92,wealth management firms,ckcwealth.com,2
92,wealth management firms,mainsailmanagement.com,2
1,software companies,ksi.ie,2
92,wealth management firms,gracewealthmanagement.com,2
92,wealth management firms,hicks-associates.com,2
1,software companies,swscm.com,2
1,software companies,eurowin.com,2
1,software companies,wssllp.in,2
92,wealth management firms,maximgrp.com,1
92,wealth management firms,roehl-yi.com,2
1,software companies,suda3000.net.cn,2
1,software companies,jbsoft.com.br,2
92,wealth management firms,rosswealth.com.au,2
1,software companies,adiumsoft.hu,2
1,software companies,tbsw.com,2
1,software companies,upstre.am,2
92,wealth management firms,dividendwealthadvisors.com,2
1,software companies,flysoftinc.com,1
92,wealth management firms,capfinstrategies.com,2
92,wealth management firms,taylormoney.com,2
1,software companies,unit4.nl,2
92,wealth management firms,bicewealth.com,2
92,wealth management firms,vestawealth.partners,2
1,software companies,websoft.gr,2
1,software companies,navitas.com.my,2
1,software companies,covisa.de,2
1,software companies,saxoninfotech.com,1
92,wealth management firms,arxwealth.com,2
1,software companies,farmsoft.com,2
92,wealth management firms,prosperityfinancialadvisors.com,2
92,wealth management firms,avaloncapital.com,2
92,wealth management firms,bankswealth.com,2
92,wealth management firms,worthwealthmanagement.com,2
92,wealth management firms,bostontrust.com,2
92,wealth management firms,phoeniciangroup.com,2
92,wealth management firms,pisa.de,1
1,software companies,ascent-soft.ro,2
1,software companies,empline.com,2
92,wealth management firms,corcorancapitalmgmt.com,2
92,wealth management firms,sfmilner.com,2
92,wealth management firms,blueriverfinancialgroup.com,2
92,wealth management firms,prismfg.com,2
1,software companies,shcrwl.com,1
92,wealth management firms,rathbonefunds.com,2
92,wealth management firms,chasegrossenfs.com,2
92,wealth management firms,pcmnj.com,2
92,wealth management firms,bluedotwealthmanagement.com,2
92,wealth management firms,harvestwp.com,2
1,software companies,indigo-group.co.uk,2
1,software companies,beckconsulting.com,2
1,software companies,stepsoft.de,2
1,software companies,fluxatronsoftec.de,2
1,software companies,centruldesoft.ro,2
92,wealth management firms,palisadecapital.com,2
92,wealth management firms,dehaac.com,2
92,wealth management firms,privatewealthgroup.com,2
1,software companies,soft2005.com,2
1,software companies,wizrom.ro,2
1,software companies,cloud-ready-software.com,1
92,wealth management firms,pinkertonfinancialresources.com,2
