method,k,metric,original,cleaned,delta,delta_pct
Istari v1 BM25,10,ndcg,0.1008,0.0921,-0.0087,-8.6
Istari v1 BM25,10,precision,0.0723,0.0624,-0.0099,-13.7
Istari v1 BM25,10,recall,0.0021,0.002,-0.0001,-3.5
Istari v1 BM25,10,f1,0.0038,0.0037,-0.0001,-3.7
Istari v1 BM25,50,ndcg,0.0955,0.089,-0.0065,-6.8
Istari v1 BM25,50,precision,0.0655,0.0602,-0.0053,-8.2
Istari v1 BM25,50,recall,0.0107,0.0106,-0.0001,-1.2
Istari v1 BM25,50,f1,0.0126,0.0124,-0.0003,-2.2
Istari v1 BM25,100,ndcg,0.0895,0.0849,-0.0046,-5.1
Istari v1 BM25,100,precision,0.0597,0.0566,-0.0031,-5.1
Istari v1 BM25,100,recall,0.0173,0.0172,-0.0001,-0.6
Istari v1 BM25,100,f1,0.019,0.0187,-0.0003,-1.4
Istari v1 BM25,200,ndcg,0.0819,0.0774,-0.0046,-5.6
Istari v1 BM25,200,precision,0.0551,0.0516,-0.0035,-6.4
Istari v1 BM25,200,recall,0.0279,0.0276,-0.0003,-1.0
Istari v1 BM25,200,f1,0.0266,0.0259,-0.0007,-2.7
Istari v1 BM25,500,ndcg,0.0716,0.0684,-0.0031,-4.4
Istari v1 BM25,500,precision,0.048,0.0459,-0.0021,-4.4
Istari v1 BM25,500,recall,0.0543,0.0541,-0.0002,-0.3
Istari v1 BM25,500,f1,0.039,0.0381,-0.0009,-2.3
Istari v1 BM25,1000,ndcg,0.071,0.0699,-0.0011,-1.5
Istari v1 BM25,1000,precision,0.048,0.0459,-0.0021,-4.4
Istari v1 BM25,1000,recall,0.1086,0.1082,-0.0003,-0.3
Istari v1 BM25,1000,f1,0.0543,0.0527,-0.0016,-2.9
Our MiniLM (98K),10,ndcg,0.9349,0.9083,-0.0266,-2.8
Our MiniLM (98K),10,precision,0.8099,0.7772,-0.0327,-4.0
Our MiniLM (98K),10,recall,0.0225,0.0227,0.0002,1.1
Our MiniLM (98K),10,f1,0.0361,0.0365,0.0004,1.2
Our MiniLM (98K),50,ndcg,0.9246,0.876,-0.0486,-5.3
Our MiniLM (98K),50,precision,0.7543,0.704,-0.0503,-6.7
Our MiniLM (98K),50,recall,0.0781,0.0776,-0.0005,-0.6
Our MiniLM (98K),50,f1,0.1113,0.1098,-0.0015,-1.4
Our MiniLM (98K),100,ndcg,0.9191,0.868,-0.0511,-5.6
Our MiniLM (98K),100,precision,0.7312,0.6876,-0.0436,-6.0
Our MiniLM (98K),100,recall,0.1358,0.1351,-0.0007,-0.5
Our MiniLM (98K),100,f1,0.1807,0.1777,-0.0029,-1.6
Our MiniLM (98K),200,ndcg,0.9044,0.8537,-0.0507,-5.6
Our MiniLM (98K),200,precision,0.7069,0.6637,-0.0433,-6.1
Our MiniLM (98K),200,recall,0.2407,0.238,-0.0027,-1.1
Our MiniLM (98K),200,f1,0.2896,0.2815,-0.0081,-2.8
Our MiniLM (98K),500,ndcg,0.8625,0.8151,-0.0474,-5.5
Our MiniLM (98K),500,precision,0.6581,0.6154,-0.0427,-6.5
Our MiniLM (98K),500,recall,0.4991,0.4894,-0.0097,-1.9
Our MiniLM (98K),500,f1,0.4875,0.4664,-0.0211,-4.3
Our MiniLM (98K),1000,ndcg,0.7657,0.7512,-0.0144,-1.9
Our MiniLM (98K),1000,precision,0.5651,0.5324,-0.0326,-5.8
Our MiniLM (98K),1000,recall,0.7937,0.7863,-0.0074,-0.9
Our MiniLM (98K),1000,f1,0.5979,0.5733,-0.0247,-4.1
Istari v2 Semantic,10,ndcg,0.9846,0.9399,-0.0448,-4.5
Istari v2 Semantic,10,precision,0.9703,0.9218,-0.0485,-5.0
Istari v2 Semantic,10,recall,0.0496,0.0497,0.0001,0.1
Istari v2 Semantic,10,f1,0.0761,0.0762,0.0001,0.1
